Name;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
G1;;;;;78.08476045;41.80036647;3541.977;0.369;0.266;0.77;0.455;2.134;m;SINGLE;2022-08-19 15:09:54.0 UTC+06:00;2022-08-19 15:10:04.0 UTC+06:00;11;1.2;;;;;;;;Global CS
G2;;;;;78.08481251;41.80034812;3542.275;0.293;0.228;0.601;0.372;2.134;m;SINGLE;2022-08-19 15:11:39.0 UTC+06:00;2022-08-19 15:11:50.0 UTC+06:00;12;1.2;;;;;;;;Global CS
G3;;;;;78.08486508;41.80032192;3542.33;0.319;0.269;0.6;0.417;2.134;m;SINGLE;2022-08-19 15:13:00.0 UTC+06:00;2022-08-19 15:13:11.0 UTC+06:00;12;1.2;;;;;;;;Global CS
G4;;;;;78.08492608;41.80029995;3543.365;0.287;0.223;0.584;0.363;2.134;m;SINGLE;2022-08-19 15:13:30.0 UTC+06:00;2022-08-19 15:13:41.0 UTC+06:00;12;1.2;;;;;;;;Global CS
G5;;;;;78.08496669;41.80027975;3543.727;0.336;0.226;0.623;0.405;2.134;m;SINGLE;2022-08-19 15:14:04.0 UTC+06:00;2022-08-19 15:14:15.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G6;;;;;78.08503666;41.80026107;3546.554;0.411;0.312;1.282;0.516;2.134;m;SINGLE;2022-08-19 15:15:21.0 UTC+06:00;2022-08-19 15:15:31.0 UTC+06:00;11;1.2;;;;;;;;Global CS
G7;;;;;78.08508811;41.80022867;3550.348;0.328;0.26;0.582;0.418;2.134;m;SINGLE;2022-08-19 15:15:51.0 UTC+06:00;2022-08-19 15:16:01.0 UTC+06:00;11;1.2;;;;;;;;Global CS
G8;;;;;78.08512867;41.80020363;3551.175;0.321;0.226;0.603;0.393;2.134;m;SINGLE;2022-08-19 15:17:13.0 UTC+06:00;2022-08-19 15:17:24.0 UTC+06:00;12;1.2;;;;;;;;Global CS
G9;;;;;78.08518609;41.80019277;3550.84;0.409;0.24;0.615;0.474;2.134;m;SINGLE;2022-08-19 15:17:38.0 UTC+06:00;2022-08-19 15:17:48.0 UTC+06:00;11;1.2;;;;;;;;Global CS
G10;;;;;78.08524964;41.80016731;3552.129;0.328;0.206;0.558;0.387;2.134;m;SINGLE;2022-08-19 15:19:16.0 UTC+06:00;2022-08-19 15:19:27.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G11;;;;;78.08529228;41.80014703;3553.087;0.364;0.241;0.558;0.436;2.134;m;SINGLE;2022-08-19 15:19:41.0 UTC+06:00;2022-08-19 15:19:52.0 UTC+06:00;12;1;;;;;;;;Global CS
G12;;;;;78.08535153;41.80012645;3551.574;0.385;0.208;0.534;0.437;2.134;m;SINGLE;2022-08-19 15:20:52.0 UTC+06:00;2022-08-19 15:21:03.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G13;;;;;78.08539686;41.80011226;3551.776;0.319;0.203;0.578;0.378;2.134;m;SINGLE;2022-08-19 15:21:31.0 UTC+06:00;2022-08-19 15:21:42.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G14;;;;;78.0854477;41.80009629;3552.101;0.316;0.284;0.548;0.425;2.134;m;SINGLE;2022-08-19 15:22:43.0 UTC+06:00;2022-08-19 15:22:54.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G15;;;;;78.08549564;41.80006912;3552.962;0.4;0.255;0.553;0.474;2.134;m;SINGLE;2022-08-19 15:23:05.0 UTC+06:00;2022-08-19 15:23:16.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G16;;;;;78.0855603;41.8000487;3552.228;0.373;0.251;0.572;0.45;2.134;m;SINGLE;2022-08-19 15:23:37.0 UTC+06:00;2022-08-19 15:23:48.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G17;;;;;78.08561594;41.80002739;3552.878;0.389;0.216;0.574;0.445;2.134;m;SINGLE;2022-08-19 15:23:58.0 UTC+06:00;2022-08-19 15:24:09.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G18;;;;;78.08567359;41.800011;3552.22;0.307;0.233;0.579;0.386;2.134;m;SINGLE;2022-08-19 15:25:41.0 UTC+06:00;2022-08-19 15:25:51.0 UTC+06:00;11;1.1;;;;;;;;Global CS
G19;;;;;78.08572594;41.7999906;3553.322;0.32;0.223;0.544;0.391;2.134;m;SINGLE;2022-08-19 15:26:03.0 UTC+06:00;2022-08-19 15:26:14.0 UTC+06:00;12;1.1;;;;;;;;Global CS
G20;;;;;78.0857708;41.79997244;3553.766;0.387;0.226;0.571;0.448;2.134;m;SINGLE;2022-08-19 15:26:24.0 UTC+06:00;2022-08-19 15:26:34.0 UTC+06:00;11;1.1;;;;;;;;Global CS
G21;;;;;78.08582939;41.79994624;3553.102;0.381;0.262;0.577;0.463;2.134;m;SINGLE;2022-08-19 15:26:44.0 UTC+06:00;2022-08-19 15:26:54.0 UTC+06:00;11;1.1;;;;;;;;Global CS
G22;;;;;78.08588114;41.79992476;3553.467;0.372;0.236;0.56;0.44;2.134;m;SINGLE;2022-08-19 15:27:05.0 UTC+06:00;2022-08-19 15:27:15.0 UTC+06:00;11;1.2;;;;;;;;Global CS
G23;;;;;78.08593571;41.79989856;3553.484;0.342;0.261;0.556;0.43;2.134;m;SINGLE;2022-08-19 15:27:26.0 UTC+06:00;2022-08-19 15:27:36.0 UTC+06:00;11;1.1;;;;;;;;Global CS
G24;;;;;78.08599177;41.79988262;3553.603;0.306;0.235;0.575;0.386;2.134;m;SINGLE;2022-08-19 15:27:51.0 UTC+06:00;2022-08-19 15:28:01.0 UTC+06:00;11;1.1;;;;;;;;Global CS
