Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E1;;;;;;77.75051149;41.80378424;3834.705;0.027;0.028;0.011;0.039;1.134;m;FIX;2023-07-11 09:53:39.1 UTC+06:00;2023-07-11 09:53:50.1 UTC+06:00;12;1.4;;;;77.75044656;41.80374682;3834.122;7.05;Global CS
E2;;;;;;77.75052628;41.80380873;3834.656;0.013;0.011;0.011;0.017;1.134;m;FIX;2023-07-11 09:54:25.1 UTC+06:00;2023-07-11 09:54:35.1 UTC+06:00;11;1.3;;;;77.75044656;41.80374682;3834.122;9.704;Global CS
E3;;;;;;77.75054055;41.80383271;3834.579;0.011;0.011;0.011;0.015;1.134;m;FIX;2023-07-11 09:54:53.1 UTC+06:00;2023-07-11 09:55:04.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;12.445;Global CS
E4;;;;;;77.75055526;41.80385721;3834.497;0.011;0.011;0.011;0.016;1.134;m;FIX;2023-07-11 09:55:20.1 UTC+06:00;2023-07-11 09:55:31.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;15.315;Global CS
E5;;;;;;77.7505697;41.80388177;3834.338;0.011;0.011;0.012;0.015;1.134;m;FIX;2023-07-11 09:55:47.1 UTC+06:00;2023-07-11 09:55:58.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;18.204;Global CS
E6;;;;;;77.75058364;41.803907;3834.281;0.011;0.01;0.011;0.015;1.134;m;FIX;2023-07-11 09:56:19.1 UTC+06:00;2023-07-11 09:56:29.1 UTC+06:00;11;1.3;;;;77.75044656;41.80374682;3834.122;21.178;Global CS
E7;;;;;;77.7505982;41.80393201;3834.523;0.011;0.011;0.014;0.016;1.134;m;FIX;2023-07-11 09:56:53.1 UTC+06:00;2023-07-11 09:57:04.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;24.187;Global CS
E8;;;;;;77.7506098;41.80395663;3834.945;0.012;0.01;0.011;0.016;1.134;m;FIX;2023-07-11 09:57:34.1 UTC+06:00;2023-07-11 09:57:45.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;27.056;Global CS
E9;;;;;;77.75062543;41.80398069;3835.463;0.011;0.012;0.011;0.017;1.134;m;FIX;2023-07-11 09:58:08.1 UTC+06:00;2023-07-11 09:58:18.1 UTC+06:00;11;1.2;;;;77.75044656;41.80374682;3834.122;30.056;Global CS
E10;;;;;;77.75063963;41.80400524;3835.944;0.011;0.011;0.011;0.016;1.134;m;FIX;2023-07-11 09:58:40.1 UTC+06:00;2023-07-11 09:58:50.1 UTC+06:00;11;1.2;;;;77.75044656;41.80374682;3834.122;33.041;Global CS
E11;;;;;;77.75065461;41.80402973;3835.968;0.011;0.01;0.012;0.015;1.134;m;FIX;2023-07-11 09:59:09.1 UTC+06:00;2023-07-11 09:59:19.1 UTC+06:00;11;1.2;;;;77.75044656;41.80374682;3834.122;36.007;Global CS
E12;;;;;;77.7506696;41.80405362;3836.304;0.01;0.011;0.011;0.015;1.134;m;FIX;2023-07-11 09:59:37.1 UTC+06:00;2023-07-11 09:59:47.2 UTC+06:00;11;1.2;;;;77.75044656;41.80374682;3834.122;38.946;Global CS
E13;G1;RST;;;;77.75068462;41.80407796;3836.673;0.011;0.011;0.013;0.016;1.134;m;FIX;2023-07-11 10:00:06.1 UTC+06:00;2023-07-11 10:00:17.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;41.949;Global CS
E14;G2;;;;;77.75070086;41.80410177;3836.843;0.012;0.01;0.011;0.016;1.134;m;FIX;2023-07-11 10:00:36.1 UTC+06:00;2023-07-11 10:00:46.1 UTC+06:00;11;1.3;;;;77.75044656;41.80374682;3834.122;44.927;Global CS
E15;G3;;;;;77.75071688;41.80412616;3836.641;0.011;0.011;0.011;0.015;1.134;m;FIX;2023-07-11 10:01:06.1 UTC+06:00;2023-07-11 10:01:16.1 UTC+06:00;11;1.3;;;;77.75044656;41.80374682;3834.122;47.92;Global CS
E16;G4;;;;;77.75073414;41.80414962;3836.771;0.01;0.011;0.011;0.015;1.134;m;FIX;2023-07-11 10:01:35.1 UTC+06:00;2023-07-11 10:01:46.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;50.893;Global CS
E17;G5;;;;;77.75075325;41.80417205;3837.015;0.012;0.01;0.011;0.016;1.134;m;FIX;2023-07-11 10:02:06.1 UTC+06:00;2023-07-11 10:02:16.1 UTC+06:00;11;1.4;;;;77.75044656;41.80374682;3834.122;53.853;Global CS
E18;G6;;;;;77.75076499;41.80419398;3836.625;0.012;0.012;0.011;0.017;1.134;m;FIX;2023-07-11 10:02:49.1 UTC+06:00;2023-07-11 10:02:59.1 UTC+06:00;11;1.3;;;;77.75044656;41.80374682;3834.122;56.425;Global CS
E19;G7;;;;;77.75078214;41.80421704;3836.892;0.011;0.013;0.013;0.017;1.134;m;FIX;2023-07-11 10:03:18.1 UTC+06:00;2023-07-11 10:03:29.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;59.376;Global CS
E20;G8;;;;;77.750797;41.8042416;3836.941;0.012;0.011;0.011;0.016;1.134;m;FIX;2023-07-11 10:03:46.1 UTC+06:00;2023-07-11 10:03:57.1 UTC+06:00;12;1.3;;;;77.75044656;41.80374682;3834.122;62.353;Global CS
E21;G9;;;;;77.75081413;41.80426525;3837.046;0.011;0.011;0.012;0.015;1.134;m;FIX;2023-07-11 10:04:17.1 UTC+06:00;2023-07-11 10:04:28.1 UTC+06:00;12;1.4;;;;77.75044656;41.80374682;3834.122;65.344;Global CS
