Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E1;;;;;;77.76225361;41.77840165;3953.489;0.012;0.014;0.014;0.018;1.134;m;FIX;2023-07-12 09:31:59.0 UTC+06:00;2023-07-12 09:32:10.0 UTC+06:00;12;1.8;;;;77.76219991;41.77840409;3953.561;4.604;Global CS
E2;;;;;;77.76223917;41.77835895;3953.63;0.012;0.011;0.011;0.017;1.134;m;FIX;2023-07-12 09:32:31.0 UTC+06:00;2023-07-12 09:32:42.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;6.118;Global CS
E3;;;;;;77.76222591;41.77831483;3954.014;0.012;0.012;0.012;0.017;1.134;m;FIX;2023-07-12 09:33:21.0 UTC+06:00;2023-07-12 09:33:32.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;10.276;Global CS
E4;;;;;;77.76221634;41.77827332;3955.714;0.013;0.012;0.014;0.017;1.134;m;FIX;2023-07-12 09:34:01.0 UTC+06:00;2023-07-12 09:34:12.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;14.973;Global CS
E5;;;;;;77.76220162;41.7782333;3956.962;0.012;0.016;0.011;0.02;1.134;m;FIX;2023-07-12 09:34:35.0 UTC+06:00;2023-07-12 09:34:45.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;19.513;Global CS
E6;;;;;;77.76218655;41.77819157;3958.779;0.015;0.019;0.011;0.024;1.134;m;FIX;2023-07-12 09:35:08.0 UTC+06:00;2023-07-12 09:35:18.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;24.5;Global CS
E7;;;;;;77.76217471;41.77814968;3960.262;0.012;0.012;0.012;0.017;1.134;m;FIX;2023-07-12 09:35:48.0 UTC+06:00;2023-07-12 09:35:59.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;29.422;Global CS
E8;;;;;;77.76216713;41.77810662;3961.641;0.012;0.012;0.011;0.017;1.134;m;FIX;2023-07-12 09:36:25.0 UTC+06:00;2023-07-12 09:36:36.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;34.419;Global CS
E9;;;;;;77.76214892;41.77806801;3963.739;0.011;0.012;0.014;0.016;1.134;m;FIX;2023-07-12 09:37:08.0 UTC+06:00;2023-07-12 09:37:18.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;39.259;Global CS
E10;;;;;;77.76213412;41.77802773;3965.348;0.011;0.011;0.013;0.015;1.134;m;FIX;2023-07-12 09:37:41.0 UTC+06:00;2023-07-12 09:37:51.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;44.119;Global CS
E11;;;;;;77.7621174;41.77798672;3966.967;0.013;0.011;0.012;0.017;1.134;m;FIX;2023-07-12 09:38:12.0 UTC+06:00;2023-07-12 09:38:22.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;49.095;Global CS
E12;;;;;;77.76210452;41.77794561;3968.209;0.015;0.011;0.018;0.019;1.134;m;FIX;2023-07-12 09:38:41.0 UTC+06:00;2023-07-12 09:38:51.0 UTC+06:00;11;1.4;;;;77.76219991;41.77840409;3953.561;53.927;Global CS
E13;;;;;;77.76208924;41.7779031;3968.937;0.012;0.01;0.012;0.016;1.134;m;FIX;2023-07-12 09:39:10.0 UTC+06:00;2023-07-12 09:39:21.0 UTC+06:00;12;1.4;;;;77.76219991;41.77840409;3953.561;58.803;Global CS
E14;G1;RST;;;;77.76207643;41.77785882;3969.187;0.012;0.011;0.013;0.016;1.134;m;FIX;2023-07-12 09:39:36.0 UTC+06:00;2023-07-12 09:39:47.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;63.704;Global CS
E15;G2;;;;;77.76205903;41.77781458;3969.241;0.011;0.011;0.013;0.015;1.134;m;FIX;2023-07-12 09:40:06.0 UTC+06:00;2023-07-12 09:40:17.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;68.65;Global CS
E16;G3;;;;;77.76204725;41.77777141;3969.105;0.015;0.011;0.012;0.018;1.134;m;FIX;2023-07-12 09:40:34.0 UTC+06:00;2023-07-12 09:40:44.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;73.369;Global CS
E17;G4;;;;;77.76203397;41.77772739;3968.853;0.014;0.012;0.01;0.018;1.134;m;FIX;2023-07-12 09:41:06.0 UTC+06:00;2023-07-12 09:41:17.2 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;78.203;Global CS
E18;G5;;;;;77.76202771;41.7776841;3968.564;0.011;0.011;0.011;0.015;1.134;m;FIX;2023-07-12 09:41:48.0 UTC+06:00;2023-07-12 09:41:58.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;82.867;Global CS
E19;G6;;;;;77.76201167;41.77764013;3968.646;0.011;0.011;0.011;0.016;1.134;m;FIX;2023-07-12 09:42:16.0 UTC+06:00;2023-07-12 09:42:27.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;87.851;Global CS
E20;G7;;;;;77.76199332;41.77759682;3968.685;0.013;0.016;0.012;0.021;1.134;m;FIX;2023-07-12 09:42:49.0 UTC+06:00;2023-07-12 09:42:59.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;92.811;Global CS
E21;G8;;;;;77.76197982;41.77755334;3968.615;0.011;0.011;0.013;0.015;1.134;m;FIX;2023-07-12 09:43:27.0 UTC+06:00;2023-07-12 09:43:37.0 UTC+06:00;11;1.5;;;;77.76219991;41.77840409;3953.561;97.658;Global CS
E22;G9;;;;;77.76195649;41.77751213;3968.763;0.013;0.015;0.014;0.019;1.134;m;FIX;2023-07-12 09:44:06.0 UTC+06:00;2023-07-12 09:44:17.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;102.489;Global CS
E23;G10;;;;;77.76193782;41.77746943;3968.747;0.013;0.012;0.014;0.018;1.134;m;FIX;2023-07-12 09:44:45.0 UTC+06:00;2023-07-12 09:44:56.0 UTC+06:00;12;1.5;;;;77.76219991;41.77840409;3953.561;107.382;Global CS
