Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
test;;;;;;77.76191355;41.77738476;3961.08;Global;0.011;0.011;0.022;0.015;1.134;m;FIX;2023-07-12 09:39:28.0 UTC+02:00;2023-07-12 09:39:38.0 UTC+02:00;11;3.3;;;;77.76220517;41.77837947;3946.492;114.258;Global CS
E1;;;;;;77.76287999;41.77669415;3933.485;Global;0.012;0.013;0.033;0.018;1.134;m;FIX;2023-07-12 09:42:43.0 UTC+02:00;2023-07-12 09:42:53.0 UTC+02:00;11;3.3;;;;77.76220517;41.77837947;3946.492;195.888;Global CS
E2;;;;;;77.76284045;41.77672328;3935.292;Global;0.011;0.013;0.027;0.017;1.134;m;FIX;2023-07-12 09:43:17.0 UTC+02:00;2023-07-12 09:43:28.0 UTC+02:00;12;3.3;;;;77.76220517;41.77837947;3946.492;191.779;Global CS
E3;;;;;;77.76280055;41.77675533;3936.365;Global;0.011;0.013;0.03;0.017;1.134;m;FIX;2023-07-12 09:43:51.0 UTC+02:00;2023-07-12 09:44:02.0 UTC+02:00;12;3.3;;;;77.76220517;41.77837947;3946.492;187.398;Global CS
E4;;;;;;77.76276254;41.776787;3937.841;Global;0.011;0.012;0.02;0.017;1.134;m;FIX;2023-07-12 09:44:37.0 UTC+02:00;2023-07-12 09:44:47.0 UTC+02:00;11;3.3;;;;77.76220517;41.77837947;3946.492;183.114;Global CS
E5;;;;;;77.76272268;41.7768192;3939.32;Global;0.011;0.013;0.023;0.017;1.134;m;FIX;2023-07-12 09:45:27.0 UTC+02:00;2023-07-12 09:45:38.0 UTC+02:00;12;3.3;;;;77.76220517;41.77837947;3946.492;178.771;Global CS
E6;;;;;;77.76268655;41.77685292;3940.75;Global;0.011;0.011;0.024;0.016;1.134;m;FIX;2023-07-12 09:46:06.0 UTC+02:00;2023-07-12 09:46:17.0 UTC+02:00;12;3.3;;;;77.76220517;41.77837947;3946.492;174.381;Global CS
E7;;;;;;77.76264718;41.77688412;3942.146;Global;0.011;0.011;0.017;0.016;1.134;m;FIX;2023-07-12 09:46:44.0 UTC+02:00;2023-07-12 09:46:54.0 UTC+02:00;11;3.3;;;;77.76220517;41.77837947;3946.492;170.239;Global CS
E8;;;;;;77.76261018;41.77691652;3943.608;Global;0.015;0.013;0.055;0.02;1.134;m;FIX;2023-07-12 09:47:19.0 UTC+02:00;2023-07-12 09:47:29.0 UTC+02:00;11;3.3;;;;77.76220517;41.77837947;3946.492;166.051;Global CS
E9;;;;;;77.76256612;41.7769465;3945.112;Global;0.011;0.012;0.023;0.017;1.134;m;FIX;2023-07-12 09:47:59.0 UTC+02:00;2023-07-12 09:48:09.0 UTC+02:00;11;3.2;;;;77.76220517;41.77837947;3946.492;162.06;Global CS
E10;;;;;;77.76252567;41.7769766;3946.562;Global;0.012;0.012;0.02;0.017;1.134;m;FIX;2023-07-12 09:48:40.0 UTC+02:00;2023-07-12 09:48:50.0 UTC+02:00;11;3.2;;;;77.76220517;41.77837947;3946.492;158.18;Global CS
E11;;;;;;77.76248598;41.77700768;3947.83;Global;0.012;0.011;0.022;0.016;1.134;m;FIX;2023-07-12 09:49:22.0 UTC+02:00;2023-07-12 09:49:32.0 UTC+02:00;11;3.2;;;;77.76220517;41.77837947;3946.492;154.263;Global CS
E12;;;;;;77.7624447;41.77703779;3948.948;Global;0.012;0.012;0.024;0.017;1.134;m;FIX;2023-07-12 09:49:54.0 UTC+02:00;2023-07-12 09:50:04.0 UTC+02:00;11;3.2;;;;77.76220517;41.77837947;3946.492;150.478;Global CS
E13;;;;;;77.76240132;41.77706735;3950.175;Global;0.012;0.013;0.021;0.017;1.134;m;FIX;2023-07-12 09:50:34.0 UTC+02:00;2023-07-12 09:50:45.0 UTC+02:00;12;3.2;;;;77.76220517;41.77837947;3946.492;146.823;Global CS
E14;;;;;;77.76235867;41.77709691;3951.324;Global;0.012;0.012;0.021;0.017;1.134;m;FIX;2023-07-12 09:51:14.0 UTC+02:00;2023-07-12 09:51:24.0 UTC+02:00;11;3.2;;;;77.76220517;41.77837947;3946.492;143.238;Global CS
E15;;;;;;77.76231297;41.77712438;3952.3;Global;0.011;0.012;0.023;0.016;1.134;m;FIX;2023-07-12 09:52:02.0 UTC+02:00;2023-07-12 09:52:12.0 UTC+02:00;11;3.2;;;;77.76220517;41.77837947;3946.492;139.939;Global CS
E16;;;;;;77.7622721;41.77715611;3953.127;Global;0.011;0.011;0.018;0.015;1.134;m;FIX;2023-07-12 09:52:41.0 UTC+02:00;2023-07-12 09:52:51.0 UTC+02:00;11;3.2;;;;77.76220517;41.77837947;3946.492;136.301;Global CS
E17;;;;;;77.76222277;41.77718281;3953.839;Global;0.012;0.011;0.024;0.016;1.134;m;FIX;2023-07-12 09:53:24.0 UTC+02:00;2023-07-12 09:53:35.0 UTC+02:00;12;3.1;;;;77.76220517;41.77837947;3946.492;133.268;Global CS
E18;;;;;;77.76217694;41.77721056;3954.704;Global;0.012;0.011;0.021;0.016;1.134;m;FIX;2023-07-12 09:54:04.0 UTC+02:00;2023-07-12 09:54:15.0 UTC+02:00;12;3.1;;;;77.76220517;41.77837947;3946.492;130.268;Global CS
E19;;;;;;77.76212775;41.77723515;3955.655;Global;0.011;0.011;0.021;0.016;1.134;m;FIX;2023-07-12 09:54:41.0 UTC+02:00;2023-07-12 09:54:51.0 UTC+02:00;11;3.1;;;;77.76220517;41.77837947;3946.492;127.76;Global CS
E20;;;;;;77.76207994;41.77726298;3956.35;Global;0.01;0.012;0.024;0.016;1.134;m;FIX;2023-07-12 09:55:19.0 UTC+02:00;2023-07-12 09:55:30.0 UTC+02:00;12;3.1;;;;77.76220517;41.77837947;3946.492;124.998;Global CS
E21;;;;;;77.76203544;41.77729052;3957.47;Global;0.01;0.011;0.031;0.015;1.134;m;FIX;2023-07-12 09:55:54.0 UTC+02:00;2023-07-12 09:56:05.0 UTC+02:00;12;3.1;;;;77.76220517;41.77837947;3946.492;122.45;Global CS
E22;;;;;;77.7619927;41.77731943;3958.801;Global;0.011;0.012;0.027;0.016;1.134;m;FIX;2023-07-12 09:56:33.0 UTC+02:00;2023-07-12 09:56:44.0 UTC+02:00;12;4.5;;;;77.76220517;41.77837947;3946.492;119.897;Global CS
E23;;;;;;77.76195231;41.77734797;3959.853;Global;0.012;0.013;0.024;0.018;1.134;m;FIX;2023-07-12 09:57:06.0 UTC+02:00;2023-07-12 09:57:17.0 UTC+02:00;12;2.3;;;;77.76220517;41.77837947;3946.492;117.451;Global CS
E24;;;;;;77.76191398;41.77738504;3960.997;Global;0.013;0.012;0.023;0.018;1.134;m;FIX;2023-07-12 09:57:59.0 UTC+02:00;2023-07-12 09:58:09.0 UTC+02:00;11;4.4;;;;77.76220517;41.77837947;3946.492;114.215;Global CS
E25;;;;;;77.76185586;41.77740447;3962.387;Global;0.011;0.011;0.027;0.016;1.134;m;FIX;2023-07-12 09:58:53.0 UTC+02:00;2023-07-12 09:59:03.0 UTC+02:00;11;2.3;;;;77.76220517;41.77837947;3946.492;113.479;Global CS
E26;;;;;;77.76180868;41.77742981;3963.598;Global;0.011;0.012;0.022;0.016;1.134;m;FIX;2023-07-12 09:59:23.0 UTC+02:00;2023-07-12 09:59:34.0 UTC+02:00;12;4.3;;;;77.76220517;41.77837947;3946.492;112.071;Global CS
E27;;;;;;77.76176334;41.77745606;3964.688;Global;0.011;0.012;0.02;0.016;1.134;m;FIX;2023-07-12 10:00:03.0 UTC+02:00;2023-07-12 10:00:14.0 UTC+02:00;12;2.3;;;;77.76220517;41.77837947;3946.492;110.717;Global CS
E28;;;;;;77.76171626;41.77748359;3965.822;Global;0.011;0.014;0.027;0.018;1.134;m;FIX;2023-07-12 10:00:42.0 UTC+02:00;2023-07-12 10:00:52.0 UTC+02:00;11;4.2;;;;77.76220517;41.77837947;3946.492;109.469;Global CS
E29;;;;;;77.76166686;41.7775113;3966.891;Global;0.011;0.011;0.03;0.015;1.134;m;FIX;2023-07-12 10:01:17.0 UTC+02:00;2023-07-12 10:01:27.0 UTC+02:00;11;4.2;;;;77.76220517;41.77837947;3946.492;108.528;Global CS
E30;;;;;;77.76162186;41.77753313;3967.977;Global;0.011;0.011;0.029;0.016;1.134;m;FIX;2023-07-12 10:02:00.0 UTC+02:00;2023-07-12 10:02:10.0 UTC+02:00;11;4.1;;;;77.76220517;41.77837947;3946.492;108.24;Global CS
E31;;;;;;77.76157543;41.77756156;3969.161;Global;0.011;0.012;0.021;0.017;1.134;m;FIX;2023-07-12 10:02:52.0 UTC+02:00;2023-07-12 10:03:03.0 UTC+02:00;12;2.4;;;;77.76220517;41.77837947;3946.492;107.588;Global CS
E32;;;;;;77.76152774;41.77758911;3970.147;Global;0.012;0.014;0.024;0.018;1.134;m;FIX;2023-07-12 10:03:35.0 UTC+02:00;2023-07-12 10:03:46.0 UTC+02:00;12;4;;;;77.76220517;41.77837947;3946.492;107.278;Global CS
E33;;;;;;77.7614813;41.77761504;3970.835;Global;0.011;0.012;0.017;0.016;1.134;m;FIX;2023-07-12 10:04:13.0 UTC+02:00;2023-07-12 10:04:24.0 UTC+02:00;12;2.4;;;;77.76220517;41.77837947;3946.492;107.208;Global CS
E34;;;;;;77.7614331;41.77764215;3971.465;Global;0.011;0.011;0.02;0.016;1.134;m;FIX;2023-07-12 10:04:54.0 UTC+02:00;2023-07-12 10:05:05.0 UTC+02:00;12;2.4;;;;77.76220517;41.77837947;3946.492;107.347;Global CS
