Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
E1,,,,,,73.01247906,38.88108756,4581.661,Global,0.011,0.013,0.012,0.017,1.134,m,FIX,2023-08-11 07:17:28.2 UTC+02:00,2023-08-11 07:17:38.2 UTC+02:00,51,1.6,,,,73.01206987,38.88046379,4577.002,78.082,Global CS
E2,,,,,,73.01245258,38.88104794,4582.214,Global,0.014,0.014,0.011,0.020,1.134,m,FIX,2023-08-11 07:18:15.0 UTC+02:00,2023-08-11 07:18:25.0 UTC+02:00,51,1.5,,,,73.01206987,38.88046379,4577.002,73.174,Global CS
E3,,,,,,73.01242815,38.88100699,4582.838,Global,0.014,0.014,0.012,0.020,1.134,m,FIX,2023-08-11 07:18:41.2 UTC+02:00,2023-08-11 07:18:51.2 UTC+02:00,51,1.5,,,,73.01206987,38.88046379,4577.002,68.241,Global CS
E4,,,,,,73.01240311,38.88096622,4583.579,Global,0.014,0.016,0.011,0.021,1.134,m,FIX,2023-08-11 07:19:10.6 UTC+02:00,2023-08-11 07:19:20.6 UTC+02:00,51,1.5,,,,73.01206987,38.88046379,4577.002,63.345,Global CS
E5,,,,,,73.01237363,38.88092930,4583.995,Global,0.018,0.012,0.015,0.022,1.134,m,FIX,2023-08-11 07:19:37.8 UTC+02:00,2023-08-11 07:19:47.8 UTC+02:00,51,1.5,,,,73.01206987,38.88046379,4577.002,58.598,Global CS
E6,,,,,,73.01234690,38.88089039,4583.477,Global,0.029,0.039,0.010,0.048,1.134,m,FIX,2023-08-11 07:20:00.0 UTC+02:00,2023-08-11 07:20:10.0 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,53.712,Global CS
E7,,,,,,73.01233123,38.88084921,4581.845,Global,0.012,0.014,0.011,0.018,1.134,m,FIX,2023-08-11 07:20:24.8 UTC+02:00,2023-08-11 07:20:34.8 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,48.819,Global CS
E8,,,,,,73.01230437,38.88081047,4580.909,Global,0.012,0.012,0.014,0.017,1.134,m,FIX,2023-08-11 07:20:51.2 UTC+02:00,2023-08-11 07:21:01.2 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,43.839,Global CS
E9,,,,,,73.01227871,38.88077077,4580.283,Global,0.011,0.012,0.012,0.017,1.134,m,FIX,2023-08-11 07:21:22.0 UTC+02:00,2023-08-11 07:21:32.0 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,38.870,Global CS
E10,,,,,,73.01225246,38.88073014,4580.185,Global,0.013,0.013,0.012,0.018,1.134,m,FIX,2023-08-11 07:21:48.4 UTC+02:00,2023-08-11 07:21:58.4 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,33.856,Global CS
E11,,,,,,73.01222727,38.88069042,4580.008,Global,0.032,0.043,0.011,0.054,1.134,m,FIX,2023-08-11 07:22:25.6 UTC+02:00,2023-08-11 07:22:35.6 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,29.036,Global CS
E12,,,,,,73.01220417,38.88065400,4578.216,Global,0.012,0.035,0.013,0.038,1.134,m,FIX,2023-08-11 07:23:02.4 UTC+02:00,2023-08-11 07:23:12.4 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,24.291,Global CS
E13,,,,,,73.01217593,38.88061450,4577.452,Global,0.011,0.012,0.012,0.016,1.134,m,FIX,2023-08-11 07:23:27.4 UTC+02:00,2023-08-11 07:23:37.4 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,19.180,Global CS
E14,,,,,,73.01215228,38.88057409,4577.474,Global,0.011,0.012,0.013,0.016,1.134,m,FIX,2023-08-11 07:23:48.8 UTC+02:00,2023-08-11 07:23:58.8 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,14.280,Global CS
E15,,,,,,73.01211967,38.88053905,4576.536,Global,0.013,0.016,0.010,0.021,1.134,m,FIX,2023-08-11 07:24:10.2 UTC+02:00,2023-08-11 07:24:20.2 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,9.438,Global CS
E16,,,,,,73.01209722,38.88049671,4576.771,Global,0.012,0.022,0.012,0.025,1.134,m,FIX,2023-08-11 07:24:30.0 UTC+02:00,2023-08-11 07:24:40.0 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,4.447,Global CS
E17,,,,,,73.01207024,38.88045919,4577.447,Global,0.011,0.011,0.013,0.015,1.134,m,FIX,2023-08-11 07:24:59.6 UTC+02:00,2023-08-11 07:25:09.6 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,1.667,Global CS
E18,,,,,,73.01203625,38.88041976,4577.018,Global,0.011,0.013,0.011,0.017,1.134,m,FIX,2023-08-11 07:25:21.0 UTC+02:00,2023-08-11 07:25:31.0 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,5.808,Global CS
E19,,,,,,73.01200593,38.88038439,4577.233,Global,0.012,0.012,0.015,0.017,1.134,m,FIX,2023-08-11 07:25:44.8 UTC+02:00,2023-08-11 07:25:54.8 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,10.509,Global CS
E20,,,,,,73.01197671,38.88035289,4579.307,Global,0.015,0.017,0.015,0.023,1.134,m,FIX,2023-08-11 07:26:12.6 UTC+02:00,2023-08-11 07:26:22.6 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,15.134,Global CS
E21,,,,,,73.01194908,38.88031819,4581.937,Global,0.012,0.011,0.012,0.017,1.134,m,FIX,2023-08-11 07:26:37.4 UTC+02:00,2023-08-11 07:26:47.4 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,20.204,Global CS
E22,,,,,,73.01191854,38.88028588,4584.270,Global,0.011,0.010,0.013,0.015,1.134,m,FIX,2023-08-11 07:27:05.0 UTC+02:00,2023-08-11 07:27:15.0 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,25.174,Global CS
E23,,,,,,73.01188693,38.88024945,4584.895,Global,0.012,0.014,0.013,0.018,1.134,m,FIX,2023-08-11 07:27:29.8 UTC+02:00,2023-08-11 07:27:39.8 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,30.020,Global CS
E24,,,,,,73.01185888,38.88020967,4585.148,Global,0.016,0.013,0.014,0.021,1.134,m,FIX,2023-08-11 07:27:51.0 UTC+02:00,2023-08-11 07:28:01.0 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,34.900,Global CS
E25,,,,,,73.01184290,38.88015904,4584.221,Global,0.010,0.012,0.011,0.016,1.134,m,FIX,2023-08-11 07:30:25.6 UTC+02:00,2023-08-11 07:30:35.6 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,40.054,Global CS
E26,,,,,,73.01183362,38.88011660,4584.671,Global,0.011,0.017,0.013,0.020,1.134,m,FIX,2023-08-11 07:30:52.8 UTC+02:00,2023-08-11 07:31:02.8 UTC+02:00,51,1.7,,,,73.01206987,38.88046379,4577.002,44.551,Global CS
E27,,,,,,73.01182476,38.88007101,4585.074,Global,0.021,0.021,0.013,0.030,1.134,m,FIX,2023-08-11 07:31:12.2 UTC+02:00,2023-08-11 07:31:22.2 UTC+02:00,51,1.9,,,,73.01206987,38.88046379,4577.002,49.400,Global CS
E28,,,,,,73.01180613,38.88002812,4585.216,Global,0.016,0.019,0.013,0.025,1.134,m,FIX,2023-08-11 07:31:31.8 UTC+02:00,2023-08-11 07:31:41.8 UTC+02:00,51,1.9,,,,73.01206987,38.88046379,4577.002,54.359,Global CS
E29,,,,,,73.01179153,38.87998514,4585.035,Global,0.017,0.035,0.012,0.039,1.134,m,FIX,2023-08-11 07:31:53.2 UTC+02:00,2023-08-11 07:32:03.2 UTC+02:00,51,1.9,,,,73.01206987,38.88046379,4577.002,59.112,Global CS
E30,,,,,,73.01177949,38.87994014,4584.975,Global,0.012,0.013,0.013,0.018,1.134,m,FIX,2023-08-11 07:32:13.2 UTC+02:00,2023-08-11 07:32:23.2 UTC+02:00,51,1.9,,,,73.01206987,38.88046379,4577.002,64.049,Global CS
E31,,,,,,73.01176153,38.87990074,4585.304,Global,0.015,0.012,0.012,0.019,1.134,m,FIX,2023-08-11 07:32:33.6 UTC+02:00,2023-08-11 07:32:43.6 UTC+02:00,51,1.9,,,,73.01206987,38.88046379,4577.002,68.687,Global CS
E32,,,,,,73.01174540,38.87985527,4585.695,Global,0.012,0.012,0.013,0.017,1.134,m,FIX,2023-08-11 07:32:56.2 UTC+02:00,2023-08-11 07:33:06.2 UTC+02:00,51,1.9,,,,73.01206987,38.88046379,4577.002,73.888,Global CS
E33,,,,,,73.01173017,38.87981347,4585.140,Global,0.011,0.013,0.012,0.017,1.134,m,FIX,2023-08-11 07:33:22.6 UTC+02:00,2023-08-11 07:33:32.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,78.565,Global CS
E34,,,,,,73.01172108,38.87977127,4585.675,Global,0.016,0.016,0.013,0.023,1.134,m,FIX,2023-08-11 07:33:43.6 UTC+02:00,2023-08-11 07:33:53.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,83.251,Global CS
E35,,,,,,73.01170715,38.87972784,4586.492,Global,0.012,0.012,0.012,0.017,1.134,m,FIX,2023-08-11 07:34:05.4 UTC+02:00,2023-08-11 07:34:15.4 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,88.256,Global CS
E36,,,,,,73.01168953,38.87968665,4585.721,Global,0.014,0.011,0.011,0.018,1.134,m,FIX,2023-08-11 07:34:25.6 UTC+02:00,2023-08-11 07:34:35.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,92.962,Global CS
E37,,,,,,73.01166385,38.87964524,4586.371,Global,0.013,0.017,0.010,0.021,1.134,m,FIX,2023-08-11 07:34:45.2 UTC+02:00,2023-08-11 07:34:55.2 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,98.084,Global CS
E38,,,,,,73.01164805,38.87960285,4586.004,Global,0.014,0.016,0.012,0.022,1.134,m,FIX,2023-08-11 07:35:03.6 UTC+02:00,2023-08-11 07:35:13.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,102.914,Global CS
E39,,,,,,73.01163809,38.87956376,4588.177,Global,0.013,0.020,0.017,0.024,1.134,m,FIX,2023-08-11 07:35:24.6 UTC+02:00,2023-08-11 07:35:34.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,107.509,Global CS
E40,,,,,,73.01163127,38.87952048,4589.364,Global,0.018,0.015,0.012,0.023,1.134,m,FIX,2023-08-11 07:35:46.4 UTC+02:00,2023-08-11 07:35:56.4 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,112.314,Global CS
E41,,,,,,73.01162049,38.87947753,4590.050,Global,0.020,0.018,0.012,0.027,1.134,m,FIX,2023-08-11 07:36:07.0 UTC+02:00,2023-08-11 07:36:17.0 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,117.174,Global CS
E42,,,,,,73.01163049,38.87943339,4589.596,Global,0.016,0.012,0.013,0.020,1.134,m,FIX,2023-08-11 07:36:30.6 UTC+02:00,2023-08-11 07:36:40.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,121.444,Global CS
E43,,,,,,73.01162717,38.87939251,4589.197,Global,0.011,0.016,0.014,0.020,1.134,m,FIX,2023-08-11 07:36:50.2 UTC+02:00,2023-08-11 07:37:00.2 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,125.782,Global CS
E44,,,,,,73.01161843,38.87934615,4589.914,Global,0.014,0.013,0.012,0.019,1.134,m,FIX,2023-08-11 07:37:11.6 UTC+02:00,2023-08-11 07:37:21.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,130.962,Global CS
E45,,,,,,73.01161361,38.87930368,4591.564,Global,0.012,0.019,0.013,0.022,1.134,m,FIX,2023-08-11 07:37:33.6 UTC+02:00,2023-08-11 07:37:43.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,135.750,Global CS
E46,,,,,,73.01161436,38.87926263,4593.388,Global,0.014,0.016,0.011,0.021,1.134,m,FIX,2023-08-11 07:37:55.8 UTC+02:00,2023-08-11 07:38:05.8 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,140.272,Global CS
E47,,,,,,73.01162436,38.87922309,4594.501,Global,0.013,0.016,0.012,0.020,1.134,m,FIX,2023-08-11 07:38:15.8 UTC+02:00,2023-08-11 07:38:25.8 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,144.374,Global CS
E48,,,,,,73.01165370,38.87918526,4594.249,Global,0.019,0.031,0.012,0.036,1.134,m,FIX,2023-08-11 07:38:34.6 UTC+02:00,2023-08-11 07:38:44.6 UTC+02:00,51,1.8,,,,73.01206987,38.88046379,4577.002,147.729,Global CS
