Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
E1;;;;;;73.01513076;38.88429599;4522.453;Global;0.015;0.013;0.011;0.02;1.134;m;FIX;2023-08-11 11:06:44.0 UTC+02:00;2023-08-11 11:06:54.0 UTC+02:00;51;1.6;;;;73.01505603;38.88419963;4522.323;12.585;Global CS
E2;;;;;;73.01517972;38.88431955;4522.937;Global;0.016;0.015;0.011;0.021;1.134;m;FIX;2023-08-11 11:07:25.4 UTC+02:00;2023-08-11 11:07:35.4 UTC+02:00;51;1.6;;;;73.01505603;38.88419963;4522.323;17.192;Global CS
E3;;;;;;73.01522825;38.88434274;4523.366;Global;0.014;0.013;0.013;0.019;1.134;m;FIX;2023-08-11 11:07:47.0 UTC+02:00;2023-08-11 11:07:57.0 UTC+02:00;51;1.6;;;;73.01505603;38.88419963;4522.323;21.92;Global CS
E4;;;;;;73.01527597;38.88436658;4524.146;Global;0.011;0.014;0.011;0.018;1.134;m;FIX;2023-08-11 11:08:06.4 UTC+02:00;2023-08-11 11:08:16.4 UTC+02:00;51;1.6;;;;73.01505603;38.88419963;4522.323;26.79;Global CS
E5;;;;;;73.01532285;38.88439247;4524.559;Global;0.011;0.012;0.016;0.016;1.134;m;FIX;2023-08-11 11:08:25.0 UTC+02:00;2023-08-11 11:08:35.0 UTC+02:00;51;1.6;;;;73.01505603;38.88419963;4522.323;31.727;Global CS
E6;;;;;;73.01536941;38.88441797;4525.216;Global;0.012;0.012;0.01;0.017;1.134;m;FIX;2023-08-11 11:08:56.0 UTC+02:00;2023-08-11 11:09:06.0 UTC+02:00;51;1.6;;;;73.01505603;38.88419963;4522.323;36.681;Global CS
E7;;;;;;73.01541575;38.88444493;4525.519;Global;0.012;0.014;0.011;0.018;1.134;m;FIX;2023-08-11 11:09:14.4 UTC+02:00;2023-08-11 11:09:24.4 UTC+02:00;51;1.5;;;;73.01505603;38.88419963;4522.323;41.684;Global CS
E8;;;;;;73.01546222;38.88446929;4526.095;Global;0.011;0.011;0.013;0.016;1.134;m;FIX;2023-08-11 11:09:34.6 UTC+02:00;2023-08-11 11:09:44.6 UTC+02:00;51;1.4;;;;73.01505603;38.88419963;4522.323;46.54;Global CS
E9;;;;;;73.01551033;38.88449443;4526.602;Global;0.011;0.011;0.012;0.016;1.134;m;FIX;2023-08-11 11:09:56.0 UTC+02:00;2023-08-11 11:10:06.0 UTC+02:00;51;1.4;;;;73.01505603;38.88419963;4522.323;51.549;Global CS
E10;;;;;;73.0155604;38.8845176;4527.266;Global;0.01;0.013;0.011;0.016;1.134;m;FIX;2023-08-11 11:10:17.0 UTC+02:00;2023-08-11 11:10:27.0 UTC+02:00;51;1.4;;;;73.01505603;38.88419963;4522.323;56.596;Global CS
