Name;Code;Easting;Northing;Elevation;Description;Longitude;Latitude;Ellipsoidal height;Origin;Easting RMS;Northing RMS;Elevation RMS;Lateral RMS;Antenna height;Antenna height units;Solution status;Averaging start;Averaging end;Samples;PDOP;Base easting;Base northing;Base elevation;Base longitude;Base latitude;Base ellipsoidal height;Baseline;CS name
test;;;;;;72.80990282;37.41510473;4525.455;Global;0.011;0.015;0.013;0.019;1.134;m;FIX;2023-08-16 05:59:24.8 UTC+02:00;2023-08-16 05:59:33.0 UTC+02:00;42;1.1;;;;72.80988922;37.41510892;4525.326;1.809;Global CS
E1test;;;;;;72.80990244;37.41510466;4525.445;Global;0.011;0.017;0.011;0.02;1.134;m;FIX;2023-08-16 05:59:59.0 UTC+02:00;2023-08-16 06:00:09.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;1.787;Global CS
E1test;;;;;;72.81089015;37.41442537;4515.956;Global;0.011;0.013;0.011;0.017;1.134;m;FIX;2023-08-16 06:03:14.4 UTC+02:00;2023-08-16 06:03:24.4 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;117.026;Global CS
E2 test;;;;;;72.81085026;37.41445567;4516.158;Global;0.015;0.011;0.012;0.018;1.134;m;FIX;2023-08-16 06:04:04.0 UTC+02:00;2023-08-16 06:04:14.0 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;112.144;Global CS
E3 test;;;;;;72.81076542;37.41451421;4516.374;Global;0.048;0.017;0.017;0.051;1.134;m;FIX;2023-08-16 06:04:46.6 UTC+02:00;2023-08-16 06:04:56.6 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;102.256;Global CS
E3 test1;;;;;;72.81072258;37.4145425;4516.637;Global;0.011;0.014;0.013;0.018;1.134;m;FIX;2023-08-16 06:05:42.6 UTC+02:00;2023-08-16 06:05:52.6 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;97.298;Global CS
E6 test1;;;;;;72.81067915;37.41457124;4516.824;Global;0.015;0.012;0.011;0.019;1.134;m;FIX;2023-08-16 06:06:48.8 UTC+02:00;2023-08-16 06:06:58.8 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;92.294;Global CS
E7 test1;;;;;;72.81063779;37.41460088;4517.085;Global;0.014;0.014;0.012;0.02;1.134;m;FIX;2023-08-16 06:07:24.4 UTC+02:00;2023-08-16 06:07:34.4 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;87.356;Global CS
E8 test1;;;;;;72.8105948;37.41463033;4517.479;Global;0.018;0.019;0.012;0.026;1.134;m;FIX;2023-08-16 06:08:00.8 UTC+02:00;2023-08-16 06:08:10.8 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;82.343;Global CS
E9 test1;;;;;;72.81055193;37.41465894;4517.757;Global;0.012;0.03;0.013;0.032;1.134;m;FIX;2023-08-16 06:08:42.4 UTC+02:00;2023-08-16 06:08:52.4 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;77.36;Global CS
E10  test1;;;;;;72.81050822;37.41468769;4518.168;Global;0.016;0.031;0.019;0.035;1.134;m;FIX;2023-08-16 06:09:20.0 UTC+02:00;2023-08-16 06:09:30.0 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;72.328;Global CS
E11  test1;;;;;;72.81046475;37.41471594;4518.597;Global;0.028;0.017;0.012;0.033;1.134;m;FIX;2023-08-16 06:09:56.4 UTC+02:00;2023-08-16 06:10:06.4 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;67.366;Global CS
E12 test1;;;;;;72.81042214;37.41474573;4518.972;Global;0.016;0.021;0.014;0.026;1.134;m;FIX;2023-08-16 06:10:35.0 UTC+02:00;2023-08-16 06:10:45.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;62.324;Global CS
E13 test1;G1;RST;;;;72.81037946;37.41477424;4519.249;Global;0.012;0.013;0.012;0.018;1.134;m;FIX;2023-08-16 06:11:17.6 UTC+02:00;2023-08-16 06:11:27.6 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;57.377;Global CS
E14 test1;G2;;;;;72.81033721;37.41480476;4519.628;Global;0.015;0.013;0.015;0.02;1.134;m;FIX;2023-08-16 06:11:51.6 UTC+02:00;2023-08-16 06:12:01.6 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;52.335;Global CS
E15 test1;G3;;;;;72.8102964;37.41483419;4519.939;Global;0.014;0.022;0.015;0.026;1.134;m;FIX;2023-08-16 06:12:27.8 UTC+02:00;2023-08-16 06:12:37.8 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;47.427;Global CS
E16 test1;G4;;;;;72.81025267;37.41486238;4520.559;Global;0.015;0.022;0.013;0.027;1.134;m;FIX;2023-08-16 06:12:58.8 UTC+02:00;2023-08-16 06:13:08.8 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;42.425;Global CS
E17 test1;G5;;;;;72.81020784;37.41489114;4521.095;Global;0.015;0.021;0.011;0.026;1.134;m;FIX;2023-08-16 06:13:33.2 UTC+02:00;2023-08-16 06:13:43.2 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;37.295;Global CS
E18 test1;G6;;;;;72.81016469;37.41492068;4521.412;Global;0.021;0.034;0.014;0.04;1.134;m;FIX;2023-08-16 06:14:06.8 UTC+02:00;2023-08-16 06:14:16.8 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;32.273;Global CS
E19 test1;G7;;;;;72.81012319;37.41494947;4521.877;Global;0.014;0.015;0.014;0.021;1.134;m;FIX;2023-08-16 06:14:40.2 UTC+02:00;2023-08-16 06:14:50.2 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;27.353;Global CS
E20 test1;G8;;;;;72.8100819;37.41497907;4522.793;Global;0.039;0.016;0.015;0.042;1.134;m;FIX;2023-08-16 06:15:20.4 UTC+02:00;2023-08-16 06:15:30.4 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;22.409;Global CS
E21 test1;G9;;;;;72.81003946;37.41500795;4523.197;Global;0.013;0.017;0.012;0.021;1.134;m;FIX;2023-08-16 06:15:51.0 UTC+02:00;2023-08-16 06:16:01.0 UTC+02:00;51;1.2;;;;72.80988922;37.41510892;4525.326;17.431;Global CS
E22 test1;G10;;;;;72.80999701;37.41503755;4523.78;Global;0.02;0.017;0.01;0.026;1.134;m;FIX;2023-08-16 06:16:22.0 UTC+02:00;2023-08-16 06:16:32.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;12.411;Global CS
E23 test1;G11;;;;;72.80995216;37.41506528;4524.401;Global;0.016;0.018;0.011;0.024;1.134;m;FIX;2023-08-16 06:16:52.0 UTC+02:00;2023-08-16 06:17:02.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;7.393;Global CS
E24 test1;G12;;;;;72.8099115;37.41509395;4525.369;Global;0.023;0.021;0.014;0.031;1.134;m;FIX;2023-08-16 06:17:29.0 UTC+02:00;2023-08-16 06:17:39.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;2.83;Global CS
E25 test1;G13;;;;;72.80986615;37.41512224;4525.99;Global;0.027;0.013;0.011;0.03;1.134;m;FIX;2023-08-16 06:18:28.2 UTC+02:00;2023-08-16 06:18:38.2 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;3.084;Global CS
E26 test1;G14;;;;;72.80982478;37.41515171;4526.717;Global;0.025;0.016;0.01;0.029;1.134;m;FIX;2023-08-16 06:19:01.0 UTC+02:00;2023-08-16 06:19:11.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;7.844;Global CS
E27 test1;G15;;;;;72.80978218;37.41518122;4527.107;Global;0.025;0.022;0.012;0.033;1.134;m;FIX;2023-08-16 06:19:36.0 UTC+02:00;2023-08-16 06:19:46.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;12.772;Global CS
E28 test1;G16;;;;;72.80973951;37.41521067;4527.628;Global;0.023;0.013;0.014;0.026;1.134;m;FIX;2023-08-16 06:20:08.0 UTC+02:00;2023-08-16 06:20:18.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;17.755;Global CS
E29 test1;G17;;;;;72.80969563;37.41523808;4528.239;Global;0.012;0.019;0.011;0.023;1.134;m;FIX;2023-08-16 06:20:44.0 UTC+02:00;2023-08-16 06:20:54.0 UTC+02:00;51;1.1;;;;72.80988922;37.41510892;4525.326;22.711;Global CS
