ID,Latitute,,Longitute,,Altitude,Slope,Aspect,lat,lon,,,
A10201,41,49.02,77,34.95,3370,23,SW,41.817,77.5825,,,
A10202,41,46.63,77,13.96,3007,15,S,41.77716667,77.23266667,,,
A10205,41,53.57,77,17.67,3410,7,S,41.89283333,77.2945,,,
A10206,41,56.43,77,26.39,3645,12,N,41.9405,77.43983333,,,
A50200,41,56.43,77,26.39,3645,12,N,41.9405,77.43983333,,,
A50205,41,55.45,77,14.39,3875,5,S,41.92416667,77.23983333,,,
A10207,41,31.09,77,26.17,3070,8,S,41.51816667,77.43616667,,,
A10208,41,37.57,77,37.57,3513,11,S,41.62616667,77.62616667,,,
A10221,41,43.28,77,47.78,3495,7,W,41.72133333,77.79633333,,,
A10222,41,46.14,77,46,3865,14,SE,41.769,77.76666667,,,
A50209,41,46.93,77,45.63,4043,6,W,41.78216667,77.7605,,,
A1023C,41,38.23,78,0.18,3727,8,W,41.63716667,78.003,,,
A10247,41,52.29,78,6.06,3650,4,W,41.8715,78.101,,,
A10238,41,53.45,77,41.89,3781,18,E,41.89083333,77.69816667,,,
A50220,41,53.45,77,41.89,3781,18,E,41.89083333,77.69816667,,,
A10249,41,28.93,77,23.25,3334,25,N,41.48216667,77.3875,,,
ASUE02,,,,,,,,41.802581,77.748603,,,
