4  5.00 0.00 0.00  0.00 10.00  0.00 15.00  0.00 106.77 
4  5.00 0.00 0.00  0.00 15.00  0.00 20.00  0.00 89.15 
4  5.00 0.00 0.00  0.00 20.00  0.00 25.00  0.00 234.05 
4  5.00 0.00 0.00  0.00 25.00  0.00 30.00  0.00 275.79 
4  5.00 0.00 0.00  0.00 30.00  0.00 35.00  0.00 203.04 
4  5.00 0.00 0.00  0.00 35.00  0.00 40.00  0.00 253.09 
4  5.00 0.00 0.00  0.00 40.00  0.00 45.00  0.00 278.08 
4  5.00 0.00 0.00  0.00 45.00  0.00 50.00  0.00 190.51 
4  5.00 0.00 0.00  0.00 50.00  0.00 55.00  0.00 407.95 
4  5.00 0.00 0.00  0.00 55.00  0.00 60.00  0.00 509.85 
4  5.00 0.00 0.00  0.00 60.00  0.00 65.00  0.00 187.58 
4  5.00 0.00 0.00  0.00 65.00  0.00 70.00  0.00 333.52 
4  5.00 0.00 0.00  0.00 70.00  0.00 75.00  0.00 382.87 
4  5.00 0.00 0.00  0.00 75.00  0.00 80.00  0.00 280.37 
4  5.00 0.00 0.00  0.00 80.00  0.00 85.00  0.00 177.06 
4  5.00 0.00 0.00  0.00 85.00  0.00 90.00  0.00 275.86 
4  5.00 0.00 0.00  0.00 90.00  0.00 95.00  0.00 491.22 
4  5.00 0.00 0.00  0.00 95.00  0.00 100.00  0.00 554.66 
4  5.00 0.00 0.00  0.00 100.00  0.00 105.00  0.00 289.00 
4  5.00 0.00 0.00  0.00 105.00  0.00 110.00  0.00 291.23 
4  5.00 0.00 0.00  0.00 110.00  0.00 115.00  0.00 259.08 
4  5.00 0.00 0.00  0.00 115.00  0.00 120.00  0.00 275.53 
4  5.00 0.00 0.00  0.00 120.00  0.00 125.00  0.00 292.34 
4  5.00 0.00 0.00  0.00 125.00  0.00 130.00  0.00 526.29 
4  5.00 0.00 0.00  0.00 130.00  0.00 135.00  0.00 486.69 
4  5.00 0.00 0.00  0.00 135.00  0.00 140.00  0.00 412.40 
4  5.00 0.00 0.00  0.00 140.00  0.00 145.00  0.00 408.01 
4  5.00 0.00 0.00  0.00 145.00  0.00 150.00  0.00 319.43 
4  5.00 0.00 0.00  0.00 150.00  0.00 155.00  0.00 390.67 
4  5.00 0.00 0.00  0.00 155.00  0.00 160.00  0.00 334.40 
