4  2.00 0.00 0.00  0.00 4.00  0.00 6.00  0.00 160.80 
4  2.00 0.00 0.00  0.00 6.00  0.00 8.00  0.00 229.94 
4  2.00 0.00 0.00  0.00 8.00  0.00 10.00  0.00 270.64 
4  2.00 0.00 0.00  0.00 10.00  0.00 12.00  0.00 291.54 
4  2.00 0.00 0.00  0.00 16.00  0.00 18.00  0.00 303.12 
4  2.00 0.00 0.00  0.00 18.00  0.00 20.00  0.00 311.59 
4  2.00 0.00 0.00  0.00 20.00  0.00 22.00  0.00 323.67 
4  2.00 0.00 0.00  0.00 22.00  0.00 24.00  0.00 398.14 
4  2.00 0.00 0.00  0.00 24.00  0.00 26.00  0.00 387.74 
4  2.00 0.00 0.00  0.00 26.00  0.00 28.00  0.00 422.92 
4  2.00 0.00 0.00  0.00 28.00  0.00 30.00  0.00 435.35 
4  2.00 0.00 0.00  0.00 30.00  0.00 32.00  0.00 488.47 
4  2.00 0.00 0.00  0.00 32.00  0.00 34.00  0.00 604.77 
4  2.00 0.00 0.00  0.00 34.00  0.00 36.00  0.00 543.19 
4  2.00 0.00 0.00  0.00 36.00  0.00 38.00  0.00 492.33 
4  2.00 0.00 0.00  0.00 38.00  0.00 40.00  0.00 929.79 
4  2.00 0.00 0.00  0.00 40.00  0.00 42.00  0.00 569.07 
4  2.00 0.00 0.00  0.00 42.00  0.00 44.00  0.00 531.46 
4  2.00 0.00 0.00  0.00 44.00  0.00 46.00  0.00 556.01 
4  2.00 0.00 0.00  0.00 46.00  0.00 48.00  0.00 617.27 
4  2.00 0.00 0.00  0.00 48.00  0.00 50.00  0.00 761.85 
4  2.00 0.00 0.00  0.00 50.00  0.00 52.00  0.00 808.97 
4  2.00 0.00 0.00  0.00 52.00  0.00 54.00  0.00 742.87 
4  2.00 0.00 0.00  0.00 54.00  0.00 56.00  0.00 723.70 
4  2.00 0.00 0.00  0.00 56.00  0.00 58.00  0.00 701.62 
4  2.00 0.00 0.00  0.00 58.00  0.00 60.00  0.00 764.33 
