4  0.00  0.00 15.00  0.00 5.00  0.00 10.00  0.00 7554.10 
4  0.00  0.00 30.00  0.00 10.00  0.00 20.00  0.00 9114.19 
4  0.00  0.00 45.00  0.00 15.00  0.00 30.00  0.00 10961.91 
4  0.00  0.00 60.00  0.00 20.00  0.00 40.00  0.00 9227.96 
4  0.00  0.00 75.00  0.00 25.00  0.00 50.00  0.00 11409.45 
4  0.00  0.00 90.00  0.00 30.00  0.00 60.00  0.00 11726.18 
4  0.00  0.00 105.00  0.00 35.00  0.00 70.00  0.00 12877.54 
4  0.00  0.00 120.00  0.00 40.00  0.00 80.00  0.00 13075.35 
4  0.00  0.00 135.00  0.00 45.00  0.00 90.00  0.00 14093.69 
4  0.00  0.00 150.00  0.00 50.00  0.00 100.00  0.00 14308.91 
4  0.00  0.00 165.00  0.00 55.00  0.00 110.00  0.00 14531.65 
4  0.00  0.00 180.00  0.00 60.00  0.00 120.00  0.00 15990.43 
4  0.00  0.00 195.00  0.00 65.00  0.00 130.00  0.00 15666.30 
4  0.00  0.00 210.00  0.00 70.00  0.00 140.00  0.00 15074.41 
4  0.00  0.00 225.00  0.00 75.00  0.00 150.00  0.00 14859.38 
4  5.00  0.00 20.00  0.00 10.00  0.00 15.00  0.00 4555.61 
4  5.00  0.00 35.00  0.00 15.00  0.00 25.00  0.00 9084.75 
4  5.00  0.00 50.00  0.00 20.00  0.00 35.00  0.00 8391.75 
4  5.00  0.00 65.00  0.00 25.00  0.00 45.00  0.00 9954.90 
4  5.00  0.00 80.00  0.00 30.00  0.00 55.00  0.00 11808.98 
4  5.00  0.00 95.00  0.00 35.00  0.00 65.00  0.00 11401.80 
4  5.00  0.00 110.00  0.00 40.00  0.00 75.00  0.00 14052.64 
4  5.00  0.00 125.00  0.00 45.00  0.00 85.00  0.00 12917.86 
4  5.00  0.00 140.00  0.00 50.00  0.00 95.00  0.00 13739.46 
4  5.00  0.00 155.00  0.00 55.00  0.00 105.00  0.00 14270.03 
4  5.00  0.00 170.00  0.00 60.00  0.00 115.00  0.00 16022.03 
4  5.00  0.00 185.00  0.00 65.00  0.00 125.00  0.00 16595.43 
4  5.00  0.00 200.00  0.00 70.00  0.00 135.00  0.00 14999.62 
4  5.00  0.00 215.00  0.00 75.00  0.00 145.00  0.00 14936.67 
4  5.00  0.00 230.00  0.00 80.00  0.00 155.00  0.00 15623.21 
4  10.00  0.00 25.00  0.00 15.00  0.00 20.00  0.00 7804.76 
4  10.00  0.00 40.00  0.00 20.00  0.00 30.00  0.00 7472.11 
4  10.00  0.00 55.00  0.00 25.00  0.00 40.00  0.00 7621.48 
4  10.00  0.00 70.00  0.00 30.00  0.00 50.00  0.00 11203.16 
4  10.00  0.00 85.00  0.00 35.00  0.00 60.00  0.00 11214.08 
4  10.00  0.00 100.00  0.00 40.00  0.00 70.00  0.00 12652.34 
4  10.00  0.00 115.00  0.00 45.00  0.00 80.00  0.00 12854.99 
4  10.00  0.00 130.00  0.00 50.00  0.00 90.00  0.00 12858.82 
4  10.00  0.00 145.00  0.00 55.00  0.00 100.00  0.00 14304.59 
4  10.00  0.00 160.00  0.00 60.00  0.00 110.00  0.00 15094.65 
4  10.00  0.00 175.00  0.00 65.00  0.00 120.00  0.00 17596.49 
4  10.00  0.00 190.00  0.00 70.00  0.00 130.00  0.00 15034.72 
4  10.00  0.00 205.00  0.00 75.00  0.00 140.00  0.00 14333.50 
4  10.00  0.00 220.00  0.00 80.00  0.00 150.00  0.00 14189.48 
4  10.00  0.00 235.00  0.00 85.00  0.00 160.00  0.00 15715.37 
4  15.00  0.00 30.00  0.00 20.00  0.00 25.00  0.00 4861.14 
4  15.00  0.00 45.00  0.00 25.00  0.00 35.00  0.00 5739.09 
4  15.00  0.00 60.00  0.00 30.00  0.00 45.00  0.00 8266.21 
4  15.00  0.00 75.00  0.00 35.00  0.00 55.00  0.00 10329.88 
4  15.00  0.00 90.00  0.00 40.00  0.00 65.00  0.00 10826.19 
4  15.00  0.00 105.00  0.00 45.00  0.00 75.00  0.00 12304.79 
4  15.00  0.00 120.00  0.00 50.00  0.00 85.00  0.00 10784.41 
4  15.00  0.00 135.00  0.00 55.00  0.00 95.00  0.00 13125.30 
4  15.00  0.00 150.00  0.00 60.00  0.00 105.00  0.00 14580.96 
4  15.00  0.00 165.00  0.00 65.00  0.00 115.00  0.00 15884.54 
4  15.00  0.00 180.00  0.00 70.00  0.00 125.00  0.00 15779.75 
4  15.00  0.00 195.00  0.00 75.00  0.00 135.00  0.00 15193.36 
4  15.00  0.00 210.00  0.00 80.00  0.00 145.00  0.00 15496.32 
4  15.00  0.00 225.00  0.00 85.00  0.00 155.00  0.00 15314.53 
4  20.00  0.00 35.00  0.00 25.00  0.00 30.00  0.00 3859.30 
4  20.00  0.00 50.00  0.00 30.00  0.00 40.00  0.00 5914.58 
4  20.00  0.00 65.00  0.00 35.00  0.00 50.00  0.00 11955.13 
4  20.00  0.00 80.00  0.00 40.00  0.00 60.00  0.00 10811.51 
4  20.00  0.00 95.00  0.00 45.00  0.00 70.00  0.00 11518.57 
4  20.00  0.00 110.00  0.00 50.00  0.00 80.00  0.00 10824.01 
4  20.00  0.00 125.00  0.00 55.00  0.00 90.00  0.00 11838.94 
4  20.00  0.00 140.00  0.00 60.00  0.00 100.00  0.00 14482.22 
4  20.00  0.00 155.00  0.00 65.00  0.00 110.00  0.00 15366.48 
4  20.00  0.00 170.00  0.00 70.00  0.00 120.00  0.00 16731.49 
4  20.00  0.00 185.00  0.00 75.00  0.00 130.00  0.00 15544.68 
4  20.00  0.00 200.00  0.00 80.00  0.00 140.00  0.00 15171.78 
4  20.00  0.00 215.00  0.00 85.00  0.00 150.00  0.00 15702.98 
4  20.00  0.00 230.00  0.00 90.00  0.00 160.00  0.00 15539.78 
4  25.00  0.00 40.00  0.00 30.00  0.00 35.00  0.00 3900.72 
4  25.00  0.00 55.00  0.00 35.00  0.00 45.00  0.00 6118.85 
