gl_1-pr_DD
         5.00
11
3
Type of measurement (0=app. resistivity,1=resistance)
0
944
 2
0
4  0.00  0.00 5.00  0.00 10.00  0.00 15.00  0.00 1813.15 
4  0.00  0.00 5.00  0.00 15.00  0.00 20.00  0.00 2019.45 
4  0.00  0.00 5.00  0.00 20.00  0.00 25.00  0.00 1805.20 
4  0.00  0.00 5.00  0.00 25.00  0.00 30.00  0.00 1656.42 
4  0.00  0.00 5.00  0.00 30.00  0.00 35.00  0.00 1807.69 
4  0.00  0.00 5.00  0.00 35.00  0.00 40.00  0.00 1821.15 
4  0.00  0.00 5.00  0.00 40.00  0.00 45.00  0.00 1648.76 
4  0.00  0.00 5.00  0.00 45.00  0.00 50.00  0.00 1473.00 
4  0.00  0.00 5.00  0.00 50.00  0.00 55.00  0.00 1981.97 
4  0.00  0.00 5.00  0.00 55.00  0.00 60.00  0.00 1867.13 
4  0.00  0.00 5.00  0.00 60.00  0.00 65.00  0.00 1498.07 
4  0.00  0.00 5.00  0.00 65.00  0.00 70.00  0.00 1255.85 
4  0.00  0.00 5.00  0.00 70.00  0.00 75.00  0.00 1266.05 
4  0.00  0.00 5.00  0.00 75.00  0.00 80.00  0.00 699844.81 
4  0.00  0.00 5.00  0.00 80.00  0.00 85.00  0.00 60442.98 
4  0.00  0.00 5.00  0.00 85.00  0.00 90.00  0.00 1638.45 
4  0.00  0.00 5.00  0.00 90.00  0.00 95.00  0.00 2208.26 
4  0.00  0.00 5.00  0.00 95.00  0.00 100.00  0.00 1513.97 
4  0.00  0.00 5.00  0.00 100.00  0.00 105.00  0.00 1952.31 
4  0.00  0.00 5.00  0.00 105.00  0.00 110.00  0.00 2435.32 
4  0.00  0.00 5.00  0.00 110.00  0.00 115.00  0.00 2455.42 
4  0.00  0.00 5.00  0.00 115.00  0.00 120.00  0.00 3080.02 
4  0.00  0.00 5.00  0.00 120.00  0.00 125.00  0.00 2618.89 
4  0.00  0.00 5.00  0.00 125.00  0.00 130.00  0.00 2569.83 
4  0.00  0.00 5.00  0.00 130.00  0.00 135.00  0.00 6663.89 
4  0.00  0.00 5.00  0.00 135.00  0.00 140.00  0.00 2256.38 
4  0.00  0.00 5.00  0.00 140.00  0.00 145.00  0.00 2210.78 
4  0.00  0.00 5.00  0.00 145.00  0.00 150.00  0.00 2259.30 
4  0.00  0.00 5.00  0.00 150.00  0.00 155.00  0.00 2657.70 
4  0.00  0.00 5.00  0.00 155.00  0.00 160.00  0.00 2691.88 
4  0.00  0.00 5.00  0.00 160.00  0.00 165.00  0.00 2434.54 
4  0.00  0.00 5.00  0.00 165.00  0.00 170.00  0.00 2563.82 
4  5.00  0.00 10.00  0.00 15.00  0.00 20.00  0.00 2182.91 
4  5.00  0.00 10.00  0.00 20.00  0.00 25.00  0.00 2234.95 
4  5.00  0.00 10.00  0.00 25.00  0.00 30.00  0.00 2108.58 
4  5.00  0.00 10.00  0.00 30.00  0.00 35.00  0.00 2350.22 
4  5.00  0.00 10.00  0.00 35.00  0.00 40.00  0.00 2419.63 
4  5.00  0.00 10.00  0.00 40.00  0.00 45.00  0.00 2218.97 
4  5.00  0.00 10.00  0.00 45.00  0.00 50.00  0.00 1974.15 
4  5.00  0.00 10.00  0.00 50.00  0.00 55.00  0.00 2707.87 
4  5.00  0.00 10.00  0.00 55.00  0.00 60.00  0.00 2521.21 
4  5.00  0.00 10.00  0.00 60.00  0.00 65.00  0.00 1962.93 
4  5.00  0.00 10.00  0.00 65.00  0.00 70.00  0.00 1626.46 
4  5.00  0.00 10.00  0.00 70.00  0.00 75.00  0.00 1650.20 
4  5.00  0.00 10.00  0.00 75.00  0.00 80.00  0.00 286839.19 
4  5.00  0.00 10.00  0.00 80.00  0.00 85.00  0.00 12299.17 
4  5.00  0.00 10.00  0.00 85.00  0.00 90.00  0.00 2103.47 
4  5.00  0.00 10.00  0.00 90.00  0.00 95.00  0.00 2889.67 
4  5.00  0.00 10.00  0.00 95.00  0.00 100.00  0.00 1924.58 
4  5.00  0.00 10.00  0.00 100.00  0.00 105.00  0.00 2541.40 
4  5.00  0.00 10.00  0.00 105.00  0.00 110.00  0.00 3134.23 
4  5.00  0.00 10.00  0.00 110.00  0.00 115.00  0.00 3243.66 
4  5.00  0.00 10.00  0.00 115.00  0.00 120.00  0.00 3613.55 
4  5.00  0.00 10.00  0.00 120.00  0.00 125.00  0.00 3260.05 
4  5.00  0.00 10.00  0.00 125.00  0.00 130.00  0.00 3249.73 
4  5.00  0.00 10.00  0.00 130.00  0.00 135.00  0.00 2836.90 
4  5.00  0.00 10.00  0.00 135.00  0.00 140.00  0.00 2839.46 
4  5.00  0.00 10.00  0.00 140.00  0.00 145.00  0.00 2772.21 
4  5.00  0.00 10.00  0.00 145.00  0.00 150.00  0.00 2840.81 
4  5.00  0.00 10.00  0.00 150.00  0.00 155.00  0.00 3328.06 
4  5.00  0.00 10.00  0.00 155.00  0.00 160.00  0.00 3356.95 
4  5.00  0.00 10.00  0.00 160.00  0.00 165.00  0.00 3046.26 
4  5.00  0.00 10.00  0.00 165.00  0.00 170.00  0.00 3140.12 
4  5.00  0.00 10.00  0.00 170.00  0.00 175.00  0.00 3084.82 
4  10.00  0.00 15.00  0.00 20.00  0.00 25.00  0.00 1715.43 
4  10.00  0.00 15.00  0.00 25.00  0.00 30.00  0.00 1662.72 
4  10.00  0.00 15.00  0.00 30.00  0.00 35.00  0.00 1909.18 
4  10.00  0.00 15.00  0.00 35.00  0.00 40.00  0.00 1964.80 
4  10.00  0.00 15.00  0.00 40.00  0.00 45.00  0.00 1859.34 
4  10.00  0.00 15.00  0.00 45.00  0.00 50.00  0.00 1680.44 
4  10.00  0.00 15.00  0.00 50.00  0.00 55.00  0.00 2313.07 
4  10.00  0.00 15.00  0.00 55.00  0.00 60.00  0.00 2209.67 
4  10.00  0.00 15.00  0.00 60.00  0.00 65.00  0.00 1710.91 
4  10.00  0.00 15.00  0.00 65.00  0.00 70.00  0.00 1416.72 
4  10.00  0.00 15.00  0.00 70.00  0.00 75.00  0.00 1405.38 
4  10.00  0.00 15.00  0.00 75.00  0.00 80.00  0.00 200482.39 
4  10.00  0.00 15.00  0.00 80.00  0.00 85.00  0.00 8147.73 
4  10.00  0.00 15.00  0.00 85.00  0.00 90.00  0.00 1756.67 
4  10.00  0.00 15.00  0.00 90.00  0.00 95.00  0.00 2366.00 
4  10.00  0.00 15.00  0.00 95.00  0.00 100.00  0.00 1647.22 
4  10.00  0.00 15.00  0.00 100.00  0.00 105.00  0.00 2138.92 
4  10.00  0.00 15.00  0.00 105.00  0.00 110.00  0.00 2634.63 
4  10.00  0.00 15.00  0.00 110.00  0.00 115.00  0.00 2745.88 
4  10.00  0.00 15.00  0.00 115.00  0.00 120.00  0.00 3069.79 
4  10.00  0.00 15.00  0.00 120.00  0.00 125.00  0.00 2785.08 
4  10.00  0.00 15.00  0.00 125.00  0.00 130.00  0.00 2756.99 
