4  0.00  0.00 15.00  0.00 5.00  0.00 10.00  0.00 1141.84 
4  0.00  0.00 30.00  0.00 10.00  0.00 20.00  0.00 1880.12 
4  0.00  0.00 45.00  0.00 15.00  0.00 30.00  0.00 2815.44 
4  0.00  0.00 60.00  0.00 20.00  0.00 40.00  0.00 3898.91 
4  0.00  0.00 75.00  0.00 25.00  0.00 50.00  0.00 4562.05 
4  0.00  0.00 90.00  0.00 30.00  0.00 60.00  0.00 5209.41 
4  0.00  0.00 105.00  0.00 35.00  0.00 70.00  0.00 5995.44 
4  0.00  0.00 120.00  0.00 40.00  0.00 80.00  0.00 6867.14 
4  0.00  0.00 135.00  0.00 45.00  0.00 90.00  0.00 7644.97 
4  0.00  0.00 150.00  0.00 50.00  0.00 100.00  0.00 8270.75 
4  0.00  0.00 165.00  0.00 55.00  0.00 110.00  0.00 9109.14 
4  0.00  0.00 180.00  0.00 60.00  0.00 120.00  0.00 9108.89 
4  0.00  0.00 195.00  0.00 65.00  0.00 130.00  0.00 8594.18 
4  0.00  0.00 210.00  0.00 70.00  0.00 140.00  0.00 7908.94 
4  0.00  0.00 225.00  0.00 75.00  0.00 150.00  0.00 6877.76 
4  5.00  0.00 20.00  0.00 10.00  0.00 15.00  0.00 1247.38 
4  5.00  0.00 35.00  0.00 15.00  0.00 25.00  0.00 2054.01 
4  5.00  0.00 50.00  0.00 20.00  0.00 35.00  0.00 3106.91 
4  5.00  0.00 65.00  0.00 25.00  0.00 45.00  0.00 3990.60 
4  5.00  0.00 80.00  0.00 30.00  0.00 55.00  0.00 4637.32 
4  5.00  0.00 95.00  0.00 35.00  0.00 65.00  0.00 5348.60 
4  5.00  0.00 110.00  0.00 40.00  0.00 75.00  0.00 6298.00 
4  5.00  0.00 125.00  0.00 45.00  0.00 85.00  0.00 7070.03 
4  5.00  0.00 140.00  0.00 50.00  0.00 95.00  0.00 7871.46 
4  5.00  0.00 155.00  0.00 55.00  0.00 105.00  0.00 8601.33 
4  5.00  0.00 170.00  0.00 60.00  0.00 115.00  0.00 9108.88 
4  5.00  0.00 185.00  0.00 65.00  0.00 125.00  0.00 9091.40 
4  5.00  0.00 200.00  0.00 70.00  0.00 135.00  0.00 8363.08 
4  5.00  0.00 215.00  0.00 75.00  0.00 145.00  0.00 7588.19 
4  5.00  0.00 230.00  0.00 80.00  0.00 155.00  0.00 6677.29 
4  10.00  0.00 25.00  0.00 15.00  0.00 20.00  0.00 1140.40 
