48 	 # Number of sensors 
# x z 
0	-5.451
2	-5.775
3.8	-5.038
5.8	-4.953
7.8	-4.701
9.8	-4.549
11.8	-4.455
13.8	-4.514
15.8	-4.185
17.8	-4.249
19.8	-4.464
21.8	-4.706
23.7	-4.973
25.7	-5.242
27.7	-5.377
29.6	-5.897
31.6	-5.526
32.9	-5.4
34.9	-5.1
36.7	-4.269
38.7	-4.072
40.3	-2.888
42.1	-1.937
43.9	-1.247
45.9	-0.786
47.9	-0.828
49.9	-0.744
51.9	-0.705
53.9	-0.635
55.9	-0.626
57.9	-0.587
59.9	-0.573
61.9	-0.634
63.9	-0.858
65.9	-1.052
67.8	-0.821
69.8	-0.684
71.8	-0.389
73.8	-0.316
75.8	-0.669
77.8	-0.731
79.8	-0.739
81.8	-0.814
83.8	-0.741
85.8	-0.431
87.8	-0.533
89.7	0
91.7	-0.022
360 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 134.26 0.040 
1 43 15 29 153.32 0.040 
1 40 14 27 159.39 0.040 
1 37 13 25 199.67 0.040 
1 34 12 23 252.72 0.040 
1 31 11 21 268.49 0.040 
1 28 10 19 339.00 0.040 
1 25 9 17 338.12 0.040 
1 22 8 15 408.40 0.040 
1 19 7 13 536.66 0.040 
1 16 6 11 631.30 0.040 
1 13 5 9 910.11 0.040 
1 10 4 7 929.66 0.040 
1 7 3 5 1013.30 0.040 
1 4 2 3 688.31 0.040 
2 47 17 32 128.91 0.040 
2 44 16 30 155.23 0.040 
2 41 15 28 169.63 0.040 
2 38 14 26 187.94 0.040 
2 35 13 24 251.97 0.040 
2 32 12 22 278.31 0.040 
2 29 11 20 335.31 0.040 
2 26 10 18 376.81 0.040 
2 23 9 16 410.64 0.040 
2 20 8 14 522.80 0.040 
2 17 7 12 711.82 0.040 
2 14 6 10 929.05 0.040 
2 11 5 8 1141.36 0.040 
2 8 4 6 972.04 0.040 
2 5 3 4 780.27 0.040 
3 48 18 33 119.44 0.040 
3 45 17 31 155.40 0.040 
3 42 16 29 176.53 0.040 
3 39 15 27 186.37 0.040 
3 36 14 25 232.70 0.040 
3 33 13 23 299.92 0.040 
3 30 12 21 337.73 0.040 
3 27 11 19 436.09 0.040 
3 24 10 17 405.01 0.040 
3 21 9 15 584.11 0.040 
3 18 8 13 692.02 0.040 
3 15 7 11 915.53 0.040 
3 12 6 9 1091.43 0.040 
3 9 5 7 1006.36 0.040 
3 6 4 5 679.94 0.040 
4 46 18 32 143.24 0.040 
4 43 17 30 171.00 0.040 
4 40 16 28 191.18 0.040 
4 37 15 26 204.24 0.040 
4 34 14 24 295.60 0.040 
4 31 13 22 345.02 0.040 
4 28 12 20 459.75 0.040 
4 25 11 18 478.86 0.040 
4 22 10 16 577.51 0.040 
4 19 9 14 775.53 0.040 
4 16 8 12 917.69 0.040 
4 13 7 10 1411.38 0.040 
4 10 6 8 1160.43 0.040 
4 7 5 6 879.41 0.040 
5 47 19 33 136.54 0.040 
5 44 18 31 187.42 0.040 
5 41 17 29 212.76 0.040 
5 38 16 27 217.30 0.040 
5 35 15 25 279.99 0.040 
5 32 14 23 351.99 0.040 
5 29 13 21 438.19 0.040 
5 26 12 19 538.01 0.040 
5 23 11 17 601.88 0.040 
5 20 10 15 803.49 0.040 
5 17 9 13 1069.85 0.040 
5 14 8 11 1252.27 0.040 
5 11 7 9 1382.33 0.040 
5 8 6 7 655.91 0.040 
6 48 20 34 132.54 0.040 
6 45 19 32 168.62 0.040 
6 42 18 30 201.67 0.040 
6 39 17 28 243.88 0.040 
6 36 16 26 249.04 0.040 
6 33 15 24 355.42 0.040 
6 30 14 22 452.94 0.040 
6 27 13 20 617.28 0.040 
6 24 12 18 634.81 0.040 
6 21 11 16 885.52 0.040 
6 18 10 14 1067.49 0.040 
