48 	 # Number of sensors 
# x z 
0	-23.55
5	-23.74
10	-23.81
15	-22.93
20	-23.11
25	-22.85
30	-22.27
35	-21.38
40	-20.05
45	-18.7
50	-18.77
55	-18.67
60	-19.95
65	-18.37
70	-16.16
75	-17.01
80	-17.7
85	-17.99
90	-17.96
95	-17.33
100	-17.99
105	-18.05
110	-17.05
115	-15.99
120	-15.76
125	-14.58
130	-14.11
135	-13.29
140	-14.55
145	-13.96
150	-11.79
155	-11.87
160	-11.03
165	-10.04
170	-9.64
175	-8.37
180	-8.25
185	-7.16
190	-6.85
195	-6.8
200	-6.63
205	-5.52
210	-5.28
215	-4.71
220	-4.78
225	-3.05
230	-1.37
235	0
358 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 3817.69 0.040 
2 5 3 4 2897.66 0.040 
3 6 4 5 4314.66 0.040 
4 7 5 6 4604.58 0.040 
5 8 6 7 5027.10 0.040 
6 9 7 8 7600.09 0.040 
7 10 8 9 6399.54 0.040 
8 11 9 10 9343.33 0.040 
9 12 10 11 5802.20 0.040 
10 13 11 12 6294.21 0.040 
11 14 12 13 3550.00 0.040 
12 15 13 14 5906.67 0.040 
13 16 14 15 3385.78 0.040 
14 17 15 16 4239.09 0.040 
15 18 16 17 4562.73 0.040 
16 19 17 18 4432.10 0.040 
17 20 18 19 3264.28 0.040 
18 21 19 20 5602.73 0.040 
19 22 20 21 3265.16 0.040 
20 23 21 22 4733.58 0.040 
21 24 22 23 8355.17 0.040 
22 25 23 24 5178.35 0.040 
23 26 24 25 9338.88 0.040 
24 27 25 26 8621.60 0.040 
25 28 26 27 8229.23 0.040 
26 29 27 28 9032.08 0.040 
27 30 28 29 6882.94 0.040 
28 31 29 30 5472.45 0.040 
29 32 30 31 8732.14 0.040 
30 33 31 32 4114.98 0.040 
31 34 32 33 13445.16 0.040 
32 35 33 34 7152.00 0.040 
33 36 34 35 6497.58 0.040 
34 37 35 36 12157.56 0.040 
35 38 36 37 5338.54 0.040 
36 39 37 38 9614.20 0.040 
37 40 38 39 7849.49 0.040 
38 41 39 40 5268.90 0.040 
39 42 40 41 10055.90 0.040 
40 43 41 42 12101.41 0.040 
41 44 42 43 4627.41 0.040 
42 45 43 44 18860.03 0.040 
43 46 44 45 5891.64 0.040 
44 47 45 46 13802.23 0.040 
45 48 46 47 7101.06 0.040 
1 7 3 5 3459.65 0.040 
2 8 4 6 3433.43 0.040 
3 9 5 7 4149.85 0.040 
4 10 6 8 4592.53 0.040 
5 11 7 9 5267.00 0.040 
6 12 8 10 5878.68 0.040 
7 13 9 11 5898.00 0.040 
8 14 10 12 4354.52 0.040 
9 15 11 13 4866.22 0.040 
10 16 12 14 7438.80 0.040 
11 17 13 15 4341.59 0.040 
12 18 14 16 3609.82 0.040 
13 19 15 17 4373.62 0.040 
14 20 16 18 5994.34 0.040 
16 22 18 20 5185.34 0.040 
17 23 19 21 3330.41 0.040 
18 24 20 22 4588.79 0.040 
19 25 21 23 6708.58 0.040 
20 26 22 24 7667.69 0.040 
21 27 23 25 6392.67 0.040 
22 28 24 26 5461.38 0.040 
23 29 25 27 6488.18 0.040 
24 30 26 28 8190.76 0.040 
25 31 27 29 8280.28 0.040 
26 32 28 30 7884.81 0.040 
27 33 29 31 6746.45 0.040 
28 34 30 32 5917.32 0.040 
29 35 31 33 10697.12 0.040 
30 36 32 34 9576.74 0.040 
31 37 33 35 6589.53 0.040 
32 38 34 36 8717.70 0.040 
33 39 35 37 11798.73 0.040 
34 40 36 38 9292.13 0.040 
35 41 37 39 8570.26 0.040 
36 42 38 40 6753.22 0.040 
37 43 39 41 13517.58 0.040 
38 44 40 42 11131.54 0.040 
39 45 41 43 7477.81 0.040 
40 46 42 44 8947.65 0.040 
41 47 43 45 15727.89 0.040 
42 48 44 46 13125.93 0.040 
1 10 4 7 3551.96 0.040 
2 11 5 8 4061.87 0.040 
3 12 6 9 4724.51 0.040 
4 13 7 10 5703.93 0.040 
5 14 8 11 4659.25 0.040 
6 15 9 12 4824.54 0.040 
7 16 10 13 4731.24 0.040 
8 17 11 14 6090.61 0.040 
9 18 12 15 5537.06 0.040 
10 19 13 16 1954.40 0.040 
11 20 14 17 4285.25 0.040 
12 21 15 18 4960.67 0.040 
13 22 16 19 5386.50 0.040 
14 23 17 20 6097.33 0.040 
15 24 18 21 5220.07 0.040 
16 25 19 22 5473.78 0.040 
17 26 20 23 6967.22 0.040 
18 27 21 24 7541.79 0.040 
19 28 22 25 6379.95 0.040 
20 29 23 26 5342.72 0.040 
21 30 24 27 5528.52 0.040 
22 31 25 28 6431.02 0.040 
23 32 26 29 8591.57 0.040 
24 33 27 30 8008.20 0.040 
25 34 28 31 7280.78 0.040 
26 35 29 32 6893.77 0.040 
27 36 30 33 8932.59 0.040 
28 37 31 34 9180.32 0.040 
29 38 32 35 9281.34 0.040 
30 39 33 36 9581.86 0.040 
31 40 34 37 10123.78 0.040 
32 41 35 38 10654.19 0.040 
33 42 36 39 9679.08 0.040 
34 43 37 40 10492.92 0.040 
35 44 38 41 9976.64 0.040 
36 45 39 42 11634.55 0.040 
37 46 40 43 8923.24 0.040 
38 47 41 44 11990.41 0.040 
39 48 42 45 12228.19 0.040 
1 13 5 9 4647.31 0.040 
2 14 6 10 4716.28 0.040 
3 15 7 11 4901.44 0.040 
4 16 8 12 4929.71 0.040 
5 17 9 13 4929.40 0.040 
6 18 10 14 5221.91 0.040 
7 19 11 15 4946.23 0.040 
8 20 12 16 4697.26 0.040 
10 22 14 18 4882.15 0.040 
11 23 15 19 4700.97 0.040 
12 24 16 20 5721.10 0.040 
13 25 17 21 5607.51 0.040 
14 26 18 22 5950.18 0.040 
15 27 19 23 7417.26 0.040 
16 28 20 24 6308.57 0.040 
17 29 21 25 6370.24 0.040 
18 30 22 26 6211.18 0.040 
19 31 23 27 5723.00 0.040 
20 32 24 28 7257.93 0.040 
21 33 25 29 6483.97 0.040 
22 34 26 30 7123.34 0.040 
23 35 27 31 8768.37 0.040 
24 36 28 32 6787.45 0.040 
25 37 29 33 9374.21 0.040 
26 38 30 34 9155.27 0.040 
27 39 31 35 8747.29 0.040 
28 40 32 36 13045.88 0.040 
29 41 33 37 9597.57 0.040 
30 42 34 38 10255.68 0.040 
31 43 35 39 12026.76 0.040 
32 44 36 40 7395.95 0.040 
33 45 37 41 11727.64 0.040 
34 46 38 42 9952.12 0.040 
35 47 39 43 8932.18 0.040 
36 48 40 44 14534.21 0.040 
1 16 6 11 5264.43 0.040 
2 17 7 12 5005.29 0.040 
3 18 8 13 4742.14 0.040 
4 19 9 14 5407.64 0.040 
5 20 10 15 4417.08 0.040 
6 21 11 16 4256.23 0.040 
7 22 12 17 4433.67 0.040 
8 23 13 18 4632.25 0.040 
9 24 14 19 4192.93 0.040 
10 25 15 20 5373.38 0.040 
11 26 16 21 5888.98 0.040 
12 27 17 22 6029.39 0.040 
13 28 18 23 6422.35 0.040 
14 29 19 24 7064.84 0.040 
15 30 20 25 6425.20 0.040 
16 31 21 26 6353.00 0.040 
17 32 22 27 6957.35 0.040 
18 33 23 28 6415.21 0.040 
19 34 24 29 6464.14 0.040 
20 35 25 30 7281.40 0.040 
21 36 26 31 7318.58 0.040 
22 37 27 32 7333.46 0.040 
23 38 28 33 9238.66 0.040 
24 39 29 34 9415.54 0.040 
25 40 30 35 9597.13 0.040 
26 41 31 36 10690.46 0.040 
27 42 32 37 10993.84 0.040 
28 43 33 38 11687.71 0.040 
29 44 34 39 9554.88 0.040 
30 45 35 40 10344.49 0.040 
31 46 36 41 8909.80 0.040 
32 47 37 42 9575.86 0.040 
33 48 38 43 10128.41 0.040 
1 19 7 13 5058.35 0.040 
2 20 8 14 5123.24 0.040 
3 21 9 15 4724.66 0.040 
4 22 10 16 4139.53 0.040 
5 23 11 17 3957.49 0.040 
6 24 12 18 4264.33 0.040 
7 25 13 19 4426.00 0.040 
8 26 14 20 4816.86 0.040 
9 27 15 21 5090.56 0.040 
10 28 16 22 5739.86 0.040 
11 29 17 23 6466.97 0.040 
12 30 18 24 6573.00 0.040 
13 31 19 25 6768.38 0.040 
14 32 20 26 7017.21 0.040 
15 33 21 27 6642.37 0.040 
16 34 22 28 6991.17 0.040 
17 35 23 29 6761.29 0.040 
18 36 24 30 6609.12 0.040 
19 37 25 31 7188.26 0.040 
20 38 26 32 7280.64 0.040 
21 39 27 33 9220.12 0.040 
22 40 28 34 9483.53 0.040 
23 41 29 35 9069.21 0.040 
24 42 30 36 10545.96 0.040 
25 43 31 37 11220.58 0.040 
26 44 32 38 10653.04 0.040 
27 45 33 39 9485.44 0.040 
28 46 34 40 8198.58 0.040 
29 47 35 41 10060.08 0.040 
30 48 36 42 9913.57 0.040 
1 22 8 15 4830.92 0.040 
2 23 9 16 4260.09 0.040 
3 24 10 17 4120.70 0.040 
4 25 11 18 4273.13 0.040 
5 26 12 19 4443.05 0.040 
6 27 13 20 4959.38 0.040 
7 28 14 21 4306.24 0.040 
8 29 15 22 5535.50 0.040 
9 30 16 23 6003.74 0.040 
10 31 17 24 6404.00 0.040 
11 32 18 25 6795.11 0.040 
12 33 19 26 6488.98 0.040 
13 34 20 27 6491.59 0.040 
14 35 21 28 7732.70 0.040 
15 36 22 29 6945.35 0.040 
16 37 23 30 6715.53 0.040 
17 38 24 31 7050.50 0.040 
18 39 25 32 7106.19 0.040 
19 40 26 33 9371.79 0.040 
20 41 27 34 9313.90 0.040 
21 42 28 35 8384.77 0.040 
22 43 29 36 10723.30 0.040 
23 44 30 37 9460.05 0.040 
24 45 31 38 9756.89 0.040 
25 46 32 39 9278.26 0.040 
26 47 33 40 7992.05 0.040 
27 48 34 41 9844.67 0.040 
1 25 9 17 4566.33 0.040 
2 26 10 18 4561.76 0.040 
3 27 11 19 4495.30 0.040 
4 28 12 20 4672.60 0.040 
5 29 13 21 4619.93 0.040 
6 30 14 22 4560.38 0.040 
7 31 15 23 5433.21 0.040 
8 32 16 24 6268.74 0.040 
9 33 17 25 6069.71 0.040 
10 34 18 26 6414.37 0.040 
11 35 19 27 7001.93 0.040 
12 36 20 28 6915.46 0.040 
13 37 21 29 7162.10 0.040 
14 38 22 30 7334.19 0.040 
15 39 23 31 7192.10 0.040 
16 40 24 32 7226.12 0.040 
17 41 25 33 8531.00 0.040 
18 42 26 34 8868.14 0.040 
19 43 27 35 9185.81 0.040 
