48 	 # Number of sensors 
# x z 
0	0
5	-1.369
10	-3.055
15	-4.783
20	-4.715
25	-5.281
30	-5.522
35	-6.631
40	-6.801
45	-6.848
50	-7.158
55	-8.252
60	-8.375
65	-9.641
70	-10.036
75	-11.028
80	-11.873
85	-11.796
90	-13.964
95	-14.551
100	-13.293
105	-14.114
110	-14.583
115	-15.756
120	-15.992
125	-17.052
130	-18.051
135	-17.988
140	-17.326
145	-17.961
150	-17.992
155	-17.705
160	-17.012
165	-16.159
170	-18.371
175	-19.946
180	-18.674
185	-18.774
190	-18.705
195	-20.053
200	-21.377
205	-22.27
210	-22.846
215	-23.111
220	-22.926
225	-23.811
230	-23.741
235	-23.55
727 	 # Number of measurements 
# a b m n rhoa err
2 1 3 4 2285.97 0.001 
2 1 4 5 2197.44 0.001 
2 1 5 6 2153.62 0.001 
2 1 6 7 2471.33 0.001 
2 1 7 8 2355.87 0.001 
2 1 8 9 2283.12 0.001 
2 1 9 10 1931.95 0.001 
2 1 10 11 3987.01 0.001 
2 1 11 12 2625.93 0.001 
2 1 12 13 2767.50 0.001 
2 1 13 14 4345.77 0.001 
2 1 15 16 2138.11 0.001 
2 1 16 17 4163.51 0.001 
2 1 17 18 3822.82 0.001 
2 1 18 19 3590.22 0.001 
2 1 23 24 5569.54 0.001 
2 1 26 27 6540.33 0.001 
2 1 27 28 7939.97 0.001 
2 1 28 29 6617.64 0.001 
2 1 31 32 9324.21 0.001 
2 1 33 34 7222.42 0.001 
2 1 34 35 11096.67 0.001 
3 2 4 5 4045.71 0.001 
3 2 5 6 3257.23 0.001 
3 2 6 7 3587.03 0.001 
3 2 7 8 3849.60 0.001 
3 2 8 9 3306.66 0.001 
3 2 9 10 5112.65 0.001 
3 2 10 11 1584.21 0.001 
3 2 11 12 3071.64 0.001 
3 2 12 13 3280.68 0.001 
3 2 13 14 5070.08 0.001 
3 2 14 15 2577.84 0.001 
3 2 15 16 2295.98 0.001 
3 2 16 17 3802.58 0.001 
3 2 17 18 4229.13 0.001 
3 2 18 19 3565.25 0.001 
3 2 19 20 5085.05 0.001 
3 2 20 21 3559.27 0.001 
3 2 21 22 4484.86 0.001 
3 2 22 23 7107.79 0.001 
3 2 24 25 7087.30 0.001 
3 2 25 26 4357.41 0.001 
3 2 26 27 6003.76 0.001 
3 2 27 28 7645.37 0.001 
3 2 28 29 6003.34 0.001 
3 2 32 33 11388.62 0.001 
3 2 33 34 5528.27 0.001 
4 3 5 6 3167.94 0.001 
4 3 6 7 3706.44 0.001 
4 3 7 8 3973.79 0.001 
4 3 8 9 3159.52 0.001 
4 3 9 10 3939.31 0.001 
4 3 10 11 2826.42 0.001 
4 3 11 12 2752.75 0.001 
4 3 12 13 2967.10 0.001 
4 3 13 14 4498.14 0.001 
4 3 14 15 2328.94 0.001 
4 3 15 16 2053.65 0.001 
4 3 16 17 3513.31 0.001 
4 3 17 18 3599.17 0.001 
4 3 18 19 2981.68 0.001 
4 3 19 20 4195.92 0.001 
4 3 20 21 3103.84 0.001 
4 3 21 22 4095.33 0.001 
4 3 22 23 5589.85 0.001 
4 3 25 26 3693.04 0.001 
4 3 26 27 5135.41 0.001 
4 3 27 28 6355.75 0.001 
4 3 28 29 5425.94 0.001 
4 3 30 31 4526.19 0.001 
4 3 31 32 5359.29 0.001 
4 3 32 33 8934.57 0.001 
4 3 36 37 5908.76 0.001 
5 4 6 7 5257.06 0.001 
5 4 7 8 4986.89 0.001 
5 4 8 9 3876.17 0.001 
5 4 9 10 4780.02 0.001 
5 4 10 11 3406.97 0.001 
5 4 11 12 3116.38 0.001 
5 4 12 13 3443.83 0.001 
5 4 14 15 2663.74 0.001 
5 4 15 16 2628.14 0.001 
5 4 16 17 3937.65 0.001 
5 4 17 18 3433.97 0.001 
5 4 18 19 3823.02 0.001 
5 4 19 20 4246.58 0.001 
5 4 20 21 3216.10 0.001 
5 4 21 22 6380.11 0.001 
5 4 22 23 4784.41 0.001 
5 4 23 24 10115.21 0.001 
5 4 24 25 1240.82 0.001 
5 4 25 26 5122.07 0.001 
5 4 26 27 6123.87 0.001 
5 4 27 28 7373.61 0.001 
5 4 28 29 6132.89 0.001 
5 4 29 30 7415.27 0.001 
5 4 30 31 5250.89 0.001 
5 4 31 32 9513.34 0.001 
5 4 32 33 11092.11 0.001 
5 4 33 34 5144.02 0.001 
5 4 34 35 9966.99 0.001 
5 4 35 36 20944.42 0.001 
5 4 36 37 3360.39 0.001 
5 4 37 38 8050.77 0.001 
