48 	 # Number of sensors 
# x z 
0	-21.8
5	-22.17
10	-22.98
15	-24.16
20	-24.67
25	-24.54
30	-24.01
35	-23.17
40	-22.54
45	-21.95
50	-21.14
55	-20.25
60	-19.56
65	-18.55
70	-17.02
75	-16.26
80	-15.19
85	-14.19
90	-13.23
95	-12.53
100	-11.21
105	-10.51
110	-9.63
115	-9.14
120	-8.66
125	-8.31
130	-7.86
135	-7.09
140	-6.68
145	-6.01
150	-5.21
155	-4.83
160	-4.47
165	-3.93
170	-3.16
175	-2.99
180	-2.86
185	-1.77
190	-1.19
195	-0.49
200	-0.05
205	0
210	-0.08
215	-0.2
220	-0.68
225	-0.8
230	-0.6
235	-0.47
354 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 19454.04 0.001 
2 5 3 4 22659.55 0.001 
3 6 4 5 20289.73 0.001 
4 7 5 6 19538.10 0.001 
5 8 6 7 22398.68 0.001 
6 9 7 8 28452.35 0.001 
7 10 8 9 25265.21 0.001 
8 11 9 10 28595.28 0.001 
9 12 10 11 27054.04 0.001 
10 13 11 12 32169.38 0.001 
11 14 12 13 22971.03 0.001 
12 15 13 14 31142.52 0.001 
13 16 14 15 34371.62 0.001 
14 17 15 16 21794.80 0.001 
15 18 16 17 32611.43 0.001 
17 20 18 19 31477.46 0.001 
18 21 19 20 27358.57 0.001 
19 22 20 21 37769.00 0.001 
20 23 21 22 29284.48 0.001 
21 24 22 23 35919.89 0.001 
22 25 23 24 27061.68 0.001 
23 26 24 25 34519.49 0.001 
24 27 25 26 29339.50 0.001 
25 28 26 27 32891.76 0.001 
26 29 27 28 29064.80 0.001 
27 30 28 29 38174.52 0.001 
28 31 29 30 40827.07 0.001 
29 32 30 31 34270.48 0.001 
30 33 31 32 43930.99 0.001 
31 34 32 33 28448.15 0.001 
32 35 33 34 34602.27 0.001 
33 36 34 35 32624.29 0.001 
34 37 35 36 33267.97 0.001 
35 38 36 37 28106.30 0.001 
36 39 37 38 45899.40 0.001 
37 40 38 39 36314.84 0.001 
38 41 39 40 55301.95 0.001 
39 42 40 41 40256.52 0.001 
40 43 41 42 48314.41 0.001 
41 44 42 43 34127.09 0.001 
42 45 43 44 34200.56 0.001 
43 46 44 45 33332.71 0.001 
44 47 45 46 29520.20 0.001 
45 48 46 47 36702.41 0.001 
1 7 3 5 42147.61 0.001 
2 8 4 6 42094.35 0.001 
3 9 5 7 43945.46 0.001 
4 10 6 8 52309.36 0.001 
5 11 7 9 55983.18 0.001 
6 12 8 10 52491.53 0.001 
7 13 9 11 55618.75 0.001 
8 14 10 12 63595.36 0.001 
9 15 11 13 54637.53 0.001 
10 16 12 14 56687.92 0.001 
11 17 13 15 69597.31 0.001 
12 18 14 16 58135.56 0.001 
13 19 15 17 54220.65 0.001 
14 20 16 18 64171.90 0.001 
15 21 17 19 63447.08 0.001 
16 22 18 20 59663.76 0.001 
17 23 19 21 66923.77 0.001 
18 24 20 22 70436.80 0.001 
19 25 21 23 66407.19 0.001 
20 26 22 24 64293.41 0.001 
21 27 23 25 63234.35 0.001 
22 28 24 26 69188.05 0.001 
23 29 25 27 65992.68 0.001 
24 30 26 28 62816.86 0.001 
25 31 27 29 69649.11 0.001 
26 32 28 30 81784.89 0.001 
27 33 29 31 80941.06 0.001 
28 34 30 32 80323.81 0.001 
29 35 31 33 74425.45 0.001 
30 36 32 34 71693.35 0.001 
31 37 33 35 78811.24 0.001 
32 38 34 36 67693.52 0.001 
33 39 35 37 60880.84 0.001 
34 40 36 38 76857.45 0.001 
35 41 37 39 81601.44 0.001 
