48 	 # Number of sensors 
# x z 
0	-69.36
5	-68.08
10	-65.46
15	-62.71
20	-60.8
25	-59.48
30	-57.97
35	-56.79
40	-55.83
45	-54.62
50	-54.07
55	-53.41
60	-52.49
65	-51.06
70	-48.87
75	-46.54
80	-45
85	-43.54
90	-41.65
95	-38.74
100	-35.6
105	-33.81
110	-32.79
115	-30.85
120	-28.64
125	-27.58
130	-26.05
135	-23.38
140	-22.02
145	-20.61
150	-18.72
155	-16.84
160	-15.45
165	-14.1
170	-13.05
175	-12
180	-11.91
185	-9.76
190	-8.53
195	-7.38
200	-5.94
205	-4.55
210	-4.99
215	-3.31
220	-2.4
225	-1.06
230	0
235	-2.24
360 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 8674.66 0.040 
1 43 15 29 9042.71 0.040 
1 40 14 27 10179.26 0.040 
1 37 13 25 11408.89 0.040 
1 34 12 23 13499.15 0.040 
1 31 11 21 14643.71 0.040 
1 28 10 19 14213.94 0.040 
1 25 9 17 11503.98 0.040 
1 22 8 15 14044.12 0.040 
1 19 7 13 11728.24 0.040 
1 16 6 11 9340.00 0.040 
1 13 5 9 9270.67 0.040 
1 10 4 7 8899.48 0.040 
1 7 3 5 8924.73 0.040 
1 4 2 3 6836.18 0.040 
2 47 17 32 9575.38 0.040 
2 44 16 30 8535.23 0.040 
2 41 15 28 10233.18 0.040 
2 38 14 26 11243.09 0.040 
2 35 13 24 13658.74 0.040 
2 32 12 22 14950.41 0.040 
2 29 11 20 13956.00 0.040 
2 26 10 18 12433.08 0.040 
2 23 9 16 13560.21 0.040 
2 20 8 14 13053.34 0.040 
2 17 7 12 11510.87 0.040 
2 14 6 10 9991.62 0.040 
2 11 5 8 8396.36 0.040 
2 8 4 6 7580.40 0.040 
2 5 3 4 8764.27 0.040 
3 48 18 33 8715.18 0.040 
3 45 17 31 8942.06 0.040 
3 42 16 29 9307.33 0.040 
3 39 15 27 10125.13 0.040 
3 36 14 25 13522.13 0.040 
3 33 13 23 16625.86 0.040 
3 30 12 21 15475.10 0.040 
3 27 11 19 14129.73 0.040 
3 24 10 17 13491.92 0.040 
3 21 9 15 15774.76 0.040 
3 18 8 13 14112.19 0.040 
3 15 7 11 10385.61 0.040 
3 12 6 9 10477.15 0.040 
3 9 5 7 7962.45 0.040 
3 6 4 5 6285.61 0.040 
4 46 18 32 9185.83 0.040 
4 43 17 30 9185.10 0.040 
4 40 16 28 8867.83 0.040 
4 37 15 26 12111.28 0.040 
4 34 14 24 15737.05 0.040 
4 31 13 22 17383.54 0.040 
4 28 12 20 15442.41 0.040 
4 25 11 18 14211.25 0.040 
4 22 10 16 18594.08 0.040 
4 19 9 14 15313.55 0.040 
4 16 8 12 12160.45 0.040 
4 13 7 10 10091.88 0.040 
4 10 6 8 9012.40 0.040 
4 7 5 6 5234.99 0.040 
5 47 19 33 8811.48 0.040 
