49 	 # Number of sensors 
# x z 
0	-1.31
5	-3.19
10	-3.29
15	-3.36
20	-3.39
25	-2.9
30	-2.26
35	-1.75
40	-1.57
45	-1.61
50	-1.57
55	-1.69
60	-1.61
65	-1.44
70	-1.3
75	-1
80	-0.41
85	0
90	-0.11
95	-0.06
100	-0.26
105	-0.39
110	-0.77
115	-0.96
120	-1.15
125	-1.34
130	-1.58
135	-1.78
140	-2.01
145	-2.25
150	-2.55
155	-2.83
160	-3.2
165	-3.82
170	-4.25
175	-4.53
180	-5.04
185	-5.75
190	-6.15
195	-6.34
200	-6.57
205	-6.71
210	-6.77
215	-6.92
220	-7.11
225	-7.44
230	-7.87
235	-8.58
240	-9.32
360 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 128.67 0.040 
1 7 3 5 157.29 0.040 
1 10 4 7 380.30 0.040 
1 13 5 9 456.80 0.040 
1 16 6 11 486.10 0.040 
1 19 7 13 457.76 0.040 
1 22 8 15 412.39 0.040 
1 25 9 17 491.82 0.040 
1 28 10 19 820.54 0.040 
1 31 11 21 972.10 0.040 
1 34 12 23 1113.36 0.040 
1 37 13 25 1225.43 0.040 
1 40 14 27 1326.71 0.040 
1 43 15 29 1435.70 0.040 
1 46 16 31 1482.77 0.040 
2 5 3 4 70.50 0.040 
2 8 4 6 162.17 0.040 
2 11 5 8 516.71 0.040 
2 14 6 10 400.01 0.040 
2 17 7 12 394.03 0.040 
2 20 8 14 325.70 0.040 
2 23 9 16 391.24 0.040 
2 26 10 18 658.82 0.040 
2 29 11 20 931.48 0.040 
2 32 12 22 1081.66 0.040 
2 35 13 24 1122.86 0.040 
2 38 14 26 1243.67 0.040 
2 41 15 28 1365.14 0.040 
2 44 16 30 1447.68 0.040 
2 47 17 32 1480.09 0.040 
3 6 4 5 115.18 0.040 
3 9 5 7 147.19 0.040 
3 12 6 9 339.06 0.040 
3 15 7 11 331.63 0.040 
3 18 8 13 272.10 0.040 
3 21 9 15 318.07 0.040 
3 24 10 17 440.80 0.040 
3 27 11 19 821.14 0.040 
3 30 12 21 969.78 0.040 
3 33 13 23 1105.30 0.040 
3 36 14 25 1171.53 0.040 
3 39 15 27 1248.83 0.040 
3 42 16 29 1368.48 0.040 
3 45 17 31 1416.21 0.040 
3 48 18 33 1378.13 0.040 
4 7 5 6 109.83 0.040 
4 10 6 8 212.90 0.040 
4 13 7 10 273.94 0.040 
4 16 8 12 189.67 0.040 
4 19 9 14 245.35 0.040 
4 22 10 16 348.27 0.040 
4 25 11 18 633.51 0.040 
4 28 12 20 930.51 0.040 
4 31 13 22 1045.52 0.040 
4 34 14 24 1078.22 0.040 
4 37 15 26 1201.85 0.040 
4 40 16 28 1283.59 0.040 
4 43 17 30 1354.50 0.040 
4 46 18 32 1291.93 0.040 
5 8 6 7 123.50 0.040 
5 11 7 9 205.98 0.040 
5 14 8 11 155.54 0.040 
5 17 9 13 197.83 0.040 
5 20 10 15 267.92 0.040 
5 23 11 17 412.47 0.040 
5 26 12 19 820.88 0.040 
5 29 13 21 965.59 0.040 
5 32 14 23 1100.77 0.040 
5 35 15 25 1101.76 0.040 
5 38 16 27 1196.06 0.040 
5 41 17 29 1311.26 0.040 
5 44 18 31 1262.61 0.040 
5 47 19 33 1215.63 0.040 
6 9 7 8 159.17 0.040 
6 12 8 10 103.32 0.040 
6 15 9 12 116.73 0.040 
6 18 10 14 219.84 0.040 
6 21 11 16 339.93 0.040 
6 24 12 18 628.69 0.040 
6 27 13 20 950.29 0.040 
6 30 14 22 1046.33 0.040 
6 33 15 24 1095.15 0.040 
6 36 16 26 1160.49 0.040 
6 39 17 28 1220.92 0.040 
6 42 18 30 1227.12 0.040 
6 45 19 32 1166.86 0.040 
6 48 20 34 1142.49 0.040 
7 10 8 9 77.61 0.040 
7 13 9 11 72.47 0.040 
7 16 10 13 171.69 0.040 
7 19 11 15 259.74 0.040 
7 22 12 17 407.01 0.040 
7 25 13 19 814.77 0.040 
7 28 14 21 966.39 0.040 
7 31 15 23 1097.51 0.040 
7 34 16 25 1072.72 0.040 
7 37 17 27 1183.81 0.040 
7 40 18 29 1167.88 0.040 
7 43 19 31 1133.52 0.040 
7 46 20 33 1078.87 0.040 
8 11 9 10 51.70 0.040 
8 14 10 12 78.48 0.040 
8 17 11 14 246.56 0.040 
8 20 12 16 336.29 0.040 
8 23 13 18 607.53 0.040 
8 26 14 20 976.90 0.040 
8 29 15 22 1099.00 0.040 
8 32 16 24 1126.15 0.040 
8 35 17 26 1135.08 0.040 
8 38 18 28 1137.98 0.040 
8 41 19 30 1123.34 0.040 
8 44 20 32 1063.84 0.040 
8 47 21 34 1099.09 0.040 
9 12 10 11 39.79 0.040 
9 15 11 13 113.11 0.040 
9 18 12 15 282.69 0.040 
9 21 13 17 384.25 0.040 
9 24 14 19 784.89 0.040 
9 27 15 21 1003.01 0.040 
9 30 16 23 1094.05 0.040 
9 33 17 25 1098.05 0.040 
9 36 18 27 1066.79 0.040 
9 39 19 29 1027.29 0.040 
9 42 20 31 1023.54 0.040 
9 45 21 33 1032.56 0.040 
9 48 22 35 1012.47 0.040 
10 13 11 12 27.02 0.040 
10 16 12 14 163.10 0.040 
10 19 13 16 316.25 0.040 
10 22 14 18 542.74 0.040 
10 25 15 20 914.91 0.040 
10 28 16 22 1039.82 0.040 
10 31 17 24 1056.78 0.040 
10 34 18 26 966.17 0.040 
10 37 19 28 982.29 0.040 
10 40 20 30 947.09 0.040 
10 43 21 32 969.94 0.040 
10 46 22 34 948.02 0.040 
11 14 12 13 63.93 0.040 
11 17 13 15 195.46 0.040 
11 20 14 17 315.05 0.040 
11 23 15 19 682.20 0.040 
11 26 16 21 901.16 0.040 
11 29 17 23 1028.20 0.040 
11 32 18 25 920.44 0.040 
11 35 19 27 836.61 0.040 
11 38 20 29 848.89 0.040 
11 41 21 31 898.32 0.040 
11 44 22 33 874.26 0.040 
11 47 23 35 878.11 0.040 
12 15 13 14 72.00 0.040 
12 18 14 16 211.44 0.040 
12 21 15 18 515.95 0.040 
12 24 16 20 787.76 0.040 
12 27 17 22 983.70 0.040 
12 30 18 24 872.72 0.040 
12 33 19 26 808.43 0.040 
12 36 20 28 789.82 0.040 
12 39 21 30 806.18 0.040 
12 42 22 32 820.78 0.040 
12 45 23 34 834.14 0.040 
12 48 24 36 807.14 0.040 
13 16 14 15 99.52 0.040 
13 19 15 17 244.90 0.040 
13 22 16 19 627.19 0.040 
13 25 17 21 837.30 0.040 
13 28 18 23 882.25 0.040 
13 31 19 25 772.86 0.040 
13 34 20 27 695.57 0.040 
13 37 21 29 785.15 0.040 
13 40 22 31 762.80 0.040 
13 43 23 33 783.33 0.040 
13 46 24 35 800.69 0.040 
14 17 15 16 149.06 0.040 
14 20 16 18 382.54 0.040 
14 23 17 20 806.07 0.040 
14 26 18 22 841.99 0.040 
14 29 19 24 763.81 0.040 
14 32 20 26 706.02 0.040 
14 35 21 28 699.31 0.040 
14 38 22 30 711.21 0.040 
14 41 23 32 736.77 0.040 
14 44 24 34 784.30 0.040 
14 47 25 36 748.24 0.040 
15 18 16 17 171.19 0.040 
15 21 17 19 563.21 0.040 
15 24 18 21 674.22 0.040 
15 27 19 23 779.15 0.040 
15 30 20 25 654.51 0.040 
15 33 21 27 679.95 0.040 
15 36 22 29 679.06 0.040 
15 39 23 31 672.74 0.040 
15 42 24 33 744.07 0.040 
15 45 25 35 768.29 0.040 
15 48 26 37 710.21 0.040 
16 19 17 18 364.10 0.040 
16 22 18 20 534.20 0.040 
16 25 19 22 728.00 0.040 
16 28 20 24 653.55 0.040 
16 31 21 26 674.63 0.040 
16 34 22 28 629.28 0.040 
16 37 23 30 684.85 0.040 
16 40 24 32 707.88 0.040 
16 43 25 34 771.84 0.040 
16 46 26 36 703.33 0.040 
17 20 18 19 333.89 0.040 
17 23 19 21 451.26 0.040 
17 26 20 23 715.11 0.040 
17 29 21 25 631.87 0.040 
17 32 22 27 609.90 0.040 
17 35 23 29 603.69 0.040 
17 38 24 31 666.23 0.040 
17 41 25 33 728.76 0.040 
17 44 26 35 735.45 0.040 
17 47 27 37 682.78 0.040 
18 21 19 20 422.43 0.040 
18 24 20 22 536.20 0.040 
18 27 21 24 701.26 0.040 
18 30 22 26 634.42 0.040 
18 33 23 28 670.28 0.040 
18 36 24 30 723.06 0.040 
18 39 25 32 740.28 0.040 
18 42 26 34 808.81 0.040 
18 45 27 36 754.09 0.040 
18 48 28 38 740.54 0.040 
19 22 20 21 293.78 0.040 
19 25 21 23 642.96 0.040 
19 28 22 25 653.55 0.040 
19 31 23 27 652.33 0.040 
19 34 24 29 711.58 0.040 
19 37 25 31 806.45 0.040 
19 40 26 33 816.20 0.040 
19 43 27 35 852.79 0.040 
19 46 28 37 741.93 0.040 
20 23 21 22 408.49 0.040 
20 26 22 24 526.23 0.040 
20 29 23 26 655.95 0.040 
20 32 24 28 731.16 0.040 
20 35 25 30 768.34 0.040 
20 38 26 32 801.08 0.040 
20 41 27 34 877.94 0.040 
20 44 28 36 775.68 0.040 
20 47 29 38 782.51 0.040 
21 24 22 23 327.62 0.040 
21 27 23 25 460.20 0.040 
21 30 24 27 663.96 0.040 
21 33 25 29 735.49 0.040 
21 36 26 31 763.44 0.040 
21 39 27 33 770.64 0.040 
21 42 28 35 805.09 0.040 
21 45 29 37 727.50 0.040 
21 48 30 39 746.27 0.040 
22 25 23 24 287.03 0.040 
22 28 24 26 533.95 0.040 
22 31 25 28 732.91 0.040 
22 34 26 30 741.82 0.040 
22 37 27 32 818.43 0.040 
22 40 28 34 827.41 0.040 
22 43 29 36 763.40 0.040 
22 46 30 38 751.48 0.040 
23 26 24 25 268.76 0.040 
23 29 25 27 536.54 0.040 
23 32 26 29 716.71 0.040 
23 35 27 31 718.64 0.040 
23 38 28 33 742.06 0.040 
23 41 29 35 791.72 0.040 
23 44 30 37 691.43 0.040 
23 47 31 39 737.69 0.040 
24 27 25 26 316.00 0.040 
24 30 26 28 516.69 0.040 
24 33 27 30 689.67 0.040 
24 36 28 32 658.86 0.040 
24 39 29 34 708.97 0.040 
24 42 30 36 665.04 0.040 
24 45 31 38 711.19 0.040 
24 48 32 40 654.39 0.040 
25 28 26 27 254.58 0.040 
25 31 27 29 498.97 0.040 
25 34 28 31 555.95 0.040 
25 37 29 33 635.78 0.040 
25 40 30 35 659.68 0.040 
25 43 31 37 618.84 0.040 
25 46 32 39 665.86 0.040 
26 29 27 28 321.70 0.040 
26 32 28 30 465.36 0.040 
26 35 29 32 543.43 0.040 
26 38 30 34 599.86 0.040 
26 41 31 36 585.02 0.040 
26 44 32 38 649.41 0.040 
26 47 33 40 580.02 0.040 
27 30 28 29 250.78 0.040 
27 33 29 31 418.51 0.040 
27 36 30 33 517.79 0.040 
27 39 31 35 547.04 0.040 
27 42 32 37 534.02 0.040 
27 45 33 39 611.54 0.040 
27 48 34 41 530.15 0.040 
28 31 29 30 278.65 0.040 
28 34 30 32 366.56 0.040 
28 37 31 34 578.48 0.040 
28 40 32 36 493.22 0.040 
28 43 33 38 584.55 0.040 
28 46 34 40 479.15 0.040 
29 32 30 31 228.05 0.040 
29 35 31 33 336.47 0.040 
29 38 32 35 502.24 0.040 
29 41 33 37 434.98 0.040 
29 44 34 39 506.96 0.040 
29 47 35 41 477.77 0.040 
30 33 31 32 251.90 0.040 
30 36 32 34 388.19 0.040 
30 39 33 36 378.10 0.040 
30 42 34 38 453.45 0.040 
30 45 35 40 422.00 0.040 
30 48 36 42 530.06 0.040 
31 34 32 33 248.41 0.040 
31 37 33 35 360.94 0.040 
31 40 34 37 320.43 0.040 
31 43 35 39 445.53 0.040 
31 46 36 41 488.82 0.040 
32 35 33 34 237.89 0.040 
32 38 34 36 209.44 0.040 
32 41 35 38 392.74 0.040 
