48 	 # Number of sensors 
# x z 
0.00 -6.24 
5.00 -6.38 
9.90 -5.54 
14.90 -6.04 
19.90 -5.79 
24.80 -4.75 
29.80 -4.38 
34.80 -4.05 
39.70 -4.45 
44.70 -4.64 
49.60 -3.61 
54.60 -3.65 
59.40 -2.28 
64.40 -1.94 
69.10 -3.67 
74.10 -3.05 
79.00 -2.43 
84.00 -3.00 
89.00 -2.61 
93.90 -1.94 
98.90 -2.19 
103.90 -2.44 
108.90 -2.64 
115.20 -1.23 
118.60 -0.91 
123.60 -0.44 
128.60 -0.11 
133.60 -0.26 
138.40 -1.09 
143.40 -1.29 
148.40 -1.43 
153.40 -1.82 
158.40 -1.83 
163.30 -2.56 
168.00 -0.89 
173.00 -1.31 
177.90 -2.27 
182.90 -2.09 
187.90 -2.15 
192.90 -1.92 
197.90 -1.70 
202.90 -2.28 
207.90 -2.02 
212.80 -2.76 
217.80 -2.27 
222.70 -1.75 
227.70 -2.17 
232.70 -1.66 
944 	 # Number of measurements 
# a b m n rhoa err
2 1 3 4 106.77 0.040 
2 1 4 5 89.15 0.040 
2 1 5 6 234.05 0.040 
2 1 6 7 275.79 0.040 
2 1 7 8 203.04 0.040 
2 1 8 9 253.09 0.040 
2 1 9 10 278.08 0.040 
2 1 10 11 190.51 0.040 
2 1 11 12 407.95 0.040 
2 1 12 13 509.85 0.040 
2 1 13 14 187.58 0.040 
2 1 14 15 333.52 0.040 
2 1 15 16 382.87 0.040 
2 1 16 17 280.37 0.040 
2 1 17 18 177.06 0.040 
2 1 18 19 275.86 0.040 
2 1 19 20 491.22 0.040 
2 1 20 21 554.66 0.040 
2 1 21 22 289.00 0.040 
2 1 22 23 291.23 0.040 
2 1 23 24 259.08 0.040 
2 1 24 25 275.53 0.040 
2 1 25 26 292.34 0.040 
2 1 26 27 526.29 0.040 
2 1 27 28 486.69 0.040 
2 1 28 29 412.40 0.040 
2 1 29 30 408.01 0.040 
2 1 30 31 319.43 0.040 
2 1 31 32 390.67 0.040 
2 1 32 33 334.40 0.040 
