48 	 # Number of sensors 
# x z 
0	-12.51
5	-12.37
10	-13.52
15	-13.47
20	-13.5
25	-12.88
30	-12.92
35	-12.82
40	-13.62
45	-12.96
50	-11.52
55	-10.64
60	-10.19
65	-8.64
70	-6.64
75	-5.66
80	-3.5
85	-3.17
90	-3.11
95	-2.78
100	-2.38
105	-1.68
110	-1.29
115	-0.21
120	-1.3
125	-1.96
130	-0.96
135	0
140	-1.19
145	-2.18
150	-3.3
155	-2.64
160	-3.05
165	-3.02
170	-3.01
175	-3.05
180	-3.48
185	-4.95
190	-6.02
195	-5.53
200	-5.44
205	-5.5
210	-6.38
215	-6.7
220	-7.74
225	-7.88
230	-8.12
235	-8.28
360 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 3258.80 0.001 
1 43 15 29 4238.03 0.001 
1 40 14 27 3099.72 0.001 
1 37 13 25 4625.31 0.001 
1 34 12 23 7850.30 0.001 
1 31 11 21 9418.70 0.001 
1 28 10 19 29341.05 0.001 
1 25 9 17 21159.03 0.001 
1 22 8 15 16931.78 0.001 
1 19 7 13 18333.58 0.001 
1 16 6 11 17620.70 0.001 
1 13 5 9 18229.09 0.001 
1 10 4 7 10460.26 0.001 
1 7 3 5 7524.58 0.001 
1 4 2 3 6292.51 0.001 
2 47 17 32 3232.98 0.001 
2 44 16 30 4558.17 0.001 
2 41 15 28 3270.95 0.001 
2 38 14 26 4077.94 0.001 
2 35 13 24 6931.04 0.001 
2 32 12 22 8412.78 0.001 
2 29 11 20 19083.06 0.001 
2 26 10 18 26079.77 0.001 
2 23 9 16 20538.16 0.001 
2 20 8 14 18920.98 0.001 
2 17 7 12 22650.88 0.001 
2 14 6 10 16700.99 0.001 
2 11 5 8 16278.04 0.001 
2 8 4 6 8480.62 0.001 
2 5 3 4 5275.42 0.001 
3 48 18 33 3052.06 0.001 
3 45 17 31 3871.16 0.001 
3 42 16 29 4639.46 0.001 
3 39 15 27 3623.65 0.001 
3 36 14 25 5616.81 0.001 
3 33 13 23 7966.13 0.001 
3 30 12 21 11798.11 0.001 
3 27 11 19 31384.79 0.001 
3 24 10 17 22348.91 0.001 
3 21 9 15 18990.04 0.001 
3 18 8 13 25689.85 0.001 
3 15 7 11 21508.46 0.001 
3 12 6 9 21834.36 0.001 
3 9 5 7 10048.98 0.001 
