48 	 # Number of sensors 
# x z 
0	-43
5	-42
10	-40.12
15	-39.05
20	-37.57
25	-36.09
30	-34.66
35	-33.26
40	-31.8
45	-30.3
50	-28.85
55	-27.58
60	-26.46
65	-25.23
70	-24.09
75	-23.11
80	-22.28
85	-21.57
90	-20.71
95	-19.75
100	-19.06
105	-17.94
110	-16.61
115	-15.56
120	-14.41
125	-13.02
130	-11.81
135	-10.72
140	-9.59
145	-8.52
150	-7.43
155	-6.25
160	-5.26
165	-4.57
170	-3.94
175	-3.5
180	-2.92
185	-2.5
190	-2.19
195	-1.82
200	-1.68
205	-1.65
210	-1.6
215	-1.34
220	-1.15
225	-1.01
230	-0.64
235	-0.38
842 	 # Number of measurements 
# a b m n rhoa err
2 1 3 4 7385.50 0.040 
4 3 5 6 7824.90 0.040 
5 4 6 7 6086.80 0.040 
6 5 7 8 8457.70 0.040 
7 6 8 9 6180.20 0.040 
8 7 9 10 7465.90 0.040 
9 8 10 11 6735.30 0.040 
10 9 11 12 7021.70 0.040 
11 10 12 13 6510.50 0.040 
12 11 13 14 6402.70 0.040 
13 12 14 15 5883.20 0.040 
14 13 15 16 4632.90 0.040 
15 14 16 17 6110.50 0.040 
16 15 17 18 6002.10 0.040 
17 16 18 19 7110.60 0.040 
18 17 19 20 5588.30 0.040 
20 19 21 22 6716.40 0.040 
21 20 22 23 11217.00 0.040 
22 21 23 24 10399.00 0.040 
25 24 26 27 9117.10 0.040 
26 25 27 28 10095.00 0.040 
29 28 30 31 9784.30 0.040 
35 34 36 37 15940.00 0.040 
36 35 37 38 15619.00 0.040 
37 36 38 39 18642.00 0.040 
38 37 39 40 22613.00 0.040 
39 38 40 41 25156.00 0.040 
40 39 41 42 31025.00 0.040 
41 40 42 43 38429.00 0.040 
42 41 43 44 31292.00 0.040 
43 42 44 45 35917.00 0.040 
44 43 45 46 29679.00 0.040 
45 44 46 47 29716.00 0.040 
46 45 47 48 27852.00 0.040 
2 1 4 5 9132.00 0.040 
3 2 5 6 8756.90 0.040 
4 3 6 7 9634.90 0.040 
5 4 7 8 10372.00 0.040 
6 5 8 9 11750.00 0.040 
7 6 9 10 9653.30 0.040 
8 7 10 11 10168.00 0.040 
9 8 11 12 9650.50 0.040 
