48 	 # Number of sensors 
# x z 
0.00 3853.46 
5.00 3851.36 
10.00 3849.27 
15.00 3847.14 
20.00 3844.88 
25.00 3842.81 
30.00 3840.61 
35.00 3838.30 
40.00 3835.83 
45.00 3833.39 
50.00 3830.97 
55.00 3828.79 
60.00 3826.43 
65.00 3824.25 
70.00 3821.90 
75.00 3819.85 
80.00 3817.60 
85.00 3815.58 
90.00 3813.53 
95.00 3811.37 
100.00 3809.87 
105.00 3809.78 
110.00 3809.52 
115.00 3809.16 
120.00 3808.53 
125.00 3808.22 
130.00 3807.97 
135.00 3807.69 
140.00 3807.39 
145.00 3807.07 
150.00 3806.83 
155.00 3806.50 
160.00 3806.07 
165.00 3805.52 
170.00 3805.00 
175.00 3804.79 
180.00 3805.13 
185.00 3805.27 
190.00 3805.32 
195.00 3805.35 
200.00 3805.38 
205.00 3805.36 
210.00 3805.22 
215.00 3805.16 
220.00 3805.04 
225.00 3804.85 
230.00 3804.81 
235.00 3804.69 
331 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 47580.38 0.040 
2 5 3 4 76728.69 0.040 
3 6 4 5 71348.43 0.040 
4 7 5 6 82796.23 0.040 
9 12 10 11 103476.21 0.040 
10 13 11 12 89064.15 0.040 
11 14 12 13 88267.53 0.040 
12 15 13 14 66963.67 0.040 
13 16 14 15 70166.04 0.040 
14 17 15 16 51807.72 0.040 
15 18 16 17 69238.85 0.040 
16 19 17 18 42298.00 0.040 
17 20 18 19 46898.74 0.040 
18 21 19 20 35397.57 0.040 
19 22 20 21 19624.25 0.040 
20 23 21 22 1045.67 0.040 
21 24 22 23 773.76 0.040 
22 25 23 24 522.29 0.040 
23 26 24 25 604.85 0.040 
24 27 25 26 371.74 0.040 
25 28 26 27 390.57 0.040 
26 29 27 28 333.71 0.040 
27 30 28 29 329.51 0.040 
28 31 29 30 312.62 0.040 
29 32 30 31 298.63 0.040 
30 33 31 32 288.76 0.040 
31 34 32 33 272.02 0.040 
32 35 33 34 274.70 0.040 
33 36 34 35 257.96 0.040 
34 37 35 36 275.05 0.040 
35 38 36 37 383.01 0.040 
36 39 37 38 360.64 0.040 
37 40 38 39 534.47 0.040 
38 41 39 40 506.34 0.040 
39 42 40 41 798.04 0.040 
40 43 41 42 902.39 0.040 
41 44 42 43 1001.15 0.040 
42 45 43 44 1196.40 0.040 
43 46 44 45 1049.66 0.040 
44 47 45 46 1048.18 0.040 
45 48 46 47 992.90 0.040 
1 7 3 5 98069.80 0.040 
3 9 5 7 88679.30 0.040 
5 11 7 9 122091.95 0.040 
7 13 9 11 103515.48 0.040 
9 15 11 13 107805.49 0.040 
10 16 12 14 95056.40 0.040 
11 17 13 15 77837.23 0.040 
12 18 14 16 76571.08 0.040 
13 19 15 17 81942.04 0.040 
14 20 16 18 57485.43 0.040 
15 21 17 19 40256.60 0.040 
16 22 18 20 45557.48 0.040 
17 23 19 21 33739.31 0.040 
18 24 20 22 13638.00 0.040 
19 25 21 23 1397.12 0.040 
20 26 22 24 1312.35 0.040 
21 27 23 25 1269.66 0.040 
22 28 24 26 1051.07 0.040 
23 29 25 27 763.04 0.040 
24 30 26 28 683.13 0.040 
25 31 27 29 666.34 0.040 
26 32 28 30 651.98 0.040 
27 33 29 31 632.73 0.040 
28 34 30 32 604.79 0.040 
29 35 31 33 588.31 0.040 
30 36 32 34 585.45 0.040 
31 37 33 35 552.01 0.040 
32 38 34 36 568.66 0.040 
33 39 35 37 697.91 0.040 
34 40 36 38 812.80 0.040 
35 41 37 39 908.91 0.040 
36 42 38 40 895.91 0.040 
37 43 39 41 1151.08 0.040 
38 44 40 42 1397.94 0.040 
39 45 41 43 1497.91 0.040 
40 46 42 44 1682.89 0.040 
41 47 43 45 2110.31 0.040 
42 48 44 46 2272.04 0.040 
1 10 4 7 74638.34 0.040 
3 12 6 9 90437.47 0.040 
4 13 7 10 101019.12 0.040 
6 15 9 12 97216.58 0.040 
7 16 10 13 97096.95 0.040 
8 17 11 14 96603.97 0.040 
9 18 12 15 80840.27 0.040 
10 19 13 16 69184.37 0.040 
11 20 14 17 59024.81 0.040 
12 21 15 18 51707.30 0.040 
13 22 16 19 57014.67 0.040 
14 23 17 20 48219.62 0.040 
15 24 18 21 48269.09 0.040 
16 25 19 22 34376.33 0.040 
17 26 20 23 12166.16 0.040 
18 27 21 24 1509.96 0.040 
19 28 22 25 1605.51 0.040 
20 29 23 26 1642.38 0.040 
21 30 24 27 1518.35 0.040 
22 31 25 28 1107.63 0.040 
23 32 26 29 1019.14 0.040 
24 33 27 30 955.13 0.040 
25 34 28 31 967.82 0.040 
26 35 29 32 943.13 0.040 
27 36 30 33 921.05 0.040 
28 37 31 34 886.22 0.040 
29 38 32 35 859.95 0.040 
30 39 33 36 873.13 0.040 
31 40 34 37 1017.24 0.040 
32 41 35 38 1102.36 0.040 
33 42 36 39 1215.15 0.040 
34 43 37 40 1169.77 0.040 
35 44 38 41 1358.07 0.040 
36 45 39 42 1485.83 0.040 
37 46 40 43 1706.42 0.040 
38 47 41 44 1958.09 0.040 
39 48 42 45 2078.57 0.040 
1 13 5 9 67867.07 0.040 
2 14 6 10 74054.16 0.040 
3 15 7 11 79848.20 0.040 
