72 	 # Number of sensors 
# x z 
0.00 4585.41 
5.00 4585.21 
10.00 4584.89 
15.00 4584.22 
20.00 4583.84 
25.00 4583.08 
30.00 4582.45 
35.00 4582.04 
40.00 4581.68 
45.00 4581.37 
50.00 4580.81 
55.00 4580.37 
60.00 4580.36 
65.00 4579.81 
70.00 4579.54 
75.00 4579.08 
80.00 4578.78 
85.00 4578.33 
90.00 4577.86 
95.00 4576.99 
100.00 4576.12 
105.00 4575.38 
110.00 4574.48 
115.00 4573.93 
120.00 4572.93 
125.00 4572.11 
130.00 4571.64 
135.00 4571.11 
140.00 4570.11 
145.00 4569.62 
150.00 4569.14 
155.00 4568.41 
160.00 4568.00 
165.00 4567.50 
170.00 4567.22 
175.00 4566.96 
180.00 4566.69 
185.00 4566.64 
190.00 4566.48 
195.00 4566.25 
200.00 4566.07 
205.00 4565.93 
210.00 4565.83 
215.00 4565.86 
220.00 4565.99 
225.00 4566.25 
230.00 4566.48 
235.00 4566.67 
240.00 4567.58 
245.00 4568.05 
250.00 4568.49 
255.00 4569.37 
260.00 4570.58 
265.00 4572.03 
270.00 4572.88 
275.00 4573.45 
280.00 4573.37 
285.00 4572.73 
290.00 4574.20 
295.00 4574.66 
300.00 4578.13 
305.00 4578.81 
310.00 4578.30 
315.00 4581.24 
320.00 4583.77 
325.00 4581.51 
330.00 4583.54 
335.00 4584.59 
340.00 4583.54 
345.00 4583.56 
350.00 4584.51 
355.00 4585.94 
1516 	 # Number of measurements 
# a b m n rhoa err
1 2 3 4 536.87 0.040 
1 2 4 5 1048.92 0.040 
1 2 5 6 1294.95 0.040 
1 2 6 7 1373.41 0.040 
1 2 7 8 1564.97 0.040 
1 2 8 9 1407.33 0.040 
1 2 9 10 1565.45 0.040 
1 2 10 11 1835.23 0.040 
1 2 11 12 2196.06 0.040 
1 2 12 13 2377.63 0.040 
1 2 13 14 2333.62 0.040 
1 2 14 15 1589.85 0.040 
1 2 15 16 2376.15 0.040 
1 2 16 17 3290.45 0.040 
1 2 17 18 3594.51 0.040 
1 2 18 19 4237.80 0.040 
1 2 19 20 4801.92 0.040 
1 2 20 21 5365.80 0.040 
1 2 21 22 6707.93 0.040 
1 2 22 23 5466.66 0.040 
1 2 23 24 6006.75 0.040 
1 2 24 25 7558.43 0.040 
1 2 25 26 5370.15 0.040 
1 2 26 27 5828.47 0.040 
1 2 27 28 7422.25 0.040 
1 2 28 29 5661.59 0.040 
1 2 29 30 6147.05 0.040 
1 2 30 31 4300.79 0.040 
1 2 31 32 3365.84 0.040 
1 2 32 33 3478.64 0.040 
1 2 33 34 4083.02 0.040 
1 2 34 35 3362.84 0.040 
1 2 35 36 3268.32 0.040 
1 2 36 37 3012.14 0.040 
1 2 37 38 2912.64 0.040 
1 2 38 39 3954.13 0.040 
1 2 39 40 3710.45 0.040 
1 2 40 41 2931.70 0.040 
1 2 41 42 2830.44 0.040 
1 2 42 43 2510.68 0.040 
1 2 43 44 2892.37 0.040 
1 2 44 45 2486.35 0.040 
1 2 45 46 4215.87 0.040 
1 2 46 47 949.78 0.040 
