48 	 # Number of sensors 
# x z 
0	-28.72
5	-28.23
10	-27.8
15	-27.02
20	-26.61
25	-25.95
30	-25.65
35	-25.07
40	-24.57
45	-23.9
50	-23.37
55	-22.74
60	-22.68
65	-22.05
70	-21.6
75	-20.95
80	-20.5
85	-19.5
90	-18.46
95	-17.36
100	-16.34
105	-15.24
110	-14.23
115	-13.08
120	-12.16
125	-11.65
130	-11.02
135	-10.25
140	-9.69
145	-8.9
150	-8.13
155	-7.36
160	-6.64
165	-6.01
170	-5.29
175	-4.91
180	-4.6
185	-4.52
190	-4.55
195	-4.33
200	-4.08
205	-3.7
210	-3.06
215	-2.05
220	-1.49
225	-0.68
230	-0.17
235	0
360 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 536.02 0.040 
1 7 3 5 986.71 0.040 
1 10 4 7 1454.94 0.040 
1 13 5 9 1797.19 0.040 
1 16 6 11 1989.60 0.040 
1 19 7 13 2002.74 0.040 
1 22 8 15 2055.72 0.040 
1 25 9 17 2349.01 0.040 
1 28 10 19 2862.91 0.040 
1 31 11 21 3050.88 0.040 
1 34 12 23 2925.67 0.040 
1 37 13 25 2599.61 0.040 
1 40 14 27 2274.80 0.040 
1 43 15 29 2135.26 0.040 
1 46 16 31 1969.17 0.040 
2 5 3 4 541.02 0.040 
2 8 4 6 1011.54 0.040 
2 11 5 8 1463.45 0.040 
2 14 6 10 1701.07 0.040 
2 17 7 12 1929.60 0.040 
2 20 8 14 1987.86 0.040 
2 23 9 16 2131.02 0.040 
2 26 10 18 2655.30 0.040 
2 29 11 20 3067.84 0.040 
2 32 12 22 3130.19 0.040 
2 35 13 24 2932.79 0.040 
2 38 14 26 2597.61 0.040 
2 41 15 28 2267.11 0.040 
2 44 16 30 2116.92 0.040 
2 47 17 32 1936.41 0.040 
3 6 4 5 514.28 0.040 
3 9 5 7 992.36 0.040 
3 12 6 9 1365.60 0.040 
3 15 7 11 1637.85 0.040 
3 18 8 13 1876.95 0.040 
3 21 9 15 1959.55 0.040 
3 24 10 17 2340.07 0.040 
3 27 11 19 2924.20 0.040 
3 30 12 21 3242.88 0.040 
3 33 13 23 3156.56 0.040 
3 36 14 25 2884.91 0.040 
3 39 15 27 2518.07 0.040 
3 42 16 29 2250.53 0.040 
3 45 17 31 2019.75 0.040 
3 48 18 33 1800.34 0.040 
4 7 5 6 521.25 0.040 
4 10 6 8 939.17 0.040 
4 13 7 10 1252.14 0.040 
4 16 8 12 1637.30 0.040 
4 19 9 14 1829.59 0.040 
4 22 10 16 2058.30 0.040 
4 25 11 18 2596.66 0.040 
4 28 12 20 3141.83 0.040 
4 31 13 22 3313.23 0.040 
4 34 14 24 3172.32 0.040 
4 37 15 26 2797.69 0.040 
4 40 16 28 2398.57 0.040 
4 43 17 30 2147.83 0.040 
4 46 18 32 1852.43 0.040 
5 8 6 7 485.63 0.040 
5 11 7 9 874.68 0.040 
5 14 8 11 1218.19 0.040 
5 17 9 13 1661.47 0.040 
5 20 10 15 1827.75 0.040 
5 23 11 17 2221.78 0.040 
5 26 12 19 2866.14 0.040 
5 29 13 21 3227.75 0.040 
5 32 14 23 3316.07 0.040 
5 35 15 25 3120.50 0.040 
5 38 16 27 2670.33 0.040 
5 41 17 29 2224.40 0.040 
5 44 18 31 1917.24 0.040 
5 47 19 33 1710.38 0.040 
6 9 7 8 445.66 0.040 
6 12 8 10 846.61 0.040 
6 15 9 12 1280.09 0.040 
6 18 10 14 1685.88 0.040 
6 21 11 16 1889.82 0.040 
6 24 12 18 2477.12 0.040 
6 27 13 20 3026.85 0.040 
6 30 14 22 3371.21 0.040 
6 33 15 24 3338.07 0.040 
6 36 16 26 2933.79 0.040 
6 39 17 28 2410.14 0.040 
6 42 18 30 2006.51 0.040 
6 45 19 32 1753.95 0.040 
6 48 20 34 1635.77 0.040 
