48 	 # Number of sensors 
# x z 
0	-28.72
5	-28.23
10	-27.8
15	-27.02
20	-26.61
25	-25.95
30	-25.65
35	-25.07
40	-24.57
45	-23.9
50	-23.37
55	-22.74
60	-22.68
65	-22.05
70	-21.6
75	-20.95
80	-20.5
85	-19.5
90	-18.46
95	-17.36
100	-16.34
105	-15.24
110	-14.23
115	-13.08
120	-12.16
125	-11.65
130	-11.02
135	-10.25
140	-9.69
145	-8.9
150	-8.13
155	-7.36
160	-6.64
165	-6.01
170	-5.29
175	-4.91
180	-4.6
185	-4.52
190	-4.55
195	-4.33
200	-4.08
205	-3.7
210	-3.06
215	-2.05
220	-1.49
225	-0.68
230	-0.17
235	0
887 	 # Number of measurements 
# a b m n rhoa err
1 2 3 4 367.58 0.040 
2 3 4 5 329.51 0.040 
3 4 5 6 353.27 0.040 
4 5 6 7 337.45 0.040 
5 6 7 8 314.37 0.040 
6 7 8 9 270.99 0.040 
7 8 9 10 237.43 0.040 
8 9 10 11 237.52 0.040 
9 10 11 12 264.59 0.040 
10 11 12 13 317.04 0.040 
11 12 13 14 335.65 0.040 
12 13 14 15 317.35 0.040 
13 14 15 16 337.66 0.040 
14 15 16 17 359.13 0.040 
15 16 17 18 474.42 0.040 
16 17 18 19 626.17 0.040 
17 18 19 20 600.82 0.040 
18 19 20 21 589.35 0.040 
19 20 21 22 550.21 0.040 
20 21 22 23 601.19 0.040 
21 22 23 24 549.24 0.040 
22 23 24 25 603.65 0.040 
23 24 25 26 538.88 0.040 
24 25 26 27 604.32 0.040 
25 26 27 28 536.88 0.040 
26 27 28 29 749.33 0.040 
27 28 29 30 708.95 0.040 
28 29 30 31 993.89 0.040 
29 30 31 32 1128.50 0.040 
30 31 32 33 1212.60 0.040 
31 32 33 34 1433.30 0.040 
32 33 34 35 1465.50 0.040 
33 34 35 36 1576.90 0.040 
34 35 36 37 1735.60 0.040 
35 36 37 38 1609.40 0.040 
36 37 38 39 1769.50 0.040 
37 38 39 40 1634.70 0.040 
38 39 40 41 1751.50 0.040 
39 40 41 42 1698.00 0.040 
40 41 42 43 1453.30 0.040 
41 42 43 44 1771.30 0.040 
42 43 44 45 1357.00 0.040 
43 44 45 46 1591.30 0.040 
44 45 46 47 2491.40 0.040 
45 46 47 48 2224.60 0.040 
1 2 4 5 633.40 0.040 
2 3 5 6 580.43 0.040 
3 4 6 7 573.95 0.040 
4 5 7 8 477.83 0.040 
5 6 8 9 495.91 0.040 
6 7 9 10 393.21 0.040 
7 8 10 11 414.34 0.040 
8 9 11 12 406.83 0.040 
9 10 12 13 474.80 0.040 
10 11 13 14 485.93 0.040 
11 12 14 15 480.07 0.040 
12 13 15 16 567.83 0.040 
13 14 16 17 641.92 0.040 
14 15 17 18 703.67 0.040 
15 16 18 19 799.71 0.040 
16 17 19 20 893.03 0.040 
17 18 20 21 925.98 0.040 
18 19 21 22 926.33 0.040 
19 20 22 23 935.91 0.040 
20 21 23 24 923.27 0.040 
21 22 24 25 893.29 0.040 
22 23 25 26 907.46 0.040 
23 24 26 27 1015.20 0.040 
24 25 27 28 979.11 0.040 
25 26 28 29 1155.20 0.040 
26 27 29 30 1205.10 0.040 
27 28 30 31 1211.40 0.040 
28 29 31 32 1943.20 0.040 
29 30 32 33 1756.90 0.040 
30 31 33 34 2152.90 0.040 
31 32 34 35 2526.70 0.040 
32 33 35 36 2374.80 0.040 
33 34 36 37 2626.90 0.040 
34 35 37 38 2388.00 0.040 
35 36 38 39 2824.50 0.040 
36 37 39 40 2685.40 0.040 
37 38 40 41 2141.40 0.040 
38 39 41 42 2259.20 0.040 
39 40 42 43 2135.40 0.040 
40 41 43 44 2595.70 0.040 
41 42 44 45 2481.80 0.040 
42 43 45 46 1770.60 0.040 
43 44 46 47 2283.20 0.040 
44 45 47 48 3004.80 0.040 
1 2 5 6 944.81 0.040 
2 3 6 7 785.47 0.040 
3 4 7 8 673.50 0.040 
4 5 8 9 617.67 0.040 
5 6 9 10 598.36 0.040 
6 7 10 11 585.38 0.040 
7 8 11 12 598.72 0.040 
8 9 12 13 632.11 0.040 
9 10 13 14 615.91 0.040 
10 11 14 15 602.31 0.040 
11 12 15 16 728.05 0.040 
12 13 16 17 942.02 0.040 
13 14 17 18 1040.60 0.040 
14 15 18 19 967.65 0.040 
15 16 19 20 952.20 0.040 
16 17 20 21 1154.50 0.040 
17 18 21 22 1211.70 0.040 
18 19 22 23 1352.40 0.040 
19 20 23 24 1200.10 0.040 
20 21 24 25 1267.20 0.040 
21 22 25 26 1160.00 0.040 
22 23 26 27 1438.10 0.040 
23 24 27 28 1389.90 0.040 
24 25 28 29 1800.30 0.040 
25 26 29 30 1560.00 0.040 
26 27 30 31 1777.10 0.040 
27 28 31 32 2046.80 0.040 
28 29 32 33 2471.10 0.040 
29 30 33 34 2580.20 0.040 
30 31 34 35 3086.50 0.040 
31 32 35 36 3486.00 0.040 
32 33 36 37 3230.40 0.040 
33 34 37 38 2998.50 0.040 
34 35 38 39 3545.80 0.040 
35 36 39 40 3576.90 0.040 
36 37 40 41 2994.00 0.040 
37 38 41 42 2400.50 0.040 
38 39 42 43 2298.60 0.040 
39 40 43 44 3175.00 0.040 
40 41 44 45 2911.90 0.040 
41 42 45 46 2586.70 0.040 
42 43 46 47 2122.10 0.040 
43 44 47 48 2061.60 0.040 
1 2 6 7 1164.10 0.040 
2 3 7 8 869.17 0.040 
3 4 8 9 805.69 0.040 
4 5 9 10 695.23 0.040 
5 6 10 11 803.32 0.040 
6 7 11 12 792.41 0.040 
7 8 12 13 862.69 0.040 
8 9 13 14 777.44 0.040 
9 10 14 15 719.66 0.040 
10 11 15 16 862.11 0.040 
11 12 16 17 1130.20 0.040 
12 13 17 18 1390.60 0.040 
13 14 18 19 1312.30 0.040 
14 15 19 20 1054.30 0.040 
15 16 20 21 1120.30 0.040 
16 17 21 22 1357.00 0.040 
17 18 22 23 1585.60 0.040 
18 19 23 24 1567.20 0.040 
19 20 24 25 1499.20 0.040 
20 21 25 26 1500.00 0.040 
21 22 26 27 1639.70 0.040 
22 23 27 28 1792.80 0.040 
23 24 28 29 2359.50 0.040 
24 25 29 30 2206.10 0.040 
25 26 30 31 2109.40 0.040 
26 27 31 32 2777.60 0.040 
27 28 32 33 2350.40 0.040 
28 29 33 34 3245.00 0.040 
29 30 34 35 3299.10 0.040 
30 31 35 36 3808.40 0.040 
31 32 36 37 4243.20 0.040 
32 33 37 38 3298.10 0.040 
33 34 38 39 3952.20 0.040 
34 35 39 40 3951.30 0.040 
35 36 40 41 3522.50 0.040 
36 37 41 42 3010.70 0.040 
37 38 42 43 2135.40 0.040 
38 39 43 44 3097.20 0.040 
39 40 44 45 3140.40 0.040 
40 41 45 46 2682.00 0.040 
41 42 46 47 2721.10 0.040 
42 43 47 48 1708.80 0.040 
1 2 7 8 1259.80 0.040 
2 3 8 9 999.87 0.040 
3 4 9 10 867.31 0.040 
4 5 10 11 912.94 0.040 
5 6 11 12 1051.40 0.040 
6 7 12 13 1098.90 0.040 
7 8 13 14 1016.80 0.040 
8 9 14 15 889.97 0.040 
9 10 15 16 996.23 0.040 
10 11 16 17 1290.30 0.040 
11 12 17 18 1583.50 0.040 
12 13 18 19 1658.90 0.040 
13 14 19 20 1363.00 0.040 
14 15 20 21 1160.10 0.040 
15 16 21 22 1227.00 0.040 
16 17 22 23 1655.10 0.040 
17 18 23 24 1711.80 0.040 
18 19 24 25 1864.40 0.040 
19 20 25 26 1654.00 0.040 
20 21 26 27 1978.50 0.040 
21 22 27 28 1958.90 0.040 
22 23 28 29 2874.20 0.040 
23 24 29 30 2709.10 0.040 
24 25 30 31 2892.80 0.040 
25 26 31 32 3151.90 0.040 
26 27 32 33 2983.90 0.040 
27 28 33 34 2908.60 0.040 
28 29 34 35 3829.90 0.040 
29 30 35 36 3811.80 0.040 
30 31 36 37 4295.30 0.040 
31 32 37 38 4001.80 0.040 
32 33 38 39 4020.40 0.040 
33 34 39 40 3999.00 0.040 
34 35 40 41 3730.90 0.040 
35 36 41 42 3300.60 0.040 
36 37 42 43 2491.90 0.040 
37 38 43 44 2802.30 0.040 
38 39 44 45 2880.90 0.040 
39 40 45 46 2703.00 0.040 
40 41 46 47 2691.70 0.040 
41 42 47 48 2071.20 0.040 
1 2 8 9 1408.80 0.040 
2 3 9 10 1060.20 0.040 
3 4 10 11 1155.00 0.040 
4 5 11 12 1159.30 0.040 
5 6 12 13 1405.30 0.040 
6 7 13 14 1267.70 0.040 
7 8 14 15 1137.40 0.040 
8 9 15 16 1218.30 0.040 
9 10 16 17 1468.70 0.040 
10 11 17 18 1743.00 0.040 
11 12 18 19 1803.40 0.040 
12 13 19 20 1636.70 0.040 
13 14 20 21 1430.90 0.040 
14 15 21 22 1216.30 0.040 
15 16 22 23 1431.20 0.040 
16 17 23 24 1694.70 0.040 
17 18 24 25 1933.50 0.040 
18 19 25 26 1986.10 0.040 
19 20 26 27 2113.50 0.040 
20 21 27 28 2259.40 0.040 
21 22 28 29 2963.60 0.040 
22 23 29 30 3141.40 0.040 
23 24 30 31 3414.70 0.040 
24 25 31 32 4211.80 0.040 
25 26 32 33 3189.20 0.040 
26 27 33 34 3503.90 0.040 
27 28 34 35 3259.40 0.040 
28 29 35 36 4172.50 0.040 
29 30 36 37 4069.40 0.040 
30 31 37 38 3857.40 0.040 
31 32 38 39 4672.50 0.040 
32 33 39 40 4046.60 0.040 
33 34 40 41 3518.50 0.040 
34 35 41 42 3118.50 0.040 
35 36 42 43 2512.20 0.040 
36 37 43 44 3098.90 0.040 
37 38 44 45 2466.70 0.040 
38 39 45 46 2259.00 0.040 
40 41 47 48 1800.90 0.040 
1 2 9 10 1468.70 0.040 
2 3 10 11 1395.60 0.040 
3 4 11 12 1426.60 0.040 
4 5 12 13 1527.50 0.040 
5 6 13 14 1585.20 0.040 
6 7 14 15 1406.50 0.040 
7 8 15 16 1535.70 0.040 
8 9 16 17 1776.10 0.040 
9 10 17 18 1990.60 0.040 
10 11 18 19 1916.70 0.040 
11 12 19 20 1730.40 0.040 
12 13 20 21 1688.60 0.040 
13 14 21 22 1449.50 0.040 
14 15 22 23 1372.00 0.040 
15 16 23 24 1409.10 0.040 
16 17 24 25 1847.90 0.040 
17 18 25 26 1990.10 0.040 
18 19 26 27 2463.70 0.040 
19 20 27 28 2283.00 0.040 
20 21 28 29 3305.00 0.040 
21 22 29 30 3242.30 0.040 
22 23 30 31 3853.30 0.040 
23 24 31 32 4810.70 0.040 
24 25 32 33 4103.30 0.040 
25 26 33 34 3822.00 0.040 
26 27 34 35 3855.00 0.040 
27 28 35 36 3499.40 0.040 
28 29 36 37 4269.80 0.040 
29 30 37 38 3538.80 0.040 
30 31 38 39 4380.80 0.040 
31 32 39 40 4579.40 0.040 
32 33 40 41 3349.40 0.040 
33 34 41 42 2787.40 0.040 
34 35 42 43 2437.50 0.040 
35 36 43 44 3170.50 0.040 
36 37 44 45 2763.40 0.040 
37 38 45 46 2035.30 0.040 
1 2 10 11 1886.50 0.040 
2 3 11 12 1692.40 0.040 
3 4 12 13 1874.10 0.040 
4 5 13 14 1702.80 0.040 
5 6 14 15 1723.90 0.040 
6 7 15 16 1873.50 0.040 
7 8 16 17 2198.50 0.040 
8 9 17 18 2362.70 0.040 
9 10 18 19 2115.00 0.040 
10 11 19 20 1798.20 0.040 
11 12 20 21 1715.70 0.040 
