48 	 # Number of sensors 
# x z 
0.00 -24.70 
5.00 -24.30 
10.00 -24.10 
15.00 -23.80 
20.00 -23.70 
24.90 -23.20 
29.90 -22.60 
34.90 -22.20 
39.90 -21.70 
44.80 -20.80 
49.70 -20.10 
54.40 -18.30 
59.10 -16.50 
63.90 -15.40 
68.80 -14.30 
73.70 -13.10 
78.40 -11.60 
83.20 -10.10 
88.00 -8.60 
92.80 -7.20 
97.50 -5.60 
102.30 -4.10 
107.10 -2.60 
111.90 -1.20 
116.70 0.00 
121.50 1.40 
126.20 3.10 
130.80 5.00 
135.50 6.90 
140.20 8.60 
145.00 10.00 
149.70 11.50 
154.50 12.90 
159.20 14.60 
164.00 16.10 
168.60 18.00 
173.30 19.90 
178.00 21.60 
182.70 23.30 
187.20 25.30 
191.80 27.30 
196.40 29.30 
200.40 32.30 
204.70 34.90 
209.20 37.00 
213.80 38.90 
218.20 41.40 
222.30 44.20 
359 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 16682.60 0.040 
1 43 15 29 14807.37 0.040 
1 40 14 27 13752.73 0.040 
1 37 13 25 13577.35 0.040 
1 34 12 23 13865.82 0.040 
1 31 11 21 14128.68 0.040 
1 28 10 19 14235.80 0.040 
1 25 9 17 13793.91 0.040 
1 22 8 15 12967.19 0.040 
1 19 7 13 12840.14 0.040 
1 16 6 11 8627.89 0.040 
1 13 5 9 947.38 0.040 
1 10 4 7 700.46 0.040 
1 7 3 5 413.39 0.040 
1 4 2 3 316.28 0.040 
2 47 17 32 17820.61 0.040 
2 44 16 30 15469.40 0.040 
2 41 15 28 14052.92 0.040 
2 38 14 26 13422.18 0.040 
2 35 13 24 13698.60 0.040 
2 32 12 22 13432.79 0.040 
2 29 11 20 13705.77 0.040 
2 26 10 18 14403.23 0.040 
2 23 9 16 13513.92 0.040 
2 20 8 14 13411.74 0.040 
2 17 7 12 14906.54 0.040 
2 14 6 10 2066.38 0.040 
2 11 5 8 806.92 0.040 
2 8 4 6 547.63 0.040 
2 5 3 4 266.14 0.040 
3 48 18 33 19011.12 0.040 
3 45 17 31 15918.07 0.040 
3 42 16 29 14287.55 0.040 
3 39 15 27 13322.43 0.040 
3 36 14 25 13797.64 0.040 
3 33 13 23 13248.74 0.040 
3 30 12 21 12895.70 0.040 
3 27 11 19 13578.29 0.040 
3 24 10 17 14282.97 0.040 
3 21 9 15 13507.05 0.040 
3 18 8 13 14458.31 0.040 
3 15 7 11 11419.01 0.040 
3 12 6 9 935.60 0.040 
3 9 5 7 800.96 0.040 
3 6 4 5 258.63 0.040 
4 46 18 32 17001.16 0.040 
4 43 17 30 14756.21 0.040 
4 40 16 28 13432.95 0.040 
4 37 15 26 13161.65 0.040 
4 34 14 24 13095.79 0.040 
4 31 13 22 12723.45 0.040 
4 28 12 20 12326.47 0.040 
4 25 11 18 13337.17 0.040 
4 22 10 16 13821.16 0.040 
4 19 9 14 14280.59 0.040 
4 16 8 12 18773.40 0.040 
4 13 7 10 2454.26 0.040 
4 10 6 8 1082.01 0.040 
4 7 5 6 690.77 0.040 
5 47 19 33 18367.01 0.040 
