48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 0.20 
10.00 0.30 
15.00 0.10 
20.00 0.10 
25.00 -0.10 
30.00 -0.10 
35.00 0.10 
40.00 -0.30 
45.00 -0.30 
50.00 0.00 
55.00 0.80 
60.00 1.00 
65.00 1.60 
70.00 2.20 
75.00 2.60 
80.00 3.40 
85.00 4.40 
90.00 5.50 
95.00 5.40 
100.00 5.80 
105.00 6.70 
110.00 5.70 
115.00 6.30 
120.00 7.20 
125.00 9.10 
130.00 9.80 
135.00 10.60 
140.00 9.90 
145.00 8.20 
150.00 8.80 
155.00 8.80 
160.00 9.10 
165.00 11.10 
170.00 12.80 
175.00 13.50 
180.00 14.10 
185.00 14.90 
190.00 15.20 
195.00 15.60 
200.00 15.90 
205.00 16.10 
210.00 16.20 
215.00 16.30 
220.00 16.30 
225.00 15.60 
230.00 15.10 
235.00 14.50 
360 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 81481.48 0.03 
1 43 15 29 53934.87 0.03 
1 40 14 27 47601.41 0.03 
1 37 13 25 44266.69 0.03 
1 34 12 23 26942.30 0.03 
1 31 11 21 24539.33 0.03 
1 28 10 19 22401.97 0.03 
1 25 9 17 22925.43 0.03 
1 22 8 15 21602.47 0.03 
1 19 7 13 20803.96 0.03 
1 16 6 11 20534.59 0.03 
1 13 5 9 19352.21 0.03 
1 10 4 7 20310.39 0.03 
1 7 3 5 20357.52 0.03 
1 4 2 3 26218.83 0.03 
2 47 17 32 96163.13 0.03 
2 44 16 30 66413.27 0.03 
2 41 15 28 50885.31 0.03 
2 38 14 26 47700.46 0.03 
2 35 13 24 30507.38 0.03 
2 32 12 22 25237.46 0.03 
2 29 11 20 21904.61 0.03 
2 26 10 18 20106.19 0.03 
2 23 9 16 21358.90 0.03 
2 20 8 14 19933.40 0.03 
2 17 7 12 19662.68 0.03 
2 14 6 10 18395.23 0.03 
2 11 5 8 17833.03 0.03 
2 8 4 6 18517.94 0.03 
2 5 3 4 18225.43 0.03 
3 48 18 33 116662.36 0.03 
3 45 17 31 78916.81 0.03 
3 42 16 29 51612.44 0.03 
3 39 15 27 47554.73 0.03 
3 36 14 25 42851.33 0.03 
3 33 13 23 28670.45 0.03 
3 30 12 21 22053.98 0.03 
3 27 11 19 18931.31 0.03 
3 24 10 17 18389.15 0.03 
3 21 9 15 18678.20 0.03 
3 18 8 13 17572.97 0.03 
3 15 7 11 17072.56 0.03 
3 12 6 9 12751.38 0.03 
3 9 5 7 15612.46 0.03 
3 6 4 5 11364.27 0.03 
4 46 18 32 94122.12 0.03 
4 43 17 30 64822.36 0.03 
4 40 16 28 47780.93 0.03 
4 37 15 26 47228.61 0.03 
4 34 14 24 28916.31 0.03 
4 31 13 22 23550.86 0.03 
4 28 12 20 18797.56 0.03 
4 25 11 18 16834.60 0.03 
4 22 10 16 15603.24 0.03 
4 19 9 14 16900.16 0.03 
4 16 8 12 16532.63 0.03 
4 13 7 10 14130.43 0.03 
4 10 6 8 10218.97 0.03 
4 7 5 6 14823.08 0.03 
5 47 19 33 113019.34 0.03 
5 44 18 31 74929.08 0.03 
5 41 17 29 49590.49 0.03 
5 38 16 27 46794.95 0.03 
5 35 15 25 44164.71 0.03 
5 32 14 23 26090.01 0.03 
5 29 13 21 21101.03 0.03 
5 26 12 19 15924.38 0.03 
5 23 11 17 14593.20 0.03 
5 20 10 15 13104.07 0.03 
5 17 9 13 14705.45 0.03 
5 14 8 11 13530.70 0.03 
5 11 7 9 8844.01 0.03 
5 8 6 7 9251.51 0.03 
6 48 20 34 201047.97 0.03 
6 45 19 32 88834.72 0.03 
6 42 18 30 59630.15 0.03 
6 39 17 28 45719.59 0.03 
6 36 16 26 44736.28 0.03 
6 33 15 24 30548.85 0.03 
6 30 14 22 21624.41 0.03 
6 27 13 20 16606.46 0.03 
6 24 12 18 14666.40 0.03 
6 21 11 16 11959.72 0.03 
6 18 10 14 11008.14 0.03 
6 15 9 12 13732.36 0.03 
6 12 8 10 10617.30 0.03 
6 9 7 8 10005.97 0.03 
7 46 20 33 105505.16 0.03 
7 43 19 31 73136.27 0.03 
7 40 18 29 45534.61 0.03 
7 37 17 27 45297.84 0.03 
7 34 16 25 42148.96 0.03 
7 31 15 23 24161.70 0.03 
7 28 14 21 18320.32 0.03 
7 25 13 19 13816.02 0.03 
7 22 12 17 12095.13 0.03 
7 19 11 15 9822.37 0.03 
7 16 10 13 9330.53 0.03 
7 13 9 11 11031.48 0.03 
7 10 8 9 6904.25 0.03 
8 47 21 34 202906.22 0.03 
8 44 20 32 85070.73 0.03 
8 41 19 30 80140.53 0.03 
8 38 18 28 39618.98 0.03 
8 35 17 26 41638.67 0.03 
8 32 16 24 25595.18 0.03 
8 29 15 22 19022.34 0.03 
8 26 14 20 13489.21 0.03 
8 23 13 18 12403.87 0.03 
8 20 12 16 9181.83 0.03 
8 17 11 14 7704.00 0.03 
8 14 10 12 7515.89 0.03 
8 11 9 10 10588.18 0.03 
9 48 22 35 253037.34 0.03 
9 45 21 33 101787.59 0.03 
9 42 20 31 67732.73 0.03 
9 39 19 29 44610.62 0.03 
9 36 18 27 43039.82 0.03 
9 33 17 25 46626.26 0.03 
9 30 16 23 21725.21 0.03 
9 27 15 21 15320.92 0.03 
9 24 14 19 12752.54 0.03 
9 21 13 17 9845.86 0.03 
9 18 12 15 6967.60 0.03 
9 15 11 13 6280.51 0.03 
9 12 10 11 6749.19 0.03 
10 46 22 34 199121.97 0.03 
10 43 21 32 78670.95 0.03 
10 40 20 30 54542.88 0.03 
10 37 19 28 44092.25 0.03 
10 34 18 26 44338.34 0.03 
10 31 17 24 24630.09 0.03 
10 28 16 22 17449.30 0.03 
10 25 15 20 12252.21 0.03 
10 22 14 18 11237.13 0.03 
10 19 13 16 8049.46 0.03 
10 16 12 14 6063.27 0.03 
10 13 11 12 6579.39 0.03 
11 47 23 35 244128.67 0.03 
11 44 22 33 100562.39 0.03 
11 41 21 31 62469.36 0.03 
11 38 20 29 42185.31 0.03 
11 35 19 27 44012.45 0.03 
11 32 18 25 42907.17 0.03 
11 29 17 23 20472.26 0.03 
11 26 16 21 13700.08 0.03 
11 23 15 19 11136.40 0.03 
11 20 14 17 9236.28 0.03 
11 17 13 15 6337.04 0.03 
11 14 12 13 5788.01 0.03 
12 48 24 36 287727.97 0.03 
12 45 23 34 191176.39 0.03 
12 42 22 32 75162.61 0.03 
12 39 21 30 51303.29 0.03 
12 36 20 28 41564.35 0.03 
12 33 19 26 48980.28 0.03 
12 30 18 24 22716.41 0.03 
12 27 17 22 14128.79 0.03 
12 24 16 20 11686.72 0.03 
12 21 15 18 9427.87 0.03 
12 18 14 16 6406.68 0.03 
12 15 13 14 5034.28 0.03 
13 46 24 35 233990.16 0.03 
13 43 23 33 90980.53 0.03 
13 40 22 31 58755.45 0.03 
13 37 21 29 41054.86 0.03 
13 34 20 27 42280.37 0.03 
13 31 19 25 39256.25 0.03 
13 28 18 23 16805.99 0.03 
13 25 17 21 10785.03 0.03 
13 22 16 19 9140.46 0.03 
13 19 15 17 7175.72 0.03 
13 16 14 15 4740.80 0.03 
14 47 25 36 270380.84 0.03 
14 44 24 34 177481.50 0.03 
14 41 23 32 69823.47 0.03 
14 38 22 30 49260.17 0.03 
14 35 21 28 41624.85 0.03 
14 32 20 26 42102.68 0.03 
14 29 19 24 21230.79 0.03 
14 26 18 22 11140.99 0.03 
14 23 17 20 8545.13 0.03 
14 20 16 18 7675.67 0.03 
14 17 15 16 4705.66 0.03 
15 48 26 37 290901.56 0.03 
15 45 25 35 221085.45 0.03 
15 42 24 33 88193.30 0.03 
15 39 23 31 55977.47 0.03 
15 36 22 29 38721.34 0.03 
15 33 21 27 45301.77 0.03 
15 30 20 25 36669.37 0.03 
15 27 19 23 13896.12 0.03 
15 24 18 21 9772.15 0.03 
15 21 17 19 6399.65 0.03 
15 18 16 17 5129.36 0.03 
16 46 26 36 256208.95 0.03 
16 43 25 34 163607.42 0.03 
16 40 24 32 63453.56 0.03 
16 37 23 30 49173.64 0.03 
16 34 22 28 38666.18 0.03 
16 31 21 26 38090.52 0.03 
16 28 20 24 17465.78 0.03 
16 25 19 22 9400.19 0.03 
16 22 18 20 6338.16 0.03 
16 19 17 18 5646.43 0.03 
17 47 27 37 274947.06 0.03 
17 44 26 35 201845.50 0.03 
17 41 25 33 71879.63 0.03 
17 38 24 31 53548.44 0.03 
17 35 23 29 38015.78 0.03 
17 32 22 27 38802.01 0.03 
17 29 21 25 35973.08 0.03 
17 26 20 23 11587.09 0.03 
17 23 19 21 8108.50 0.03 
17 20 18 19 4987.88 0.03 
18 48 28 38 299707.97 0.03 
18 45 27 36 248374.33 0.03 
18 42 26 34 151379.52 0.03 
18 39 25 32 52765.01 0.03 
18 36 24 30 46310.38 0.03 
18 33 23 28 40120.76 0.03 
18 30 22 26 36207.91 0.03 
18 27 21 24 13926.13 0.03 
18 24 20 22 9738.94 0.03 
18 21 19 20 5405.31 0.03 
19 46 28 37 262832.97 0.03 
19 43 27 35 192574.80 0.03 
19 40 26 33 64680.63 0.03 
19 37 25 31 44100.26 0.03 
19 34 24 29 33657.88 0.03 
19 31 23 27 34012.98 0.03 
19 28 22 25 29800.25 0.03 
19 25 21 23 8950.26 0.03 
19 22 20 21 7024.42 0.03 
20 47 29 38 292661.09 0.03 
20 44 28 36 234469.14 0.03 
20 41 27 34 149503.17 0.03 
20 38 26 32 48610.91 0.03 
20 35 25 30 35437.16 0.03 
20 32 24 28 34224.88 0.03 
20 29 23 26 33481.52 0.03 
20 26 22 24 10932.74 0.03 
20 23 21 22 5775.70 0.03 
21 48 30 39 300571.06 0.03 
21 45 29 37 248549.59 0.03 
21 42 28 35 183476.55 0.03 
21 39 27 33 61520.23 0.03 
21 36 26 31 38610.18 0.03 
21 33 25 29 24671.97 0.03 
21 30 24 27 29055.24 0.03 
21 27 23 25 23291.77 0.03 
21 24 22 23 10074.99 0.03 
22 46 30 38 260564.88 0.03 
22 43 29 36 217712.36 0.03 
22 40 28 34 134010.41 0.03 
22 37 27 32 48210.98 0.03 
22 34 26 30 30159.29 0.03 
22 31 25 28 18074.63 0.03 
22 28 24 26 24658.33 0.03 
22 25 23 24 6855.02 0.03 
23 47 31 39 288192.34 0.03 
23 44 30 37 220094.75 0.03 
23 41 29 35 164619.44 0.03 
23 38 28 33 62329.20 0.03 
23 35 27 31 38307.59 0.03 
23 32 26 29 17041.71 0.03 
23 29 25 27 15515.54 0.03 
23 26 24 25 18306.92 0.03 
24 48 32 40 320833.41 0.03 
24 45 31 38 251352.55 0.03 
24 42 30 36 198470.11 0.03 
24 39 29 34 135517.84 0.03 
24 36 28 32 46654.30 0.03 
24 33 27 30 32781.83 0.03 
24 30 26 28 12368.90 0.03 
24 27 25 26 8547.38 0.03 
25 46 32 39 200849.73 0.03 
25 43 31 37 217556.17 0.03 
25 40 30 35 153020.38 0.03 
25 37 29 33 68596.43 0.03 
25 34 28 31 40388.31 0.03 
25 31 27 29 15207.27 0.03 
25 28 26 27 9442.04 0.03 
26 47 33 40 296476.34 0.03 
26 44 32 38 235599.59 0.03 
26 41 31 36 187680.70 0.03 
26 38 30 34 137152.95 0.03 
26 35 29 32 50632.00 0.03 
26 32 28 30 28019.52 0.03 
26 29 27 28 10702.36 0.03 
27 48 34 41 270282.78 0.03 
27 45 33 39 250751.69 0.03 
27 42 32 37 196745.14 0.03 
27 39 31 35 147636.91 0.03 
27 36 30 33 48380.52 0.03 
27 33 29 31 38419.26 0.03 
27 30 28 29 7068.58 0.03 
28 46 34 40 222620.78 0.03 
28 43 33 38 208938.36 0.03 
28 40 32 36 163342.44 0.03 
28 37 31 34 126755.27 0.03 
28 34 30 32 29229.38 0.03 
28 31 29 30 19507.20 0.03 
29 47 35 41 205694.48 0.03 
29 44 34 39 174912.31 0.03 
29 41 33 37 163103.62 0.03 
29 38 32 35 130262.99 0.03 
29 35 31 33 36987.02 0.03 
29 32 30 31 13114.40 0.03 
30 48 36 42 213795.84 0.03 
30 45 35 40 213990.78 0.03 
30 42 34 38 147313.75 0.03 
30 39 33 36 157111.02 0.03 
30 36 32 34 120029.77 0.03 
30 33 31 32 24336.87 0.03 
31 46 36 41 170075.11 0.03 
31 43 35 39 138916.39 0.03 
31 40 34 37 103696.11 0.03 
31 37 33 35 122099.66 0.03 
31 34 32 33 22363.65 0.03 
32 47 37 42 170326.69 0.03 
32 44 36 40 139160.00 0.03 
32 41 35 38 101633.99 0.03 
32 38 34 36 98820.00 0.03 
32 35 33 34 77903.64 0.03 
33 48 38 43 183379.27 0.03 
33 45 37 41 155994.95 0.03 
33 42 36 39 104508.99 0.03 
33 39 35 37 76654.86 0.03 
33 36 34 35 42649.36 0.03 
34 46 38 42 167397.92 0.03 
34 43 37 40 161511.69 0.03 
34 40 36 38 90190.63 0.03 
34 37 35 36 66396.52 0.03 
35 47 39 43 171538.34 0.03 
35 44 38 41 141316.22 0.03 
35 41 37 39 108565.59 0.03 
35 38 36 37 41880.29 0.03 
36 48 40 44 197640.00 0.03 
36 45 39 42 134352.97 0.03 
36 42 38 40 114524.52 0.03 
36 39 37 38 59811.99 0.03 
37 46 40 43 127547.22 0.03 
37 43 39 41 89453.22 0.03 
37 40 38 39 48319.54 0.03 
38 47 41 44 143768.25 0.03 
38 44 40 42 71447.67 0.03 
38 41 39 40 43452.71 0.03 
39 48 42 45 149288.47 0.03 
39 45 41 43 83082.66 0.03 
39 42 40 41 39712.87 0.03 
40 46 42 44 106036.60 0.03 
40 43 41 42 30875.03 0.03 
41 47 43 45 84240.76 0.03 
