48 	 # Number of sensors 
# x z 
0.00 3799.55 
5.00 3799.56 
10.00 3800.68 
15.00 3801.84 
20.00 3802.74 
25.00 3804.07 
30.00 3805.00 
35.00 3805.90 
40.00 3807.23 
45.00 3808.01 
50.00 3810.02 
55.00 3810.71 
60.00 3811.25 
65.00 3812.45 
70.00 3813.73 
75.00 3815.02 
80.00 3815.43 
85.00 3816.19 
90.00 3816.29 
95.00 3816.58 
100.00 3817.38 
105.00 3817.92 
110.00 3818.53 
115.00 3819.18 
120.00 3819.58 
125.00 3820.52 
130.00 3821.61 
135.00 3822.61 
140.00 3822.80 
145.00 3823.31 
150.00 3823.50 
155.00 3823.67 
160.00 3824.08 
165.00 3823.96 
170.00 3823.94 
175.00 3823.97 
180.00 3824.37 
185.00 3824.27 
190.00 3824.30 
195.00 3824.45 
200.00 3824.53 
205.00 3824.29 
210.00 3824.37 
215.00 3824.77 
220.00 3825.50 
225.00 3826.17 
230.00 3827.10 
235.00 3827.60 
357 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 24063.92 0.040 
1 43 15 29 26661.03 0.040 
1 40 14 27 26441.44 0.040 
1 37 13 25 24510.22 0.040 
1 34 12 23 22527.50 0.040 
1 31 11 21 22764.46 0.040 
1 28 10 19 22427.61 0.040 
1 25 9 17 21158.04 0.040 
1 22 8 15 22397.14 0.040 
1 19 7 13 22058.36 0.040 
1 13 5 9 13711.31 0.040 
1 10 4 7 13753.67 0.040 
1 7 3 5 12671.09 0.040 
1 4 2 3 6569.18 0.040 
2 47 17 32 23883.50 0.040 
2 44 16 30 26644.01 0.040 
2 41 15 28 27327.08 0.040 
2 38 14 26 10430.09 0.040 
2 32 12 22 23460.30 0.040 
2 29 11 20 23376.35 0.040 
2 26 10 18 21339.32 0.040 
2 23 9 16 22430.97 0.040 
2 20 8 14 21498.16 0.040 
2 17 7 12 20931.63 0.040 
2 14 6 10 15400.78 0.040 
2 11 5 8 13281.69 0.040 
2 8 4 6 11415.69 0.040 
2 5 3 4 6151.81 0.040 
3 48 18 33 24629.33 0.040 
3 45 17 31 27242.37 0.040 
3 42 16 29 28821.87 0.040 
3 39 15 27 27820.67 0.040 
3 36 14 25 26033.33 0.040 
3 33 13 23 23201.24 0.040 
3 30 12 21 23346.52 0.040 
3 27 11 19 24790.94 0.040 
3 24 10 17 22858.91 0.040 
3 21 9 15 22252.14 0.040 
3 18 8 13 22925.13 0.040 
3 15 7 11 16144.09 0.040 
3 12 6 9 13688.85 0.040 
3 9 5 7 8699.79 0.040 
3 6 4 5 9024.45 0.040 
4 46 18 32 26691.76 0.040 
4 43 17 30 30740.48 0.040 
4 40 16 28 29590.49 0.040 
4 37 15 26 27228.72 0.040 
4 34 14 24 24447.30 0.040 
4 31 13 22 24103.87 0.040 
4 28 12 20 23289.67 0.040 
4 25 11 18 23872.61 0.040 
4 22 10 16 23003.85 0.040 
4 19 9 14 21963.59 0.040 
4 16 8 12 19846.49 0.040 
4 13 7 10 13859.13 0.040 
4 10 6 8 10535.24 0.040 
4 7 5 6 4812.45 0.040 
5 47 19 33 27715.41 0.040 
5 44 18 31 31082.69 0.040 
5 41 17 29 31321.16 0.040 
