48 	 # Number of sensors 
# x z 
0	0
5	-1.369
10	-3.055
15	-4.783
20	-4.715
25	-5.281
30	-5.522
35	-6.631
40	-6.801
45	-6.848
50	-7.158
55	-8.252
60	-8.375
65	-9.641
70	-10.036
75	-11.028
80	-11.873
85	-11.796
90	-13.964
95	-14.551
100	-13.293
105	-14.114
110	-14.583
115	-15.756
120	-15.992
125	-17.052
130	-18.051
135	-17.988
140	-17.326
145	-17.961
150	-17.992
155	-17.705
160	-17.012
165	-16.159
170	-18.371
175	-19.946
180	-18.674
185	-18.774
190	-18.705
195	-20.053
200	-21.377
205	-22.27
210	-22.846
215	-23.111
220	-22.926
225	-23.811
230	-23.741
235	-23.55
356 	 # Number of measurements 
# a b m n rhoa err
4 1 3 2 6236.60 0.040 
5 2 4 3 14705.00 0.040 
6 3 5 4 6244.90 0.040 
7 4 6 5 14223.00 0.040 
8 5 7 6 9627.80 0.040 
9 6 8 7 10049.00 0.040 
10 7 9 8 7266.90 0.040 
11 8 10 9 10875.00 0.040 
12 9 11 10 11738.00 0.040 
13 10 12 11 16447.00 0.040 
14 11 13 12 8714.80 0.040 
15 12 14 13 25284.00 0.040 
16 13 15 14 6637.30 0.040 
17 14 16 15 14503.00 0.040 
18 15 17 16 8072.20 0.040 
19 16 18 17 7698.80 0.040 
20 17 19 18 8545.10 0.040 
21 18 20 19 7371.20 0.040 
22 19 21 20 10419.00 0.040 
23 20 22 21 8865.10 0.040 
24 21 23 22 13888.00 0.040 
26 23 25 24 5236.60 0.040 
28 25 27 26 7320.90 0.040 
29 26 28 27 8312.50 0.040 
30 27 29 28 5115.40 0.040 
31 28 30 29 4803.10 0.040 
32 29 31 30 4723.60 0.040 
33 30 32 31 4357.40 0.040 
34 31 33 32 5494.30 0.040 
35 32 34 33 3285.50 0.040 
36 33 35 34 7102.50 0.040 
37 34 36 35 4993.80 0.040 
38 35 37 36 5359.00 0.040 
39 36 38 37 5944.70 0.040 
40 37 39 38 6967.50 0.040 
41 38 40 39 6732.40 0.040 
42 39 41 40 7570.20 0.040 
43 40 42 41 7263.70 0.040 
44 41 43 42 4098.60 0.040 
45 42 44 43 6822.60 0.040 
46 43 45 44 3151.50 0.040 
47 44 46 45 4260.80 0.040 
48 45 47 46 3856.30 0.040 
7 1 5 3 10924.00 0.040 
8 2 6 4 11270.00 0.040 
9 3 7 5 13355.00 0.040 
10 4 8 6 11915.00 0.040 
11 5 9 7 9329.60 0.040 
12 6 10 8 12572.00 0.040 
13 7 11 9 18045.00 0.040 
14 8 12 10 12608.00 0.040 
15 9 13 11 9264.50 0.040 
16 10 14 12 15142.00 0.040 
17 11 15 13 15982.00 0.040 
18 12 16 14 10763.00 0.040 
19 13 17 15 8908.90 0.040 
20 14 18 16 10642.00 0.040 
21 15 19 17 9990.30 0.040 
22 16 20 18 9637.40 0.040 
23 17 21 19 7196.90 0.040 
24 18 22 20 8401.50 0.040 
25 19 23 21 14971.00 0.040 
26 20 24 22 11204.00 0.040 
27 21 25 23 5364.40 0.040 
28 22 26 24 5738.60 0.040 
29 23 27 25 13040.00 0.040 
30 24 28 26 11231.00 0.040 
31 25 29 27 7625.60 0.040 
32 26 30 28 5331.40 0.040 
33 27 31 29 5711.80 0.040 
34 28 32 30 6943.80 0.040 
35 29 33 31 6065.50 0.040 
36 30 34 32 5086.90 0.040 
37 31 35 33 7023.40 0.040 
38 32 36 34 8371.70 0.040 
39 33 37 35 6691.20 0.040 
40 34 38 36 5384.90 0.040 
41 35 39 37 5876.60 0.040 
42 36 40 38 5920.20 0.040 
43 37 41 39 6350.90 0.040 
44 38 42 40 5536.70 0.040 
45 39 43 41 4549.50 0.040 
46 40 44 42 4217.50 0.040 
47 41 45 43 4014.90 0.040 
48 42 46 44 3175.10 0.040 
10 1 7 4 12782.00 0.040 
11 2 8 5 13019.00 0.040 
12 3 9 6 10459.00 0.040 
13 4 10 7 13885.00 0.040 
14 5 11 8 12143.00 0.040 
15 6 12 9 13942.00 0.040 
16 7 13 10 11592.00 0.040 
17 8 14 11 13322.00 0.040 
18 9 15 12 10841.00 0.040 
19 10 16 13 13177.00 0.040 
20 11 17 14 9863.90 0.040 
21 12 18 15 10431.00 0.040 
22 13 19 16 9093.80 0.040 
23 14 20 17 9429.00 0.040 
24 15 21 18 8718.90 0.040 
25 16 22 19 9962.90 0.040 
26 17 23 20 11277.00 0.040 
27 18 24 21 9492.40 0.040 
28 19 25 22 5954.20 0.040 
29 20 26 23 4718.80 0.040 
30 21 27 24 6398.10 0.040 
31 22 28 25 10453.00 0.040 
32 23 29 26 11332.00 0.040 
33 24 30 27 9073.50 0.040 
34 25 31 28 6703.40 0.040 
35 26 32 29 5449.90 0.040 
36 27 33 30 5652.10 0.040 
37 28 34 31 5657.50 0.040 
38 29 35 32 7180.80 0.040 
39 30 36 33 7635.10 0.040 
40 31 37 34 8129.80 0.040 
41 32 38 35 5888.00 0.040 
42 33 39 36 4915.60 0.040 
43 34 40 37 4875.50 0.040 
44 35 41 38 5337.30 0.040 
45 36 42 39 6087.40 0.040 
46 37 43 40 5158.60 0.040 
47 38 44 41 4499.10 0.040 
48 39 45 42 3802.50 0.040 
13 1 9 5 13006.00 0.040 
14 2 10 6 11825.00 0.040 
15 3 11 7 11944.00 0.040 
16 4 12 8 11944.00 0.040 
17 5 13 9 11101.00 0.040 
18 6 14 10 13896.00 0.040 
19 7 15 11 10992.00 0.040 
20 8 16 12 10654.00 0.040 
21 9 17 13 11022.00 0.040 
22 10 18 14 8747.80 0.040 
23 11 19 15 9328.90 0.040 
24 12 20 16 8597.00 0.040 
25 13 21 17 8914.70 0.040 
26 14 22 18 10730.00 0.040 
27 15 23 19 9090.40 0.040 
28 16 24 20 7504.90 0.040 
29 17 25 21 6397.40 0.040 
30 18 26 22 5745.80 0.040 
31 19 27 23 5837.00 0.040 
32 20 28 24 7074.50 0.040 
33 21 29 25 9150.40 0.040 
34 22 30 26 9666.70 0.040 
