48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 0.30 
10.00 0.30 
15.00 0.00 
20.00 -0.30 
25.00 -0.20 
30.00 -0.20 
35.00 0.10 
40.00 0.10 
45.00 0.10 
50.00 -0.20 
55.00 -0.30 
60.00 -0.10 
65.00 -0.30 
70.00 -0.40 
74.90 0.40 
79.90 0.70 
84.90 0.60 
89.90 0.80 
94.90 1.10 
99.90 1.60 
104.90 1.70 
109.80 2.00 
114.80 2.40 
119.80 2.60 
124.80 2.90 
129.80 3.20 
134.80 3.60 
139.80 4.20 
144.70 4.40 
149.70 3.80 
154.70 3.80 
159.60 4.70 
164.50 5.80 
169.50 5.80 
174.50 5.40 
179.30 7.00 
183.90 8.90 
187.10 12.70 
192.10 13.00 
197.10 13.00 
202.10 13.10 
207.10 12.40 
212.00 12.20 
217.00 12.70 
221.90 14.00 
226.90 14.00 
231.90 14.00 
335 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 64033.00 0.040 
2 5 3 4 79598.00 0.040 
3 6 4 5 61570.00 0.040 
4 7 5 6 73920.00 0.040 
5 8 6 7 66043.00 0.040 
6 9 7 8 73613.00 0.040 
7 10 8 9 63644.00 0.040 
8 11 9 10 75134.00 0.040 
9 12 10 11 62215.00 0.040 
10 13 11 12 41004.00 0.040 
11 14 12 13 72932.00 0.040 
12 15 13 14 53543.00 0.040 
13 16 14 15 38846.00 0.040 
15 18 16 17 107557.00 0.040 
16 19 17 18 20245.00 0.040 
18 21 19 20 37030.00 0.040 
19 22 20 21 31595.00 0.040 
20 23 21 22 46237.00 0.040 
21 24 22 23 29199.00 0.040 
22 25 23 24 38025.00 0.040 
23 26 24 25 51289.00 0.040 
24 27 25 26 34579.00 0.040 
25 28 26 27 42624.00 0.040 
26 29 27 28 35972.00 0.040 
27 30 28 29 47207.00 0.040 
28 31 29 30 39006.00 0.040 
29 32 30 31 40231.00 0.040 
30 33 31 32 34781.00 0.040 
31 34 32 33 52450.00 0.040 
32 35 33 34 37470.00 0.040 
33 36 34 35 48886.00 0.040 
34 37 35 36 37482.00 0.040 
35 38 36 37 30982.00 0.040 
36 39 37 38 86667.00 0.040 
37 40 38 39 23583.00 0.040 
38 41 39 40 29987.00 0.040 
39 42 40 41 73765.00 0.040 
40 43 41 42 7522.40 0.040 
41 44 42 43 48066.00 0.040 
43 46 44 45 10796.00 0.040 
44 47 45 46 14058.00 0.040 
45 48 46 47 14340.00 0.040 
1 7 3 5 129910.00 0.040 
2 8 4 6 108604.00 0.040 
3 9 5 7 114304.00 0.040 
4 10 6 8 120805.00 0.040 
5 11 7 9 111362.00 0.040 
6 12 8 10 115497.00 0.040 
7 13 9 11 102806.00 0.040 
8 14 10 12 107996.00 0.040 
9 15 11 13 76500.00 0.040 
10 16 12 14 96179.00 0.040 
12 18 14 16 83350.00 0.040 
14 20 16 18 73493.00 0.040 
15 21 17 19 68403.00 0.040 
16 22 18 20 60960.00 0.040 
18 24 20 22 71222.00 0.040 
19 25 21 23 89189.00 0.040 
20 26 22 24 64063.00 0.040 
21 27 23 25 87485.00 0.040 
22 28 24 26 91031.00 0.040 
23 29 25 27 68994.00 0.040 
24 30 26 28 78774.00 0.040 
25 31 27 29 79674.00 0.040 
26 32 28 30 81081.00 0.040 
27 33 29 31 52076.00 0.040 
28 34 30 32 74576.00 0.040 
29 35 31 33 71040.00 0.040 
30 36 32 34 81492.00 0.040 
31 37 33 35 96233.00 0.040 
32 38 34 36 57008.00 0.040 
33 39 35 37 51097.00 0.040 
34 40 36 38 120145.00 0.040 
35 41 37 39 114562.00 0.040 
36 42 38 40 43082.00 0.040 
37 43 39 41 26564.00 0.040 
38 44 40 42 28732.00 0.040 
39 45 41 43 49370.00 0.040 
40 46 42 44 31477.00 0.040 
41 47 43 45 18772.00 0.040 
1 10 4 7 144171.00 0.040 
2 11 5 8 141450.00 0.040 
3 12 6 9 142422.00 0.040 
4 13 7 10 152380.00 0.040 
5 14 8 11 143110.00 0.040 
6 15 9 12 149243.00 0.040 
7 16 10 13 141691.00 0.040 
8 17 11 14 102012.00 0.040 
9 18 12 15 125108.00 0.040 
10 19 13 16 125354.00 0.040 
12 21 15 18 105563.00 0.040 
13 22 16 19 123451.00 0.040 
14 23 17 20 71075.00 0.040 
15 24 18 21 91999.00 0.040 
16 25 19 22 103869.00 0.040 
18 27 21 24 134829.00 0.040 
19 28 22 25 107943.00 0.040 
20 29 23 26 118545.00 0.040 
21 30 24 27 113717.00 0.040 
22 31 25 28 108964.00 0.040 
23 32 26 29 117560.00 0.040 
24 33 27 30 98513.00 0.040 
25 34 28 31 98600.00 0.040 
26 35 29 32 100713.00 0.040 
27 36 30 33 120108.00 0.040 
28 37 31 34 96571.00 0.040 
29 38 32 35 96393.00 0.040 
30 39 33 36 80618.00 0.040 
31 40 34 37 81785.00 0.040 
32 41 35 38 135992.00 0.040 
33 42 36 39 102966.00 0.040 
34 43 37 40 116688.00 0.040 
35 44 38 41 49762.00 0.040 
37 46 40 43 62948.00 0.040 
38 47 41 44 61743.00 0.040 
1 13 5 9 169910.00 0.040 
2 14 6 10 165301.00 0.040 
3 15 7 11 168489.00 0.040 
4 16 8 12 171377.00 0.040 
5 17 9 13 181658.00 0.040 
6 18 10 14 164571.00 0.040 
7 19 11 15 123407.00 0.040 
8 20 12 16 157029.00 0.040 
9 21 13 17 96847.00 0.040 
10 22 14 18 130901.00 0.040 
