48 	 # Number of sensors 
# x z 
0.00 0.00 
5.00 -0.50 
10.00 1.00 
15.00 2.20 
20.00 2.00 
25.00 3.70 
30.00 4.80 
35.00 5.20 
40.00 5.20 
45.00 5.40 
50.00 7.60 
55.00 8.70 
60.00 10.20 
65.00 10.50 
70.00 10.80 
75.00 10.30 
80.00 11.10 
85.00 13.40 
90.00 15.70 
95.00 15.90 
100.00 16.30 
105.00 16.00 
110.00 18.50 
115.00 19.50 
120.00 19.80 
125.00 20.00 
130.00 22.50 
135.00 23.40 
140.00 24.10 
145.00 25.00 
150.00 26.30 
155.00 26.90 
160.00 27.50 
165.00 28.60 
170.00 29.10 
175.00 30.20 
180.00 30.90 
185.00 31.20 
190.00 32.10 
195.00 32.80 
200.00 33.10 
205.00 34.10 
210.00 34.80 
215.00 35.30 
220.00 36.00 
225.00 36.40 
230.00 36.70 
235.00 37.30 
360 	 # Number of measurements 
# a b m n rhoa err
1 46 16 31 133658.52 0.040 
1 43 15 29 142326.70 0.040 
1 40 14 27 155101.86 0.040 
1 37 13 25 161759.50 0.040 
1 34 12 23 184911.19 0.040 
1 31 11 21 196478.91 0.040 
1 28 10 19 203202.66 0.040 
1 25 9 17 194371.41 0.040 
1 22 8 15 185058.08 0.040 
1 19 7 13 174345.53 0.040 
1 16 6 11 170628.20 0.040 
1 13 5 9 147940.45 0.040 
1 10 4 7 132842.23 0.040 
1 7 3 5 106554.16 0.040 
1 4 2 3 76310.78 0.040 
2 47 17 32 130967.37 0.040 
2 44 16 30 139165.67 0.040 
2 41 15 28 153480.11 0.040 
2 38 14 26 159516.62 0.040 
2 35 13 24 180645.55 0.040 
2 32 12 22 182008.50 0.040 
2 29 11 20 199279.52 0.040 
2 26 10 18 200430.78 0.040 
2 23 9 16 175594.12 0.040 
2 20 8 14 161071.77 0.040 
2 17 7 12 163323.84 0.040 
2 14 6 10 149877.27 0.040 
2 11 5 8 120144.05 0.040 
2 8 4 6 84587.95 0.040 
2 5 3 4 60675.02 0.040 
3 48 18 33 135965.45 0.040 
3 45 17 31 150395.03 0.040 
3 42 16 29 160959.95 0.040 
3 39 15 27 171037.19 0.040 
3 36 14 25 177663.44 0.040 
3 33 13 23 196444.19 0.040 
3 30 12 21 196576.83 0.040 
3 27 11 19 202919.25 0.040 
3 24 10 17 180075.80 0.040 
3 21 9 15 172035.22 0.040 
3 18 8 13 159461.34 0.040 
3 15 7 11 143283.75 0.040 
3 12 6 9 127083.29 0.040 
3 9 5 7 102973.91 0.040 
3 6 4 5 56948.06 0.040 
4 46 18 32 147808.53 0.040 
4 43 17 30 161830.73 0.040 
4 40 16 28 174419.47 0.040 
4 37 15 26 174516.98 0.040 
4 34 14 24 201315.02 0.040 
4 31 13 22 194912.70 0.040 
4 28 12 20 199649.36 0.040 
4 25 11 18 203732.19 0.040 
4 22 10 16 173864.16 0.040 
4 19 9 14 156834.27 0.040 
4 16 8 12 153374.59 0.040 
4 13 7 10 121865.05 0.040 
4 10 6 8 102030.83 0.040 
4 7 5 6 48263.64 0.040 
5 47 19 33 153163.81 0.040 
5 44 18 31 161169.61 0.040 
5 41 17 29 177121.92 0.040 
5 38 16 27 183169.91 0.040 
5 35 15 25 188671.86 0.040 
5 32 14 23 207762.62 0.040 
5 29 13 21 201014.56 0.040 
5 26 12 19 192344.42 0.040 
5 23 11 17 170182.88 0.040 
5 20 10 15 152199.95 0.040 
5 17 9 13 144994.97 0.040 
5 14 8 11 119263.61 0.040 
5 11 7 9 85382.82 0.040 
5 8 6 7 62015.62 0.040 
6 48 20 34 153273.62 0.040 
6 45 19 32 162511.09 0.040 
6 42 18 30 171238.75 0.040 
6 39 17 28 189094.39 0.040 
6 36 16 26 181887.53 0.040 
6 33 15 24 203962.59 0.040 
6 30 14 22 198164.31 0.040 
6 27 13 20 197601.31 0.040 
6 24 12 18 173619.86 0.040 
6 21 11 16 151027.36 0.040 
6 18 10 14 126541.56 0.040 
6 15 9 12 122355.31 0.040 
6 12 8 10 83960.29 0.040 
6 9 7 8 46756.28 0.040 
7 46 20 33 165235.97 0.040 
7 43 19 31 176182.64 0.040 
7 40 18 29 179871.70 0.040 
7 37 17 27 190814.84 0.040 
7 34 16 25 193501.86 0.040 
7 31 15 23 205051.22 0.040 
7 28 14 21 198933.19 0.040 
7 25 13 19 184736.44 0.040 
7 22 12 17 146377.70 0.040 
7 19 11 15 133095.45 0.040 
7 16 10 13 114103.12 0.040 
7 13 9 11 86373.39 0.040 
7 10 8 9 49206.34 0.040 
8 47 21 34 168055.17 0.040 
8 44 20 32 173927.83 0.040 
8 41 19 30 187222.00 0.040 
8 38 18 28 189535.59 0.040 
8 35 17 26 189783.31 0.040 
8 32 16 24 205320.27 0.040 
8 29 15 22 192174.88 0.040 
8 26 14 20 149767.61 0.040 
8 23 13 18 161505.64 0.040 
8 20 12 16 119289.98 0.040 
8 17 11 14 105521.73 0.040 
8 14 10 12 88994.30 0.040 
8 11 9 10 49020.12 0.040 
9 48 22 35 177386.58 0.040 
9 45 21 33 181463.84 0.040 
9 42 20 31 189024.81 0.040 
9 39 19 29 193354.25 0.040 
9 36 18 27 188409.06 0.040 
9 33 17 25 193257.98 0.040 
9 30 16 23 200952.75 0.040 
9 27 15 21 185924.86 0.040 
9 24 14 19 162874.38 0.040 
9 21 13 17 123288.88 0.040 
9 18 12 15 92852.52 0.040 
9 15 11 13 78439.48 0.040 
9 12 10 11 41004.77 0.040 
10 46 22 34 184168.09 0.040 
10 43 21 32 187044.17 0.040 
10 40 20 30 187025.09 0.040 
10 37 19 28 194806.23 0.040 
10 34 18 26 181212.41 0.040 
10 31 17 24 200530.72 0.040 
10 28 16 22 177818.11 0.040 
10 25 15 20 173574.86 0.040 
10 22 14 18 146596.08 0.040 
10 19 13 16 98923.77 0.040 
10 16 12 14 62558.83 0.040 
10 13 11 12 49294.75 0.040 
11 47 23 35 185220.78 0.040 
11 44 22 33 192420.34 0.040 
11 41 21 31 207414.94 0.040 
11 38 20 29 193946.28 0.040 
11 35 19 27 192216.20 0.040 
11 32 18 25 175041.36 0.040 
11 29 17 23 191095.72 0.040 
11 26 16 21 167565.48 0.040 
11 23 15 19 135821.31 0.040 
11 20 14 17 98499.50 0.040 
11 17 13 15 70917.11 0.040 
11 14 12 13 32831.46 0.040 
12 48 24 36 193317.42 0.040 
12 45 23 34 194171.88 0.040 
12 42 22 32 205665.86 0.040 
12 39 21 30 201272.27 0.040 
12 36 20 28 197013.48 0.040 
12 33 19 26 175049.55 0.040 
12 30 18 24 181542.97 0.040 
12 27 17 22 166730.52 0.040 
12 24 16 20 143385.41 0.040 
12 21 15 18 114548.96 0.040 
12 18 14 16 73410.89 0.040 
12 15 13 14 34738.31 0.040 
13 46 24 35 195453.14 0.040 
13 43 23 33 194524.48 0.040 
