48 	 # Number of sensors 
# x z 
0	-25.32
5	-24.81
10	-24.61
15	-24.4
20	-24.13
25	-23.95
30	-23.68
35	-23.29
40	-23.01
45	-22.6
50	-22.17
55	-21.8
60	-21.52
65	-21.14
70	-20.83
75	-20.21
80	-19.67
85	-19.36
90	-18.89
95	-17.98
100	-17.57
105	-16.99
110	-16.37
115	-15.4
120	-14.78
125	-14.05
130	-13.66
135	-13.14
140	-12.53
145	-12.01
150	-11.33
155	-10.84
160	-10.26
165	-9.71
170	-9.13
175	-8.53
180	-7.89
185	-7.21
190	-6.62
195	-5.91
200	-5.2
205	-4.54
210	-3.76
215	-3.06
220	-2.18
225	-1.3
230	-0.65
235	0
1035 	 # Number of measurements 
# a b m n rhoa err
1 2 3 4 887.81 0.040 
1 2 4 5 1214.60 0.040 
1 2 5 6 1756.87 0.040 
1 2 6 7 1857.02 0.040 
1 2 7 8 2123.72 0.040 
1 2 8 9 2363.88 0.040 
1 2 9 10 2714.56 0.040 
1 2 10 11 2880.24 0.040 
1 2 11 12 3405.01 0.040 
1 2 12 13 3517.47 0.040 
1 2 13 14 4356.29 0.040 
1 2 14 15 4621.57 0.040 
1 2 15 16 5574.38 0.040 
1 2 16 17 5741.43 0.040 
1 2 17 18 5729.80 0.040 
1 2 18 19 5746.63 0.040 
1 2 19 20 7041.82 0.040 
1 2 20 21 5829.23 0.040 
1 2 21 22 7624.87 0.040 
1 2 22 23 8516.04 0.040 
1 2 23 24 7235.24 0.040 
1 2 24 25 8509.41 0.040 
1 2 25 26 8150.07 0.040 
1 2 26 27 7350.86 0.040 
1 2 27 28 8785.51 0.040 
1 2 28 29 9883.95 0.040 
1 2 29 30 9600.71 0.040 
1 2 30 31 9601.58 0.040 
1 2 31 32 11006.34 0.040 
1 2 32 33 11266.41 0.040 
1 2 33 34 12388.92 0.040 
1 2 34 35 13902.39 0.040 
1 2 35 36 13436.52 0.040 
1 2 36 37 13159.84 0.040 
1 2 37 38 13855.95 0.040 
1 2 38 39 14712.98 0.040 
1 2 39 40 14973.83 0.040 
1 2 40 41 14506.23 0.040 
1 2 41 42 14310.91 0.040 
1 2 42 43 13684.96 0.040 
1 2 43 44 14061.62 0.040 
1 2 44 45 12836.05 0.040 
1 2 45 46 12812.48 0.040 
1 2 46 47 10630.87 0.040 
1 2 47 48 10820.40 0.040 
2 3 4 5 938.31 0.040 
2 3 5 6 1717.18 0.040 
2 3 6 7 1944.33 0.040 
2 3 7 8 2280.47 0.040 
2 3 8 9 2566.03 0.040 
2 3 9 10 3006.00 0.040 
2 3 10 11 3133.19 0.040 
2 3 11 12 3778.92 0.040 
2 3 12 13 3945.89 0.040 
2 3 13 14 4903.66 0.040 
2 3 14 15 5192.73 0.040 
2 3 15 16 6313.22 0.040 
2 3 16 17 6496.29 0.040 
2 3 17 18 6531.24 0.040 
2 3 18 19 6614.71 0.040 
2 3 19 20 8114.48 0.040 
2 3 20 21 6775.75 0.040 
2 3 21 22 8839.42 0.040 
2 3 22 23 10049.66 0.040 
2 3 23 24 8293.44 0.040 
2 3 24 25 9896.97 0.040 
2 3 25 26 9519.53 0.040 
2 3 26 27 8738.69 0.040 
2 3 27 28 10315.33 0.040 
2 3 28 29 11792.39 0.040 
2 3 29 30 11249.19 0.040 
2 3 30 31 11517.83 0.040 
2 3 31 32 12920.18 0.040 
2 3 32 33 13653.71 0.040 
2 3 33 34 14651.75 0.040 
2 3 34 35 16927.99 0.040 
2 3 35 36 15704.75 0.040 
2 3 36 37 16229.92 0.040 
2 3 37 38 16084.65 0.040 
2 3 38 39 18296.07 0.040 
2 3 39 40 17395.31 0.040 
2 3 40 41 18021.15 0.040 
2 3 41 42 16768.74 0.040 
2 3 42 43 17131.77 0.040 
2 3 43 44 15983.23 0.040 
2 3 44 45 16364.64 0.040 
2 3 45 46 14398.21 0.040 
2 3 46 47 13560.03 0.040 
2 3 47 48 11790.03 0.040 
3 4 5 6 1092.86 0.040 
3 4 6 7 1533.96 0.040 
3 4 7 8 1958.66 0.040 
3 4 8 9 2300.92 0.040 
3 4 9 10 2757.12 0.040 
3 4 10 11 2956.02 0.040 
3 4 11 12 3597.09 0.040 
3 4 12 13 3792.10 0.040 
3 4 13 14 4741.86 0.040 
3 4 14 15 5008.97 0.040 
3 4 15 16 6090.23 0.040 
3 4 16 17 6364.01 0.040 
3 4 17 18 6419.09 0.040 
3 4 18 19 6505.53 0.040 
3 4 19 20 7997.45 0.040 
3 4 20 21 6710.59 0.040 
3 4 21 22 8808.34 0.040 
3 4 22 23 9945.83 0.040 
3 4 23 24 8343.17 0.040 
3 4 24 25 9865.32 0.040 
3 4 25 26 9620.35 0.040 
3 4 26 27 8743.27 0.040 
3 4 27 28 10517.55 0.040 
3 4 28 29 11847.97 0.040 
3 4 29 30 11565.50 0.040 
3 4 30 31 11618.86 0.040 
3 4 31 32 13422.63 0.040 
3 4 32 33 13728.17 0.040 
3 4 33 34 15249.67 0.040 
3 4 34 35 17114.06 0.040 
3 4 35 36 16644.82 0.040 
3 4 36 37 16260.48 0.040 
3 4 37 38 17240.99 0.040 
3 4 38 39 18338.72 0.040 
3 4 39 40 18741.48 0.040 
3 4 40 41 18196.55 0.040 
3 4 41 42 18049.81 0.040 
3 4 42 43 17157.63 0.040 
3 4 43 44 17630.24 0.040 
3 4 44 45 16060.89 0.040 
3 4 45 46 16043.58 0.040 
3 4 46 47 13186.01 0.040 
3 4 47 48 13542.74 0.040 
4 5 6 7 845.89 0.040 
4 5 7 8 1312.74 0.040 
4 5 8 9 1676.63 0.040 
4 5 9 10 2113.06 0.040 
4 5 10 11 2312.52 0.040 
4 5 11 12 2869.17 0.040 
4 5 12 13 3074.66 0.040 
4 5 13 14 3891.46 0.040 
4 5 14 15 4156.18 0.040 
4 5 15 16 5091.52 0.040 
4 5 16 17 5303.04 0.040 
4 5 17 18 5410.79 0.040 
4 5 18 19 5537.21 0.040 
4 5 19 20 6910.62 0.040 
4 5 20 21 5786.05 0.040 
4 5 21 22 7646.22 0.040 
4 5 22 23 8740.11 0.040 
4 5 23 24 7286.01 0.040 
4 5 24 25 8729.90 0.040 
4 5 25 26 8452.43 0.040 
4 5 26 27 7773.64 0.040 
4 5 27 28 9273.80 0.040 
4 5 28 29 10576.24 0.040 
4 5 29 30 10213.90 0.040 
4 5 30 31 10426.49 0.040 
4 5 31 32 11908.58 0.040 
4 5 32 33 12455.28 0.040 
4 5 33 34 13642.55 0.040 
4 5 34 35 15608.37 0.040 
4 5 35 36 14746.13 0.040 
4 5 36 37 14986.12 0.040 
4 5 37 38 15252.34 0.040 
4 5 38 39 16917.96 0.040 
4 5 39 40 16608.70 0.040 
4 5 40 41 16746.44 0.040 
4 5 41 42 16051.69 0.040 
4 5 42 43 15908.25 0.040 
4 5 43 44 15516.34 0.040 
4 5 44 45 15083.31 0.040 
4 5 45 46 14045.21 0.040 
4 5 46 47 12464.84 0.040 
4 5 47 48 11523.87 0.040 
5 6 7 8 997.80 0.040 
5 6 8 9 1536.80 0.040 
5 6 9 10 2127.30 0.040 
5 6 10 11 2455.57 0.040 
5 6 11 12 3162.97 0.040 
5 6 12 13 3462.09 0.040 
5 6 13 14 4375.83 0.040 
5 6 14 15 4667.20 0.040 
5 6 15 16 5763.62 0.040 
5 6 16 17 6035.88 0.040 
5 6 17 18 6172.71 0.040 
5 6 18 19 6304.59 0.040 
5 6 19 20 7683.61 0.040 
5 6 20 21 6624.09 0.040 
5 6 21 22 8631.64 0.040 
5 6 22 23 9778.30 0.040 
5 6 23 24 8343.42 0.040 
5 6 24 25 9922.71 0.040 
5 6 25 26 9685.89 0.040 
5 6 26 27 8881.12 0.040 
5 6 27 28 10669.76 0.040 
5 6 28 29 12130.10 0.040 
5 6 29 30 11826.40 0.040 
5 6 30 31 12016.75 0.040 
5 6 31 32 13836.35 0.040 
5 6 32 33 14355.65 0.040 
5 6 33 34 15918.79 0.040 
5 6 34 35 18026.79 0.040 
5 6 35 36 17445.24 0.040 
5 6 36 37 17375.09 0.040 
5 6 37 38 18146.01 0.040 
5 6 38 39 19742.09 0.040 
5 6 39 40 19885.50 0.040 
5 6 40 41 19721.78 0.040 
5 6 41 42 19271.37 0.040 
5 6 42 43 18730.64 0.040 
5 6 43 44 18939.76 0.040 
5 6 44 45 17749.38 0.040 
5 6 45 46 17139.72 0.040 
5 6 46 47 14707.50 0.040 
5 6 47 48 14451.31 0.040 
6 7 8 9 908.67 0.040 
6 7 9 10 1564.00 0.040 
6 7 10 11 1948.85 0.040 
6 7 11 12 2655.64 0.040 
6 7 12 13 3021.07 0.040 
6 7 13 14 3890.67 0.040 
6 7 14 15 4182.72 0.040 
6 7 15 16 5198.65 0.040 
6 7 16 17 5504.13 0.040 
6 7 17 18 5659.71 0.040 
6 7 18 19 5818.46 0.040 
6 7 19 20 7084.54 0.040 
6 7 20 21 6173.34 0.040 
6 7 21 22 8029.46 0.040 
6 7 22 23 9136.18 0.040 
6 7 23 24 7834.08 0.040 
6 7 24 25 9370.52 0.040 
6 7 25 26 9139.34 0.040 
6 7 26 27 8427.09 0.040 
6 7 27 28 10120.35 0.040 
6 7 28 29 11568.88 0.040 
6 7 29 30 11259.10 0.040 
6 7 30 31 11517.58 0.040 
6 7 31 32 13212.80 0.040 
6 7 32 33 13847.65 0.040 
6 7 33 34 15278.95 0.040 
6 7 34 35 17463.21 0.040 
6 7 35 36 16770.71 0.040 
6 7 36 37 16981.34 0.040 
6 7 37 38 17522.22 0.040 
6 7 38 39 19364.78 0.040 
6 7 39 40 19281.80 0.040 
6 7 40 41 19426.16 0.040 
6 7 41 42 18740.77 0.040 
6 7 42 43 18468.91 0.040 
6 7 43 44 18328.82 0.040 
6 7 44 45 17609.54 0.040 
6 7 45 46 16696.81 0.040 
6 7 46 47 14671.19 0.040 
6 7 47 48 13831.04 0.040 
7 8 9 10 973.93 0.040 
7 8 10 11 1466.32 0.040 
7 8 11 12 2202.32 0.040 
7 8 12 13 2661.03 0.040 
7 8 13 14 3549.04 0.040 
7 8 14 15 3887.08 0.040 
7 8 15 16 4885.58 0.040 
7 8 16 17 5236.86 0.040 
7 8 17 18 5442.37 0.040 
7 8 18 19 5639.93 0.040 
7 8 19 20 6893.68 0.040 
7 8 20 21 6067.16 0.040 
7 8 21 22 7910.21 0.040 
7 8 22 23 9028.28 0.040 
7 8 23 24 7806.33 0.040 
7 8 24 25 9350.71 0.040 
7 8 25 26 9174.93 0.040 
7 8 26 27 8464.25 0.040 
7 8 27 28 10208.93 0.040 
7 8 28 29 11691.11 0.040 
7 8 29 30 11431.64 0.040 
7 8 30 31 11705.69 0.040 
7 8 31 32 13524.07 0.040 
7 8 32 33 14138.18 0.040 
7 8 33 34 15720.83 0.040 
7 8 34 35 17949.51 0.040 
7 8 35 36 17327.57 0.040 
7 8 36 37 17481.62 0.040 
7 8 37 38 18211.13 0.040 
7 8 38 39 19959.84 0.040 
7 8 39 40 20119.00 0.040 
7 8 40 41 20057.20 0.040 
7 8 41 42 19619.62 0.040 
7 8 42 43 19202.47 0.040 
7 8 43 44 19326.00 0.040 
7 8 44 45 18306.51 0.040 
7 8 45 46 17510.94 0.040 
7 8 46 47 15255.05 0.040 
7 8 47 48 14730.89 0.040 
8 9 10 11 821.11 0.040 
8 9 11 12 1559.53 0.040 
8 9 12 13 2106.26 0.040 
8 9 13 14 2978.57 0.040 
8 9 14 15 3356.46 0.040 
8 9 15 16 4307.41 0.040 
8 9 16 17 4704.40 0.040 
8 9 17 18 4947.24 0.040 
8 9 18 19 5175.12 0.040 
8 9 19 20 6291.52 0.040 
8 9 20 21 5657.09 0.040 
8 9 21 22 7329.97 0.040 
8 9 22 23 8383.51 0.040 
8 9 23 24 7334.57 0.040 
8 9 24 25 8819.46 0.040 
8 9 25 26 8663.90 0.040 
8 9 26 27 8049.17 0.040 
8 9 27 28 9704.61 0.040 
8 9 28 29 11169.61 0.040 
8 9 29 30 10934.93 0.040 
8 9 30 31 11267.36 0.040 
8 9 31 32 12986.76 0.040 
8 9 32 33 13695.17 0.040 
8 9 33 34 15163.83 0.040 
8 9 34 35 17472.25 0.040 
8 9 35 36 16816.53 0.040 
8 9 36 37 17166.53 0.040 
8 9 37 38 17745.97 0.040 
8 9 38 39 19750.95 0.040 
8 9 39 40 19703.23 0.040 
8 9 40 41 19919.17 0.040 
8 9 41 42 19323.65 0.040 
8 9 42 43 19171.90 0.040 
8 9 43 44 18938.48 0.040 
8 9 44 45 18427.55 0.040 
8 9 45 46 17355.03 0.040 
8 9 46 47 15433.77 0.040 
8 9 47 48 14480.95 0.040 
9 10 11 12 875.35 0.040 
9 10 12 13 1511.59 0.040 
9 10 13 14 2374.56 0.040 
9 10 14 15 2821.77 0.040 
9 10 15 16 3725.10 0.040 
