48 	 # Number of sensors 
# x z 
0	-25.32
5	-24.81
10	-24.61
15	-24.4
20	-24.13
25	-23.95
30	-23.68
35	-23.29
40	-23.01
45	-22.6
50	-22.17
55	-21.8
60	-21.52
65	-21.14
70	-20.83
75	-20.21
80	-19.67
85	-19.36
90	-18.89
95	-17.98
100	-17.57
105	-16.99
110	-16.37
115	-15.4
120	-14.78
125	-14.05
130	-13.66
135	-13.14
140	-12.53
145	-12.01
150	-11.33
155	-10.84
160	-10.26
165	-9.71
170	-9.13
175	-8.53
180	-7.89
185	-7.21
190	-6.62
195	-5.91
200	-5.2
205	-4.54
210	-3.76
215	-3.06
220	-2.18
225	-1.3
230	-0.65
235	0
360 	 # Number of measurements 
# a b m n rhoa err
1 4 2 3 1141.84 0.040 
1 7 3 5 1880.12 0.040 
1 10 4 7 2815.44 0.040 
1 13 5 9 3898.91 0.040 
1 16 6 11 4562.05 0.040 
1 19 7 13 5209.41 0.040 
1 22 8 15 5995.44 0.040 
1 25 9 17 6867.14 0.040 
1 28 10 19 7644.97 0.040 
1 31 11 21 8270.75 0.040 
1 34 12 23 9109.14 0.040 
1 37 13 25 9108.89 0.040 
1 40 14 27 8594.18 0.040 
1 43 15 29 7908.94 0.040 
1 46 16 31 6877.76 0.040 
2 5 3 4 1247.38 0.040 
2 8 4 6 2054.01 0.040 
2 11 5 8 3106.91 0.040 
2 14 6 10 3990.60 0.040 
2 17 7 12 4637.32 0.040 
2 20 8 14 5348.60 0.040 
2 23 9 16 6298.00 0.040 
2 26 10 18 7070.03 0.040 
2 29 11 20 7871.46 0.040 
2 32 12 22 8601.33 0.040 
2 35 13 24 9108.88 0.040 
2 38 14 26 9091.40 0.040 
2 41 15 28 8363.08 0.040 
2 44 16 30 7588.19 0.040 
2 47 17 32 6677.29 0.040 
3 6 4 5 1140.40 0.040 
3 9 5 7 2316.83 0.040 
3 12 6 9 3239.17 0.040 
3 15 7 11 4070.28 0.040 
3 18 8 13 4673.81 0.040 
3 21 9 15 5581.02 0.040 
3 24 10 17 6606.32 0.040 
3 27 11 19 7369.48 0.040 
3 30 12 21 8067.76 0.040 
3 33 13 23 9021.01 0.040 
3 36 14 25 9216.66 0.040 
3 39 15 27 8902.13 0.040 
3 42 16 29 8218.22 0.040 
3 45 17 31 7289.25 0.040 
3 48 18 33 6539.61 0.040 
4 7 5 6 1385.31 0.040 
4 10 6 8 2345.93 0.040 
4 13 7 10 3400.13 0.040 
4 16 8 12 4172.27 0.040 
4 19 9 14 4891.15 0.040 
4 22 10 16 5943.43 0.040 
4 25 11 18 6760.79 0.040 
4 28 12 20 7620.22 0.040 
4 31 13 22 8469.58 0.040 
4 34 14 24 9128.39 0.040 
4 37 15 26 9323.34 0.040 
4 40 16 28 8640.12 0.040 
4 43 17 30 7963.93 0.040 
4 46 18 32 7133.28 0.040 
5 8 6 7 1270.71 0.040 
5 11 7 9 2387.44 0.040 
5 14 8 11 3331.59 0.040 
5 17 9 13 4076.31 0.040 
5 20 10 15 4983.57 0.040 
5 23 11 17 6130.45 0.040 
5 26 12 19 6838.84 0.040 
5 29 13 21 7744.68 0.040 
5 32 14 23 8804.42 0.040 
5 35 15 25 9240.15 0.040 
5 38 16 27 8875.00 0.040 
5 41 17 29 8423.74 0.040 
5 44 18 31 7721.19 0.040 
5 47 19 33 6941.20 0.040 
6 9 7 8 1340.71 0.040 
6 12 8 10 2471.19 0.040 
6 15 9 12 3432.40 0.040 
6 18 10 14 4238.61 0.040 
6 21 11 16 5445.15 0.040 
6 24 12 18 6377.93 0.040 
6 27 13 20 7347.66 0.040 
6 30 14 22 8124.03 0.040 
6 33 15 24 8962.97 0.040 
6 36 16 26 9248.81 0.040 
6 39 17 28 8842.92 0.040 
6 42 18 30 8284.94 0.040 
6 45 19 32 7544.41 0.040 
6 48 20 34 6923.11 0.040 
7 10 8 9 1293.23 0.040 
7 13 9 11 2521.49 0.040 
7 16 10 13 3429.94 0.040 
7 19 11 15 4505.37 0.040 
7 22 12 17 5734.85 0.040 
7 25 13 19 6561.38 0.040 
7 28 14 21 7418.61 0.040 
7 31 15 23 8564.44 0.040 
7 34 16 25 9150.65 0.040 
7 37 17 27 8989.63 0.040 
7 40 18 29 8739.10 0.040 
7 43 19 31 8127.68 0.040 
7 46 20 33 7301.67 0.040 
8 11 9 10 1372.23 0.040 
8 14 10 12 2522.32 0.040 
8 17 11 14 3601.36 0.040 
8 20 12 16 4820.46 0.040 
8 23 13 18 5916.38 0.040 
8 26 14 20 6738.25 0.040 
8 29 15 22 7725.38 0.040 
8 32 16 24 8565.59 0.040 
8 35 17 26 8995.36 0.040 
8 38 18 28 8980.23 0.040 
8 41 19 30 8662.45 0.040 
8 44 20 32 7935.24 0.040 
8 47 21 34 7360.16 0.040 
9 12 10 11 1274.82 0.040 
9 15 11 13 2542.38 0.040 
9 18 12 15 3721.52 0.040 
9 21 13 17 5158.12 0.040 
9 24 14 19 5978.72 0.040 
9 27 15 21 6944.55 0.040 
9 30 16 23 7991.94 0.040 
9 33 17 25 8737.05 0.040 
9 36 18 27 8916.00 0.040 
9 39 19 29 8916.62 0.040 
9 42 20 31 8318.79 0.040 
9 45 21 33 7861.48 0.040 
9 48 22 35 7283.28 0.040 
10 13 11 12 1391.26 0.040 
10 16 12 14 2701.96 0.040 
10 19 13 16 4168.90 0.040 
10 22 14 18 5249.28 0.040 
10 25 15 20 6215.91 0.040 
10 28 16 22 7150.34 0.040 
10 31 17 24 8040.14 0.040 
10 34 18 26 8805.72 0.040 
10 37 19 28 8811.22 0.040 
10 40 20 30 8708.84 0.040 
10 43 21 32 8280.58 0.040 
10 46 22 34 7599.91 0.040 
11 14 12 13 1308.12 0.040 
11 17 13 15 2815.59 0.040 
11 20 14 17 4206.70 0.040 
11 23 15 19 5188.07 0.040 
11 26 16 21 5964.64 0.040 
11 29 17 23 7291.32 0.040 
11 32 18 25 8180.60 0.040 
11 35 19 27 8588.78 0.040 
11 38 20 29 8793.89 0.040 
11 41 21 31 8450.62 0.040 
11 44 22 33 7953.22 0.040 
11 47 23 35 7446.10 0.040 
12 15 13 14 1567.73 0.040 
12 18 14 16 2975.59 0.040 
12 21 15 18 4263.74 0.040 
12 24 16 20 5244.73 0.040 
12 27 17 22 6307.60 0.040 
12 30 18 24 7382.72 0.040 
12 33 19 26 8324.29 0.040 
12 36 20 28 8483.88 0.040 
12 39 21 30 8649.75 0.040 
12 42 22 32 8295.80 0.040 
12 45 23 34 7732.25 0.040 
12 48 24 36 7389.92 0.040 
13 16 14 15 1531.16 0.040 
13 19 15 17 3072.02 0.040 
13 22 16 19 4039.15 0.040 
13 25 17 21 5047.13 0.040 
13 28 18 23 6596.96 0.040 
13 31 19 25 7634.47 0.040 
13 34 20 27 8128.19 0.040 
13 37 21 29 8588.42 0.040 
13 40 22 31 8341.61 0.040 
13 43 23 33 7954.22 0.040 
13 46 24 35 7579.00 0.040 
14 17 15 16 1708.76 0.040 
14 20 16 18 2962.21 0.040 
14 23 17 20 4169.57 0.040 
14 26 18 22 5316.32 0.040 
14 29 19 24 6647.77 0.040 
14 32 20 26 7593.34 0.040 
14 35 21 28 8133.96 0.040 
14 38 22 30 8337.25 0.040 
14 41 23 32 8089.39 0.040 
14 44 24 34 7839.76 0.040 
14 47 25 36 7422.25 0.040 
15 18 16 17 1667.92 0.040 
15 21 17 19 2908.15 0.040 
15 24 18 21 4122.03 0.040 
15 27 19 23 5810.30 0.040 
15 30 20 25 6771.07 0.040 
15 33 21 27 7567.08 0.040 
15 36 22 29 8053.24 0.040 
15 39 23 31 7895.81 0.040 
15 42 24 33 7903.09 0.040 
15 45 25 35 7584.48 0.040 
15 48 26 37 7420.74 0.040 
16 19 17 18 1657.80 0.040 
16 22 18 20 3185.31 0.040 
16 25 19 22 4624.72 0.040 
16 28 20 24 5872.39 0.040 
16 31 21 26 7119.72 0.040 
16 34 22 28 7551.42 0.040 
16 37 23 30 7900.68 0.040 
16 40 24 32 7981.30 0.040 
16 43 25 34 7802.21 0.040 
16 46 26 36 7736.43 0.040 
17 20 18 19 1577.28 0.040 
17 23 19 21 3136.08 0.040 
17 26 20 23 4832.03 0.040 
17 29 21 25 6081.08 0.040 
17 32 22 27 6748.83 0.040 
17 35 23 29 7468.09 0.040 
17 38 24 31 7746.54 0.040 
17 41 25 33 7750.69 0.040 
17 44 26 35 7811.77 0.040 
17 47 27 37 7799.12 0.040 
18 21 19 20 1866.83 0.040 
18 24 20 22 3388.39 0.040 
18 27 21 24 4989.17 0.040 
18 30 22 26 6045.51 0.040 
18 33 23 28 6779.55 0.040 
18 36 24 30 7334.10 0.040 
18 39 25 32 7589.16 0.040 
18 42 26 34 7670.01 0.040 
18 45 27 36 7805.98 0.040 
18 48 28 38 7737.16 0.040 
19 22 20 21 1667.14 0.040 
19 25 21 23 3780.85 0.040 
19 28 22 25 5022.03 0.040 
19 31 23 27 5663.45 0.040 
19 34 24 29 6661.33 0.040 
19 37 25 31 7031.87 0.040 
19 40 26 33 7395.64 0.040 
19 43 27 35 7854.55 0.040 
19 46 28 37 7744.35 0.040 
20 23 21 22 2275.92 0.040 
20 26 22 24 3631.38 0.040 
20 29 23 26 4833.98 0.040 
20 32 24 28 5730.52 0.040 
20 35 25 30 6471.84 0.040 
20 38 26 32 7012.07 0.040 
20 41 27 34 7466.80 0.040 
20 44 28 36 7739.00 0.040 
20 47 29 38 7669.06 0.040 
21 24 22 23 2331.99 0.040 
21 27 23 25 3696.21 0.040 
21 30 24 27 4669.82 0.040 
21 33 25 29 5754.60 0.040 
21 36 26 31 6317.98 0.040 
21 39 27 33 7016.51 0.040 
21 42 28 35 7537.83 0.040 
21 45 29 37 7637.60 0.040 
21 48 30 39 7660.33 0.040 
22 25 23 24 2283.03 0.040 
22 28 24 26 4073.18 0.040 
22 31 25 28 4867.73 0.040 
22 34 26 30 5773.80 0.040 
22 37 27 32 6524.38 0.040 
22 40 28 34 7083.32 0.040 
22 43 29 36 7612.61 0.040 
22 46 30 38 7643.82 0.040 
23 26 24 25 2619.70 0.040 
23 29 25 27 3688.32 0.040 
23 32 26 29 5031.40 0.040 
23 35 27 31 5888.04 0.040 
23 38 28 33 6653.78 0.040 
23 41 29 35 7246.01 0.040 
23 44 30 37 7600.96 0.040 
23 47 31 39 7884.38 0.040 
24 27 25 26 2523.31 0.040 
24 30 26 28 3678.82 0.040 
24 33 27 30 5184.83 0.040 
24 36 28 32 5894.74 0.040 
24 39 29 34 6478.74 0.040 
24 42 30 36 7220.51 0.040 
24 45 31 38 7551.37 0.040 
24 48 32 40 7878.62 0.040 
25 28 26 27 2381.29 0.040 
25 31 27 29 4175.66 0.040 
25 34 28 31 5214.45 0.040 
25 37 29 33 5837.21 0.040 
25 40 30 35 6672.41 0.040 
25 43 31 37 7334.14 0.040 
25 46 32 39 7587.64 0.040 
26 29 27 28 2644.33 0.040 
26 32 28 30 4125.76 0.040 
26 35 29 32 4867.78 0.040 
26 38 30 34 5821.36 0.040 
26 41 31 36 6773.65 0.040 
26 44 32 38 7299.02 0.040 
26 47 33 40 7648.23 0.040 
27 30 28 29 2660.60 0.040 
27 33 29 31 3810.86 0.040 
27 36 30 33 4725.34 0.040 
27 39 31 35 5948.88 0.040 
27 42 32 37 6621.82 0.040 
27 45 33 39 7166.46 0.040 
27 48 34 41 7620.47 0.040 
28 31 29 30 2623.69 0.040 
28 34 30 32 3890.41 0.040 
28 37 31 34 4943.78 0.040 
28 40 32 36 5910.98 0.040 
28 43 33 38 6624.31 0.040 
28 46 34 40 7062.80 0.040 
29 32 30 31 2463.75 0.040 
29 35 31 33 3859.94 0.040 
29 38 32 35 5102.06 0.040 
29 41 33 37 5842.89 0.040 
29 44 34 39 6655.97 0.040 
29 47 35 41 6969.45 0.040 
