48 	 # Number of sensors 
# x z 
0	-32.46
5	-31.02
10	-28.94
15	-26.69
20	-24.77
25	-22.97
30	-22.75
35	-22.8
40	-23.02
45	-22.56
50	-22.3
55	-21.71
60	-21.96
65	-22.1
70	-22.31
75	-21.34
80	-21.12
85	-20.5
90	-20
95	-19.88
100	-20.14
105	-18.01
110	-18.18
115	-16.69
120	-16.31
125	-15.62
130	-15.12
135	-15.27
140	-14.74
145	-14.24
150	-13.85
155	-13.35
160	-12.54
165	-9.96
170	-7.31
175	-5.9
180	-5.32
185	-2.81
190	-1.65
195	-1.31
200	-0.88
205	-1.63
210	-2.43
215	-3.02
220	-0.83
225	0
230	-0.76
235	-3.44
301 	 # Number of measurements 
# a b m n rhoa err
2 5 3 4 251760.00 0.040 
3 6 4 5 121416.00 0.040 
6 9 7 8 37221.00 0.040 
7 10 8 9 28605.00 0.040 
8 11 9 10 23779.00 0.040 
10 13 11 12 15757.00 0.040 
11 14 12 13 18532.00 0.040 
12 15 13 14 16261.00 0.040 
13 16 14 15 15929.00 0.040 
14 17 15 16 19768.00 0.040 
15 18 16 17 13043.00 0.040 
16 19 17 18 19094.00 0.040 
17 20 18 19 12746.00 0.040 
18 21 19 20 10881.00 0.040 
19 22 20 21 13845.00 0.040 
20 23 21 22 25284.00 0.040 
23 26 24 25 17179.00 0.040 
25 28 26 27 22196.00 0.040 
26 29 27 28 15792.00 0.040 
30 33 31 32 53182.00 0.040 
31 34 32 33 32292.00 0.040 
33 36 34 35 3869.30 0.040 
34 37 35 36 7236.30 0.040 
37 40 38 39 6903.00 0.040 
39 42 40 41 5203.30 0.040 
40 43 41 42 39761.00 0.040 
41 44 42 43 13371.00 0.040 
42 45 43 44 29793.00 0.040 
43 46 44 45 24598.00 0.040 
44 47 45 46 20864.00 0.040 
45 48 46 47 15444.00 0.040 
2 8 4 6 73920.00 0.040 
3 9 5 7 119376.00 0.040 
4 10 6 8 92298.00 0.040 
5 11 7 9 60127.00 0.040 
6 12 8 10 44313.00 0.040 
8 14 10 12 44995.00 0.040 
9 15 11 13 33983.00 0.040 
10 16 12 14 33555.00 0.040 
11 17 13 15 37483.00 0.040 
12 18 14 16 33840.00 0.040 
13 19 15 17 31652.00 0.040 
14 20 16 18 35244.00 0.040 
15 21 17 19 32593.00 0.040 
16 22 18 20 22886.00 0.040 
17 23 19 21 23775.00 0.040 
18 24 20 22 39736.00 0.040 
19 25 21 23 37728.00 0.040 
20 26 22 24 40285.00 0.040 
21 27 23 25 41428.00 0.040 
22 28 24 26 48879.00 0.040 
23 29 25 27 35528.00 0.040 
24 30 26 28 29694.00 0.040 
28 34 30 32 39330.00 0.040 
29 35 31 33 58283.00 0.040 
30 36 32 34 70501.00 0.040 
32 38 34 36 12053.00 0.040 
34 40 36 38 14926.00 0.040 
35 41 37 39 16130.00 0.040 
36 42 38 40 52819.00 0.040 
37 43 39 41 38895.00 0.040 
38 44 40 42 33545.00 0.040 
39 45 41 43 38382.00 0.040 
40 46 42 44 35651.00 0.040 
41 47 43 45 38682.00 0.040 
1 10 4 7 78192.00 0.040 
2 11 5 8 93984.00 0.040 
3 12 6 9 112312.00 0.040 
4 13 7 10 96108.00 0.040 
5 14 8 11 69614.00 0.040 
6 15 9 12 72636.00 0.040 
8 17 11 14 56911.00 0.040 
9 18 12 15 46707.00 0.040 
10 19 13 16 50962.00 0.040 
11 20 14 17 57509.00 0.040 
12 21 15 18 57728.00 0.040 
13 22 16 19 47279.00 0.040 
14 23 17 20 42176.00 0.040 
15 24 18 21 35818.00 0.040 
16 25 19 22 50163.00 0.040 
17 26 20 23 63341.00 0.040 
18 27 21 24 74092.00 0.040 
19 28 22 25 73408.00 0.040 
21 30 24 27 46501.00 0.040 
22 31 25 28 38916.00 0.040 
24 33 27 30 94153.00 0.040 
25 34 28 31 90204.00 0.040 
26 35 29 32 68977.00 0.040 
27 36 30 33 49734.00 0.040 
28 37 31 34 54879.00 0.040 
29 38 32 35 83105.00 0.040 
30 39 33 36 73068.00 0.040 
31 40 34 37 18760.00 0.040 
32 41 35 38 25353.00 0.040 
34 43 37 40 68802.00 0.040 
35 44 38 41 44860.00 0.040 
36 45 39 42 66698.00 0.040 
37 46 40 43 51411.00 0.040 
38 47 41 44 63809.00 0.040 
39 48 42 45 54863.00 0.040 
1 13 5 9 88825.00 0.040 
2 14 6 10 91045.00 0.040 
3 15 7 11 137854.00 0.040 
4 16 8 12 96299.00 0.040 
5 17 9 13 89523.00 0.040 
6 18 10 14 82248.00 0.040 
8 20 12 16 77640.00 0.040 
9 21 13 17 68279.00 0.040 
10 22 14 18 73884.00 0.040 
