48 	 # Number of sensors 
# x z 
0	-50.82
5	-52.69
10	-55.64
15	-53.52
20	-51.1
25	-47.6
30	-44.21
35	-40.64
40	-38.31
45	-36.94
50	-35.24
55	-33.45
60	-32.01
65	-30.68
70	-28.91
75	-28.06
80	-25.87
85	-24.97
90	-24.07
95	-23.57
100	-23.24
105	-21.76
110	-20.55
115	-20.27
120	-20.49
125	-19.85
130	-17.42
135	-16.24
140	-12.54
145	-10.52
150	-9.31
155	-8.76
160	-8.53
165	-8.44
170	-8.62
175	-7.68
180	-7.13
185	-7.19
190	-8.41
195	-8.96
200	-9.01
205	-8.95
210	-8.17
215	-6.27
220	-4.1
225	-3.61
230	-2.88
235	0
325 	 # Number of measurements 
# a b m n rhoa err
2 5 3 4 31058.00 0.040 
3 6 4 5 23061.00 0.040 
5 8 6 7 20526.00 0.040 
6 9 7 8 11209.00 0.040 
7 10 8 9 16008.00 0.040 
8 11 9 10 15829.00 0.040 
9 12 10 11 17574.00 0.040 
10 13 11 12 10814.00 0.040 
11 14 12 13 21366.00 0.040 
12 15 13 14 12104.00 0.040 
13 16 14 15 13840.00 0.040 
14 17 15 16 18424.00 0.040 
15 18 16 17 27034.00 0.040 
16 19 17 18 22025.00 0.040 
17 20 18 19 28683.00 0.040 
18 21 19 20 45247.00 0.040 
19 22 20 21 41645.00 0.040 
20 23 21 22 97673.00 0.040 
21 24 22 23 30941.00 0.040 
22 25 23 24 93486.00 0.040 
23 26 24 25 14486.00 0.040 
24 27 25 26 42252.00 0.040 
25 28 26 27 38904.00 0.040 
26 29 27 28 15760.00 0.040 
27 30 28 29 51318.00 0.040 
28 31 29 30 17743.00 0.040 
29 32 30 31 35723.00 0.040 
30 33 31 32 23279.00 0.040 
31 34 32 33 46347.00 0.040 
32 35 33 34 12977.00 0.040 
33 36 34 35 19727.00 0.040 
34 37 35 36 16117.00 0.040 
35 38 36 37 17182.00 0.040 
36 39 37 38 13672.00 0.040 
37 40 38 39 29209.00 0.040 
38 41 39 40 33058.00 0.040 
39 42 40 41 12466.00 0.040 
40 43 41 42 60664.00 0.040 
41 44 42 43 17321.00 0.040 
43 46 44 45 11508.00 0.040 
45 48 46 47 7459.00 0.040 
2 8 4 6 33486.00 0.040 
3 9 5 7 35779.00 0.040 
4 10 6 8 47359.00 0.040 
5 11 7 9 24119.00 0.040 
6 12 8 10 25910.00 0.040 
7 13 9 11 24249.00 0.040 
8 14 10 12 23124.00 0.040 
9 15 11 13 33829.00 0.040 
10 16 12 14 31807.00 0.040 
11 17 13 15 20530.00 0.040 
12 18 14 16 32456.00 0.040 
13 19 15 17 45047.00 0.040 
14 20 16 18 49331.00 0.040 
15 21 17 19 53545.00 0.040 
16 22 18 20 46015.00 0.040 
17 23 19 21 63134.00 0.040 
18 24 20 22 67071.00 0.040 
19 25 21 23 72200.00 0.040 
20 26 22 24 65811.00 0.040 
21 27 23 25 62926.00 0.040 
22 28 24 26 34065.00 0.040 
23 29 25 27 44650.00 0.040 
24 30 26 28 56228.00 0.040 
25 31 27 29 49717.00 0.040 
26 32 28 30 51141.00 0.040 
27 33 29 31 37434.00 0.040 
28 34 30 32 46233.00 0.040 
29 35 31 33 80573.00 0.040 
30 36 32 34 62677.00 0.040 
31 37 33 35 26900.00 0.040 
32 38 34 36 28572.00 0.040 
33 39 35 37 28720.00 0.040 
34 40 36 38 32233.00 0.040 
35 41 37 39 48988.00 0.040 
36 42 38 40 41757.00 0.040 
37 43 39 41 16624.00 0.040 
38 44 40 42 49027.00 0.040 
39 45 41 43 56643.00 0.040 
40 46 42 44 14185.00 0.040 
41 47 43 45 8499.10 0.040 
42 48 44 46 49637.00 0.040 
2 11 5 8 54316.00 0.040 
3 12 6 9 52743.00 0.040 
4 13 7 10 31739.00 0.040 
5 14 8 11 32978.00 0.040 
6 15 9 12 34023.00 0.040 
7 16 10 13 46040.00 0.040 
8 17 11 14 41821.00 0.040 
9 18 12 15 40491.00 0.040 
10 19 13 16 39554.00 0.040 
11 20 14 17 54418.00 0.040 
12 21 15 18 60654.00 0.040 
13 22 16 19 52410.00 0.040 
14 23 17 20 51018.00 0.040 
15 24 18 21 52439.00 0.040 
16 25 19 22 80895.00 0.040 
17 26 20 23 86195.00 0.040 
18 27 21 24 127800.00 0.040 
19 28 22 25 62593.00 0.040 
20 29 23 26 54584.00 0.040 
21 30 24 27 46353.00 0.040 
22 31 25 28 65930.00 0.040 
23 32 26 29 75335.00 0.040 
24 33 27 30 45030.00 0.040 
25 34 28 31 55062.00 0.040 
26 35 29 32 51799.00 0.040 
27 36 30 33 118015.00 0.040 
28 37 31 34 84773.00 0.040 
29 38 32 35 78277.00 0.040 
30 39 33 36 30323.00 0.040 
31 40 34 37 34695.00 0.040 
32 41 35 38 41371.00 0.040 
33 42 36 39 65896.00 0.040 
34 43 37 40 59531.00 0.040 
35 44 38 41 52797.00 0.040 
36 45 39 42 65441.00 0.040 
37 46 40 43 38858.00 0.040 
38 47 41 44 34830.00 0.040 
2 14 6 10 52950.00 0.040 
3 15 7 11 40497.00 0.040 
4 16 8 12 44581.00 0.040 
5 17 9 13 52057.00 0.040 
6 18 10 14 53653.00 0.040 
8 20 12 16 58604.00 0.040 
9 21 13 17 57741.00 0.040 
10 22 14 18 47170.00 0.040 
11 23 15 19 51125.00 0.040 
12 24 16 20 45622.00 0.040 
13 25 17 21 63490.00 0.040 
14 26 18 22 83883.00 0.040 
15 27 19 23 90148.00 0.040 
16 28 20 24 100574.00 0.040 
17 29 21 25 94057.00 0.040 
18 30 22 26 63068.00 0.040 
19 31 23 27 65719.00 0.040 
20 32 24 28 52355.00 0.040 
21 33 25 29 58289.00 0.040 
22 34 26 30 69653.00 0.040 
23 35 27 31 58025.00 0.040 
24 36 28 32 82500.00 0.040 
25 37 29 33 97628.00 0.040 
26 38 30 34 92702.00 0.040 
27 39 31 35 90059.00 0.040 
28 40 32 36 65815.00 0.040 
29 41 33 37 43292.00 0.040 
30 42 34 38 30411.00 0.040 
31 43 35 39 54877.00 0.040 
32 44 36 40 56701.00 0.040 
33 45 37 41 71419.00 0.040 
34 46 38 42 80554.00 0.040 
35 47 39 43 46158.00 0.040 
2 17 7 12 47144.00 0.040 
3 18 8 13 59538.00 0.040 
4 19 9 14 61604.00 0.040 
5 20 10 15 59120.00 0.040 
6 21 11 16 63146.00 0.040 
7 22 12 17 58193.00 0.040 
8 23 13 18 47701.00 0.040 
9 24 14 19 42268.00 0.040 
10 25 15 20 49139.00 0.040 
11 26 16 21 62857.00 0.040 
12 27 17 22 79824.00 0.040 
13 28 18 23 91169.00 0.040 
14 29 19 24 99431.00 0.040 
15 30 20 25 99487.00 0.040 
16 31 21 26 90530.00 0.040 
17 32 22 27 67488.00 0.040 
18 33 23 28 56982.00 0.040 
19 34 24 29 53832.00 0.040 
20 35 25 30 58087.00 0.040 
21 36 26 31 73260.00 0.040 
22 37 27 32 75053.00 0.040 
23 38 28 33 116998.00 0.040 
24 39 29 34 87574.00 0.040 
25 40 30 35 80557.00 0.040 
26 41 31 36 75903.00 0.040 
27 42 32 37 61901.00 0.040 
28 43 33 38 33336.00 0.040 
29 44 34 39 52943.00 0.040 
31 46 36 41 51123.00 0.040 
32 47 37 42 64201.00 0.040 
33 48 38 43 114465.00 0.040 
2 20 8 14 62970.00 0.040 
3 21 9 15 56214.00 0.040 
4 22 10 16 55273.00 0.040 
5 23 11 17 54338.00 0.040 
6 24 12 18 44346.00 0.040 
7 25 13 19 48833.00 0.040 
8 26 14 20 52714.00 0.040 
9 27 15 21 60829.00 0.040 
10 28 16 22 81062.00 0.040 
11 29 17 23 78983.00 0.040 
12 30 18 24 100461.00 0.040 
13 31 19 25 103039.00 0.040 
14 32 20 26 87931.00 0.040 
15 33 21 27 62882.00 0.040 
16 34 22 28 59717.00 0.040 
17 35 23 29 69762.00 0.040 
18 36 24 30 57020.00 0.040 
19 37 25 31 69257.00 0.040 
20 38 26 32 82750.00 0.040 
21 39 27 33 78207.00 0.040 
22 40 28 34 94239.00 0.040 
23 41 29 35 82151.00 0.040 
24 42 30 36 71285.00 0.040 
25 43 31 37 64217.00 0.040 
26 44 32 38 51760.00 0.040 
27 45 33 39 50628.00 0.040 
28 46 34 40 42977.00 0.040 
29 47 35 41 47043.00 0.040 
2 23 9 16 48887.00 0.040 
3 24 10 17 45571.00 0.040 
4 25 11 18 48739.00 0.040 
5 26 12 19 52881.00 0.040 
6 27 13 20 54089.00 0.040 
7 28 14 21 71673.00 0.040 
8 29 15 22 75911.00 0.040 
9 30 16 23 82532.00 0.040 
10 31 17 24 100410.00 0.040 
11 32 18 25 86947.00 0.040 
12 33 19 26 72903.00 0.040 
13 34 20 27 70690.00 0.040 
14 35 21 28 77845.00 0.040 
15 36 22 29 69727.00 0.040 
16 37 23 30 68967.00 0.040 
17 38 24 31 65573.00 0.040 
18 39 25 32 64471.00 0.040 
19 40 26 33 80810.00 0.040 
20 41 27 34 68470.00 0.040 
21 42 28 35 61535.00 0.040 
22 43 29 36 60891.00 0.040 
23 44 30 37 62844.00 0.040 
24 45 31 38 72475.00 0.040 
25 46 32 39 59203.00 0.040 
26 47 33 40 36422.00 0.040 
27 48 34 41 48894.00 0.040 
2 26 10 18 49734.00 0.040 
3 27 11 19 51125.00 0.040 
4 28 12 20 56227.00 0.040 
5 29 13 21 57665.00 0.040 
6 30 14 22 77878.00 0.040 
7 31 15 23 108853.00 0.040 
8 32 16 24 91124.00 0.040 
9 33 17 25 69632.00 0.040 
10 34 18 26 68856.00 0.040 
11 35 19 27 67486.00 0.040 
12 36 20 28 75088.00 0.040 
13 37 21 29 89016.00 0.040 
14 38 22 30 67044.00 0.040 
15 39 23 31 58582.00 0.040 
16 40 24 32 55495.00 0.040 
17 41 25 33 75894.00 0.040 
18 42 26 34 55523.00 0.040 
19 43 27 35 41194.00 0.040 
20 44 28 36 49298.00 0.040 
21 45 29 37 46508.00 0.040 
22 46 30 38 57835.00 0.040 
23 47 31 39 61682.00 0.040 
3 30 12 21 61692.00 0.040 
4 31 13 22 76733.00 0.040 
5 32 14 23 73513.00 0.040 
6 33 15 24 73156.00 0.040 
7 34 16 25 82887.00 0.040 
8 35 17 26 66629.00 0.040 
9 36 18 27 65744.00 0.040 
10 37 19 28 75242.00 0.040 
11 38 20 29 81117.00 0.040 
12 39 21 30 66175.00 0.040 
13 40 22 31 57541.00 0.040 
14 41 23 32 58154.00 0.040 
15 42 24 33 47403.00 0.040 
16 43 25 34 43825.00 0.040 
17 44 26 35 49033.00 0.040 
19 46 28 37 40356.00 0.040 
20 47 29 38 37383.00 0.040 
21 48 30 39 58655.00 0.040 
2 32 12 22 66771.00 0.040 
3 33 13 23 55295.00 0.040 
4 34 14 24 71628.00 0.040 
5 35 15 25 64014.00 0.040 
6 36 16 26 65386.00 0.040 
8 38 18 28 72136.00 0.040 
9 39 19 29 67444.00 0.040 
10 40 20 30 62204.00 0.040 
11 41 21 31 62113.00 0.040 
12 42 22 32 41291.00 0.040 
13 43 23 33 46860.00 0.040 
14 44 24 34 40556.00 0.040 
15 45 25 35 40414.00 0.040 
16 46 26 36 34112.00 0.040 
17 47 27 37 29881.00 0.040 
18 48 28 38 36401.00 0.040 
2 35 13 24 59618.00 0.040 
3 36 14 25 59332.00 0.040 
4 37 15 26 62046.00 0.040 
5 38 16 27 57877.00 0.040 
6 39 17 28 56847.00 0.040 
7 40 18 29 73710.00 0.040 
8 41 19 30 60365.00 0.040 
9 42 20 31 48187.00 0.040 
10 43 21 32 46653.00 0.040 
11 44 22 33 38426.00 0.040 
12 45 23 34 31870.00 0.040 
13 46 24 35 28078.00 0.040 
14 47 25 36 27733.00 0.040 
15 48 26 37 28066.00 0.040 
2 38 14 26 51572.00 0.040 
3 39 15 27 46921.00 0.040 
4 40 16 28 50907.00 0.040 
6 42 18 30 45670.00 0.040 
7 43 19 31 33617.00 0.040 
8 44 20 32 51245.00 0.040 
9 45 21 33 66916.00 0.040 
10 46 22 34 28380.00 0.040 
11 47 23 35 25824.00 0.040 
2 41 15 28 39884.00 0.040 
4 43 17 30 37155.00 0.040 
5 44 18 31 39936.00 0.040 
6 45 19 32 50672.00 0.040 
7 46 20 33 38174.00 0.040 
8 47 21 34 34192.00 0.040 
4 46 18 32 35162.00 0.040 
5 47 19 33 33372.00 0.040 
2 47 17 32 22788.00 0.040 
